title,publisher,categories,review_score,review_summary
Sandwich Glass,UPNE,antiques collectibles,1.0,One of the 5 Holy Books for Boston & Sandwich Glass Collectors
Classic Plastic Model Kits: Identification & Value Guide,,antiques collectibles,1.0,"Over 1,000 models referenced"
Classic Plastic Model Kits: Identification & Value Guide,,antiques collectibles,1.0,Classic Plastic Model Kit Collectors Must Have This !
Classic Plastic Model Kits: Identification & Value Guide,,antiques collectibles,0.75,Figure Models From the Past
Classic Plastic Model Kits: Identification & Value Guide,,antiques collectibles,1.0,great guide with alot of info
Made in Japan: Transistor Radios of the 1950s and 1960s,Chronicle Books Llc,antiques collectibles,1.0,Turn on to this radio book.
Made in Japan: Transistor Radios of the 1950s and 1960s,Chronicle Books Llc,antiques collectibles,0.5,made in japan
Made in Japan: Transistor Radios of the 1950s and 1960s,Chronicle Books Llc,antiques collectibles,1.0,Radio Sex?
Made in Japan: Transistor Radios of the 1950s and 1960s,Chronicle Books Llc,antiques collectibles,1.0,"A wonderful, fun book"
"Collector's Guide to Tinker Toys, Identification & Value Guide",Random House Reference,antiques collectibles,0.75,Informational
"Collector's Guide to Tinker Toys, Identification & Value Guide",Random House Reference,antiques collectibles,1.0,A Tinker Toy Collector's Treasure
Bettie Page: The Life of a Pin-Up Legend,Stoddart,antiques collectibles,1.0,Ultimate tribute and book on Bettie Page
Bettie Page: The Life of a Pin-Up Legend,Stoddart,antiques collectibles,1.0,Pin - Up Legend Reveals the Inner Icon
Bettie Page: The Life of a Pin-Up Legend,Stoddart,antiques collectibles,1.0,Absolutely the best collection of pictures and information.
Bettie Page: The Life of a Pin-Up Legend,Stoddart,antiques collectibles,1.0,Photographic proof that a goddess walks the Earth!
Bettie Page: The Life of a Pin-Up Legend,Stoddart,antiques collectibles,1.0,GREAT BOOK IN EVERY WAY
Bettie Page: The Life of a Pin-Up Legend,Stoddart,antiques collectibles,1.0,&quot;I'd like to eat ice cream out of her belly button....&quot;
Bettie Page: The Life of a Pin-Up Legend,Stoddart,antiques collectibles,1.0,Uncovering the rage about Bettie Page
Bettie Page: The Life of a Pin-Up Legend,Stoddart,antiques collectibles,1.0,"Bettie Page, the world's greatest pinup"
Bettie Page: The Life of a Pin-Up Legend,Stoddart,antiques collectibles,1.0,Bettie Bigger Than Ever !
Bettie Page: The Life of a Pin-Up Legend,Stoddart,antiques collectibles,1.0,Bettie Page Has Become a True Historical Icon
Bettie Page: The Life of a Pin-Up Legend,Stoddart,antiques collectibles,1.0,The Book For Someone Wanting to Learn About Bettie Page
Bettie Page: The Life of a Pin-Up Legend,Stoddart,antiques collectibles,1.0,The Must Have Bettie Page Book!
Collector's Guide to Transistor Radios Identification and Values,,antiques collectibles,0.75,Beautiful Transistor Radio Guide To Please Every Collector
Collector's Guide to Transistor Radios Identification and Values,,antiques collectibles,0.75,They Wrote the Book on Transistor Radios
Butterick's 1892 Metropolitan Fashions,,antiques collectibles,1.0,Historians Enjoyment
Butterick's 1892 Metropolitan Fashions,,antiques collectibles,1.0,Good reference
Collector's Guide to TV Memorabilia 1960s & 1970s: Identification and Values (Collector's Guide to TV Toys & Memorabilia),,antiques collectibles,1.0,Really Fun Book of Vintage TV Memorabilia
Collector's Guide to TV Memorabilia 1960s & 1970s: Identification and Values (Collector's Guide to TV Toys & Memorabilia),,antiques collectibles,1.0,26
Collector's Guide to TV Memorabilia 1960s & 1970s: Identification and Values (Collector's Guide to TV Toys & Memorabilia),,antiques collectibles,1.0,*GREAT!*
Victorian Trade Cards: Historical Reference & Value Guide,,antiques collectibles,1.0,An endlessly fascinating book in its subject area
Victorian Trade Cards: Historical Reference & Value Guide,,antiques collectibles,0.75,New to collecting? This will help.
Victorian Trade Cards: Historical Reference & Value Guide,,antiques collectibles,1.0,Outstanding Trade Card Collector's Reference !
Victorian Trade Cards: Historical Reference & Value Guide,,antiques collectibles,1.0,"Lavishly illustrated, marvelous reference..."
Victorian Trade Cards: Historical Reference & Value Guide,,antiques collectibles,1.0,Victorian Trade Cards: Historical Reference and Value Guide
Westmoreland Glass: Identification and Value Guide,,antiques collectibles,0.75,westmoreland glassware review
Westmoreland Glass: Identification and Value Guide,,antiques collectibles,1.0,This book is wonderful. Tons of history &amp; great pictures.
Westmoreland Glass: Identification and Value Guide,,antiques collectibles,0.25,Westmoreland Identification &amp; Value Guide
Westmoreland Glass: Identification and Value Guide,,antiques collectibles,1.0,Excellent Book on Westmoreland Glass
Westmoreland Glass: Identification and Value Guide,,antiques collectibles,0.25,DISAPPOINTING
Westmoreland Glass: Identification and Value Guide,,antiques collectibles,1.0,Excellent Westmoreland Glass reference book
Westmoreland Glass: Identification and Value Guide,,antiques collectibles,0.75,Informative
Westmoreland Glass: Identification and Value Guide,,antiques collectibles,1.0,great service
I Love Lucy: The Classic Moments,,antiques collectibles,1.0,I Remember That Scene...
I Love Lucy: The Classic Moments,,antiques collectibles,1.0,A MUST HAVE...
I Love Lucy: The Classic Moments,,antiques collectibles,1.0,My favorite part....
I Love Lucy: The Classic Moments,,antiques collectibles,1.0,"I Love, I Love Lucy!"
I Love Lucy: The Classic Moments,,antiques collectibles,1.0,RICKY RICARDO CAN CONGA MY DRUM ANYTIME.
I Love Lucy: The Classic Moments,,antiques collectibles,1.0,A Nice Memory Scrapbook of I Love Lucy
I Love Lucy: The Classic Moments,,antiques collectibles,1.0,"Fu, fun, fun"
Toys & Prices 2005 (Toys and Prices),"Collectors Press, Inc.",antiques collectibles,1.0,ALWAYS A FAVORITE
Toys & Prices 2005 (Toys and Prices),"Collectors Press, Inc.",antiques collectibles,1.0,Considered to be the toy bible for serious collectors
Toys & Prices 2005 (Toys and Prices),"Collectors Press, Inc.",antiques collectibles,0.0,12th Edition Toys & Prices 2005
Toys & Prices 2005 (Toys and Prices),"Collectors Press, Inc.",antiques collectibles,0.5,Thought it would be better updated
Toys & Prices 2005 (Toys and Prices),"Collectors Press, Inc.",antiques collectibles,1.0,The BEST guide for your die cast prices and values!
Quick Success Stained Glass- Instruction,Wardell Publications Incorporated,antiques collectibles,1.0,A good introduction for a beginner
Quick Success Stained Glass- Instruction,Wardell Publications Incorporated,antiques collectibles,1.0,Quick Success to Stain Glass
