title,publisher,categories,review_score,review_summary
Building the timber frame house: The revival of a forgotten craft,Simon and Schuster,architecture,0.75,Solid reference material for someone planning a build
Building the timber frame house: The revival of a forgotten craft,Simon and Schuster,architecture,1.0,Awesome!
Building the timber frame house: The revival of a forgotten craft,Simon and Schuster,architecture,1.0,One of a kind book for timber frame building.
Building the timber frame house: The revival of a forgotten craft,Simon and Schuster,architecture,1.0,Fabulous!
Building the timber frame house: The revival of a forgotten craft,Simon and Schuster,architecture,1.0,Classic must have for Timberframers
Building the timber frame house: The revival of a forgotten craft,Simon and Schuster,architecture,0.75,Ok reference book
Building the timber frame house: The revival of a forgotten craft,Simon and Schuster,architecture,0.25,no technical information
Building the timber frame house: The revival of a forgotten craft,Simon and Schuster,architecture,0.75,Hanford Mills museum
Building the timber frame house: The revival of a forgotten craft,Simon and Schuster,architecture,0.0,you will not be able to buils a timber frame house
Building the timber frame house: The revival of a forgotten craft,Simon and Schuster,architecture,1.0,Outstanding guidebook for building your own timberframe home
Building the timber frame house: The revival of a forgotten craft,Simon and Schuster,architecture,1.0,My favorite Timber Framing Book
Building the timber frame house: The revival of a forgotten craft,Simon and Schuster,architecture,1.0,Great Book...early work on Timber Framing
Building the timber frame house: The revival of a forgotten craft,Simon and Schuster,architecture,1.0,"well written, very informative"
Building the timber frame house: The revival of a forgotten craft,Simon and Schuster,architecture,1.0,Excellent
Building the timber frame house: The revival of a forgotten craft,Simon and Schuster,architecture,1.0,Nearly three decades old and more relevant than ever
Building the timber frame house: The revival of a forgotten craft,Simon and Schuster,architecture,1.0,Building the Timber Frame House
Building the timber frame house: The revival of a forgotten craft,Simon and Schuster,architecture,0.0,"Excellent book, very poor e-book editing"
Building the timber frame house: The revival of a forgotten craft,Simon and Schuster,architecture,0.75,A very good how-to manual.
Building the timber frame house: The revival of a forgotten craft,Simon and Schuster,architecture,0.75,Great book
Itten The Elements of Color,John Wiley & Sons,architecture,1.0,The book that tought me color.
Itten The Elements of Color,John Wiley & Sons,architecture,1.0,Essential Reading for the Serious Colorist
Itten The Elements of Color,John Wiley & Sons,architecture,1.0,colour miracle
Itten The Elements of Color,John Wiley & Sons,architecture,0.5,For the Serious...
Itten The Elements of Color,John Wiley & Sons,architecture,1.0,so you decided to learn the truth about colors...
Itten The Elements of Color,John Wiley & Sons,architecture,1.0,Great reference book to have
Itten The Elements of Color,John Wiley & Sons,architecture,1.0,Color from a master
Itten The Elements of Color,John Wiley & Sons,architecture,0.0,Kindle edition has Black and white images?!
Itten The Elements of Color,John Wiley & Sons,architecture,1.0,johannes said it all ! PERIOD.
Itten The Elements of Color,John Wiley & Sons,architecture,0.25,Way over my head!
Itten The Elements of Color,John Wiley & Sons,architecture,0.75,ITTEN The Elements of Colour
Itten The Elements of Color,John Wiley & Sons,architecture,1.0,essential color theory reference
Itten The Elements of Color,John Wiley & Sons,architecture,0.25,"Itten, the elements of color"
Itten The Elements of Color,John Wiley & Sons,architecture,0.25,Technical book written by someone who does not know how to write a technical book.
Itten The Elements of Color,John Wiley & Sons,architecture,1.0,A color theory basic!
Itten The Elements of Color,John Wiley & Sons,architecture,1.0,"Reasonable price, helpful, succinct"
Itten The Elements of Color,John Wiley & Sons,architecture,1.0,Great Book
Itten The Elements of Color,John Wiley & Sons,architecture,1.0,The Elements of Colour - every artists colour bible
Itten The Elements of Color,John Wiley & Sons,architecture,1.0,Awesome Introduction.
Itten The Elements of Color,John Wiley & Sons,architecture,1.0,Itten The Elements of Color
Itten The Elements of Color,John Wiley & Sons,architecture,1.0,THE MOST FLUENT AUTHOR OF COLOR
PE Sample Questions and Solutions: Chemical Engineering,Kaplan AEC Engineering,architecture,1.0,Essential Step in PE Preparation
PE Sample Questions and Solutions: Chemical Engineering,Kaplan AEC Engineering,architecture,1.0,Very similar to actual exam
PE Sample Questions and Solutions: Chemical Engineering,Kaplan AEC Engineering,architecture,0.75,Outdated - Does not match new test specificiations (April 2011)
PE Sample Questions and Solutions: Chemical Engineering,Kaplan AEC Engineering,architecture,0.75,Are you kidding?
Lo Mejor del Feng Shui para la Prosperidad (Spanish Edition),Simon and Schuster,architecture,0.75,LIBRO DE PROSPERIDAD
Lo Mejor del Feng Shui para la Prosperidad (Spanish Edition),Simon and Schuster,architecture,1.0,YO soy fan..atico seguidor del Maestro
Victorian Gothic Designs (International Design Library),Stemmer House Pub,architecture,0.25,Disappointing on several levels
Victorian Gothic Designs (International Design Library),Stemmer House Pub,architecture,0.0,heavily inked in plate repros of circa 1875 designs
Living in Morocco: Design from Casablanca to Marrakesh,,architecture,1.0,Aboslutely Stunning
Living in Morocco: Design from Casablanca to Marrakesh,,architecture,1.0,Wonderful Examples
Living in Morocco: Design from Casablanca to Marrakesh,,architecture,0.75,An atmospheric look at Morocco
Living in Morocco: Design from Casablanca to Marrakesh,,architecture,0.5,LIVING IN MOROCCO
Living in Morocco: Design from Casablanca to Marrakesh,,architecture,1.0,A completely different take on interior design
Living in Morocco: Design from Casablanca to Marrakesh,,architecture,0.5,Living in Morocco
Living in Morocco: Design from Casablanca to Marrakesh,,architecture,1.0,Beautiful Book
Change and Continuity in Spatial Planning,Routledge,architecture,0.75,Shows the Challenges of Spatial Planning in Cape Town
The Building,,architecture,0.5,Bizarre but truly memorable
Old Barns - New Homes: A Showcase Of Architectural Conversions,Schiffer Pub Limited,architecture,0.25,Spend your money elsewhere
Old Barns - New Homes: A Showcase Of Architectural Conversions,Schiffer Pub Limited,architecture,1.0,"A fantastic trip through beautiful barns, both old and new!"
Old Barns - New Homes: A Showcase Of Architectural Conversions,Schiffer Pub Limited,architecture,1.0,A must read for barn lovers....
Principles of Instructional Design,Wadsworth Publishing Company,architecture,1.0,Timeless ID Basics
Principles of Instructional Design,Wadsworth Publishing Company,architecture,0.5,Nothing new
Principles of Instructional Design,Wadsworth Publishing Company,architecture,0.75,great resource!
Principles of Instructional Design,Wadsworth Publishing Company,architecture,1.0,Good
Principles of Instructional Design,Wadsworth Publishing Company,architecture,1.0,POID review
Principles of Instructional Design,Wadsworth Publishing Company,architecture,0.5,Principles of Instructional Design
Principles of Instructional Design,Wadsworth Publishing Company,architecture,1.0,5th edition now available
Cool Construction (4x4 Series),,architecture,0.75,Rationalism and Whimsy: The 4x4 Series
Finnish Fireplaces: Heart of the Home,Maine Wood Heat Company,architecture,0.25,Coffee Table Book - good for ideas but no plans or detailed design
Finnish Fireplaces: Heart of the Home,Maine Wood Heat Company,architecture,1.0,"the Gods of Fire say, ""Yes""."
"Color, Environment, & Human Response",John Wiley & Sons,architecture,1.0,Excellent Book- Very Helpful
"Color, Environment, & Human Response",John Wiley & Sons,architecture,1.0,Good Enough I'm Looking for the Author
Classic House-Windy Hill: Ken Tate Architect (The Classic House),Images Publishing,architecture,0.75,Nice coffee table book about a single house
Untitled Epic Poem on the History of Industrialization,Estate of R. Buckminster Fuller,architecture,1.0,Amazingly ... amazing.
London Minimum (World Design Series),Stewart Tabori & Chang,architecture,0.75,Idiosyncratic take on minimalist interiors
London Minimum (World Design Series),Stewart Tabori & Chang,architecture,1.0,The Bible for Minimalism and its British origins
Ten Houses: Peter Forbes and Associates,Rockport Pub,architecture,1.0,excellent for students and practicing architects
Ten Houses: Peter Forbes and Associates,Rockport Pub,architecture,1.0,Nice book
Ten Houses: Peter Forbes and Associates,Rockport Pub,architecture,1.0,First class all the way
Shaping Seattle Architecture: A Historical Guide to the Architects,University of Washington Press,architecture,1.0,Shaping Seattle Architecture
Shaping Seattle Architecture: A Historical Guide to the Architects,University of Washington Press,architecture,0.5,Literally falls apart
The Temporary,,architecture,0.75,what a writer
The Temporary,,architecture,1.0,Excellent
The Temporary,,architecture,0.25,Rachel Cusk: Becoming a Writer
Superstructures: The World's Greatest Modern Structures,Merrell Pub Limited,architecture,1.0,"Big and surprising, plenty of pictures"
"Redeveloping Brownfields: Landscape Architects, Site Planners, Developers",McGraw Hill Professional,architecture,1.0,Redeveloping Brownfields
