title,publisher,categories,review_score,review_summary
Pyrography Designs,Fox Chapel Publishing Company Incorporated,art,0.75,Good Overview of Subject
Pyrography Designs,Fox Chapel Publishing Company Incorporated,art,1.0,Thank You Norma
Pyrography Designs,Fox Chapel Publishing Company Incorporated,art,0.25,Not Patterns - but Detailed Sketches
Pyrography Designs,Fox Chapel Publishing Company Incorporated,art,1.0,Pyrography Desings
Pyrography Designs,Fox Chapel Publishing Company Incorporated,art,1.0,great gift
Pyrography Designs,Fox Chapel Publishing Company Incorporated,art,0.75,It has some good designs
Pyrography Designs,Fox Chapel Publishing Company Incorporated,art,1.0,Gift for Grandson
Pyrography Designs,Fox Chapel Publishing Company Incorporated,art,0.75,pyrography designs
"The Art of Technical Documentation, Second Edition",Univ of California Press,art,0.25,"Too scattered, too shallow"
"The Art of Technical Documentation, Second Edition",Univ of California Press,art,0.75,Escellent reference document
Nudes,Courier Corporation,art,1.0,"I am biased, but this is an amazing book. A must have for any modern American art collector!"
Drawing textbook: The teaching and utilization of drawing for educational purposes,,art,1.0,Great deal!
Drawing textbook: The teaching and utilization of drawing for educational purposes,,art,0.75,great book but what's with the price?
Drawing textbook: The teaching and utilization of drawing for educational purposes,,art,0.25,A booklet- not a textbook!
Drawing textbook: The teaching and utilization of drawing for educational purposes,,art,1.0,a handy manual for drawing 101
Drawing textbook: The teaching and utilization of drawing for educational purposes,,art,1.0,great foundation for drawing
Drawing textbook: The teaching and utilization of drawing for educational purposes,,art,1.0,Every homeschool should have a copy
Drawing textbook: The teaching and utilization of drawing for educational purposes,,art,0.75,user friendly
Drawing textbook: The teaching and utilization of drawing for educational purposes,,art,0.75,A real gem!!
Drawing textbook: The teaching and utilization of drawing for educational purposes,,art,0.75,art book
Drawing textbook: The teaching and utilization of drawing for educational purposes,,art,1.0,Anyone can learn to draw with this!
Drawing textbook: The teaching and utilization of drawing for educational purposes,,art,1.0,Required for Art class
Drawing textbook: The teaching and utilization of drawing for educational purposes,,art,1.0,Time to Draw
Drawing textbook: The teaching and utilization of drawing for educational purposes,,art,1.0,"Perfect -- simple & to the point, no wasted space"
Beauty & Submission,Univ of California Press,art,1.0,Not so hidden fantasies explored and discovered ...
Beauty & Submission,Univ of California Press,art,1.0,Beautiful Submission
Beauty & Submission,Univ of California Press,art,0.0,Where was the editor?
Beauty & Submission,Univ of California Press,art,0.25,Disappointing
Beauty & Submission,Univ of California Press,art,0.25,"Like a train wreck, you want to look away, but you can't."
Memoirs of the Blind: The Self-Portrait and Other Ruins,,art,1.0,Drawing Conclusions at the the Louvre
Memoirs of the Blind: The Self-Portrait and Other Ruins,,art,1.0,Memoir or Memory?
Memoirs of the Blind: The Self-Portrait and Other Ruins,,art,0.75,Vision of Blindness
Quilts from the Smithsonian,Martingale & Company Incorporated,art,1.0,Quilts from the Smithsonian
In Your Face Too! : The Best Interactive Interface Designs,Rockport Pub,art,1.0,Great book!
In Your Face Too! : The Best Interactive Interface Designs,Rockport Pub,art,0.75,it hurts my brain
Illuminated Manuscripts of Medieval Spain,Todtri Book Pub,art,1.0,Spanish illumination...
Illuminated Manuscripts of Medieval Spain,Todtri Book Pub,art,1.0,thorough without overdoing it
Illuminated Manuscripts of Medieval Spain,Todtri Book Pub,art,1.0,extremely thorough
Illuminated Manuscripts of Medieval Spain,Todtri Book Pub,art,1.0,THE book on this unique style
Treasures of Gilcrease: Selections from the Permanent Collection,University of Oklahoma Press,art,1.0,A Carefully Selected Sample of the Museum
Treasures of Gilcrease: Selections from the Permanent Collection,University of Oklahoma Press,art,1.0,Outstanding Museum Guide
Impressionism,Yale University Press,art,0.25,Politics?
Impressionism,Yale University Press,art,1.0,A Near-Complete History Made Clear and Easy
Impressionism,Yale University Press,art,1.0,Great book!
Hokusai,Museum of Fine Arts Boston,art,1.0,The definitive collection
Hokusai,Museum of Fine Arts Boston,art,1.0,Young man crazy about this book
Hokusai,Museum of Fine Arts Boston,art,1.0,Thorough
Hokusai,Museum of Fine Arts Boston,art,1.0,A book to hold and to keep!
Hokusai,Museum of Fine Arts Boston,art,1.0,Great Book!
Hokusai,Museum of Fine Arts Boston,art,0.75,Good book
Hokusai,Museum of Fine Arts Boston,art,1.0,excellent
Black Square & Compass: 200 years of Prince Hall Freemasonry,Yale University Press,art,1.0,Good Foundation
Black Square & Compass: 200 years of Prince Hall Freemasonry,Yale University Press,art,1.0,Fast
Black Square & Compass: 200 years of Prince Hall Freemasonry,Yale University Press,art,1.0,Great gift!
"Hip Hop Files: Photographs, 1979-1984",From Here to Fame Gmbh,art,1.0,This is REAL Hip Hop!!!!!
"Hip Hop Files: Photographs, 1979-1984",From Here to Fame Gmbh,art,1.0,Fabulous resource
"Hip Hop Files: Photographs, 1979-1984",From Here to Fame Gmbh,art,1.0,Terrific book
"Hip Hop Files: Photographs, 1979-1984",From Here to Fame Gmbh,art,1.0,dont sleep get it while you can
"Hip Hop Files: Photographs, 1979-1984",From Here to Fame Gmbh,art,1.0,Hip Hop Icons don't lie ...
"Hip Hop Files: Photographs, 1979-1984",From Here to Fame Gmbh,art,0.0,IS MARTHA COOPER THE ORGINAL QUEEN OF HIP HOP?
"Hip Hop Files: Photographs, 1979-1984",From Here to Fame Gmbh,art,1.0,Great
"Hip Hop Files: Photographs, 1979-1984",From Here to Fame Gmbh,art,1.0,Great Book
"Hip Hop Files: Photographs, 1979-1984",From Here to Fame Gmbh,art,0.75,Worth the Fare
Maurizio Cattelan (Contemporary Artists),Phaidon Incorporated Limited,art,0.5,MINI Book...Hard to see images!
Maurizio Cattelan (Contemporary Artists),Phaidon Incorporated Limited,art,1.0,Good Series Good Book
Maurizio Cattelan (Contemporary Artists),Phaidon Incorporated Limited,art,1.0,"Cattelan, Quater the Size Double the fun"
Maurizio Cattelan (Contemporary Artists),Phaidon Incorporated Limited,art,0.75,love the fight club nature of his work
More Fantasy Art Masters: The Best Fantasy and Science Fiction Artists Show How They Work,,art,1.0,A BEHIND THE SCENES GLIMPSE
More Fantasy Art Masters: The Best Fantasy and Science Fiction Artists Show How They Work,,art,0.0,meh!
More Fantasy Art Masters: The Best Fantasy and Science Fiction Artists Show How They Work,,art,0.0,Mr. Disappointed
"Rebel Visions: The Underground Comix Revolution, 1963-1975",Fantagraphics Books,art,1.0,The Inside Scoop
"Rebel Visions: The Underground Comix Revolution, 1963-1975",Fantagraphics Books,art,1.0,"When art won't feed our starving eyes, let us eat Crumbs..."
"Rebel Visions: The Underground Comix Revolution, 1963-1975",Fantagraphics Books,art,1.0,A thing of beauty is a joy forever
"Rebel Visions: The Underground Comix Revolution, 1963-1975",Fantagraphics Books,art,1.0,Excellent book
Richard Thompson: The Biography,Andrews McMeel Publishing,art,0.5,"Facts abound, but style is frustrating in this biography."
Richard Thompson: The Biography,Andrews McMeel Publishing,art,0.5,The Only Game in Town
Richard Thompson: The Biography,Andrews McMeel Publishing,art,0.5,Well tried
