title,publisher,categories,review_score,review_summary
Principles of Biblical Interpretation (Sacred Hermeneutics),,bible,0.75,A Standard Work From Which To Start
Principles of Biblical Interpretation (Sacred Hermeneutics),,bible,0.75,Good summary of most important features
Principles of Biblical Interpretation (Sacred Hermeneutics),,bible,1.0,Great Books
the modern use of the bible,"New York, Macmillan",bible,0.75,An excellent aid
"Come sweet death: A quintet from Genesis: 12345,",Pilgrim Press,bible,1.0,Preaching as Storytelling-Par Excellence
"Come sweet death: A quintet from Genesis: 12345,",Pilgrim Press,bible,0.75,"A complex, lyrical retelling of the Genesis stories"
"Word Biblical Commentary Vol. 2, Genesis 16-50 (wenham) 556pp",,bible,1.0,Very good treatment from a literary perspective
"Word Biblical Commentary Vol. 2, Genesis 16-50 (wenham) 556pp",,bible,1.0,Between Wenham and Hamilton
"Word Biblical Commentary Vol. 2, Genesis 16-50 (wenham) 556pp",,bible,0.75,Critical Commentary
The Letter Writer,A&C Black,bible,1.0,A compelling satirical spoof of those frantic get-rich-quick
The Letter Writer,A&C Black,bible,1.0,Great Read
The Letter Writer,A&C Black,bible,0.75,dotcom deceipt
The Letter Writer,A&C Black,bible,1.0,Where has this author been all my life??
The Letter Writer,A&C Black,bible,1.0,A classic!
The Letter Writer,A&C Black,bible,1.0,A Real Page Turner!
The Letter Writer,A&C Black,bible,1.0,Wow! Did I ever enjoy this book!
The psychology of Biblical interpretation,,bible,1.0,A significant book in psychology and the Bible
The Enduring Community: Embracing the Priority of the Church,,bible,1.0,Best book on ecclesiology I've read!
The Song of Songs: A New Translation (Love Lyrics from the Bible),,bible,0.75,Song of Songs
Judges (Word Biblical Commentary),,bible,0.75,Great Scholarly Resource.
Introducing the New Testament (SCM cheap edition),,bible,1.0,A good book suitable for both Christians &amp; non-Christians
Lectures on the Epistle to the Hebrews (The Serious Christian : Series 2),,bible,1.0,The best work on Hebrews.
The life and times of Jesus the Messiah,,bible,1.0,A Treasure Trove
The life and times of Jesus the Messiah,,bible,1.0,Hard to beat for Jewish NT insight
The life and times of Jesus the Messiah,,bible,0.75,A Vintage Masterpiece
The life and times of Jesus the Messiah,,bible,1.0,The Life and Times of Jesus The Messiah - Edersheim
The life and times of Jesus the Messiah,,bible,1.0,A rich accounting of Jewish culture: beyond scholasticism
The life and times of Jesus the Messiah,,bible,1.0,Excellent background on the life and times of Jesus!
The life and times of Jesus the Messiah,,bible,1.0,Excellent Reference Source
The life and times of Jesus the Messiah,,bible,0.75,A meticulous investigation on the The Nazarene Carpentar.
The life and times of Jesus the Messiah,,bible,1.0,excellent reading
The life and times of Jesus the Messiah,,bible,0.5,"Dense info, dated style, lots of typos"
The life and times of Jesus the Messiah,,bible,0.75,Kindle Sample Version
The life and times of Jesus the Messiah,,bible,0.75,typos galore!
The life and times of Jesus the Messiah,,bible,0.5,"Interesting, Outdated"
The life and times of Jesus the Messiah,,bible,1.0,Educational
The life and times of Jesus the Messiah,,bible,0.75,Biblical Study
The life and times of Jesus the Messiah,,bible,1.0,Suzy
The life and times of Jesus the Messiah,,bible,0.75,The Life and Times of Jesus the Messiah:New Updated Edition
The life and times of Jesus the Messiah,,bible,1.0,Messiah's Life and Times plus more!
The life and times of Jesus the Messiah,,bible,0.75,A meticulous investigation on the Nazarene Carpentar.
The life and times of Jesus the Messiah,,bible,1.0,Bringing Jesus to life!
The life and times of Jesus the Messiah,,bible,0.5,"A Rough Read, Dated Scholarship"
The life and times of Jesus the Messiah,,bible,0.75,"Good book, hard to reference"
The life and times of Jesus the Messiah,,bible,0.25,Not the complete work
The life and times of Jesus the Messiah,,bible,1.0,Incredible
The life and times of Jesus the Messiah,,bible,1.0,Wow!
The life and times of Jesus the Messiah,,bible,1.0,Wonderful insight
The life and times of Jesus the Messiah,,bible,1.0,Wonderful Insight
The life and times of Jesus the Messiah,,bible,0.75,Good But Not The Volume That I thought I Was Getting.
The life and times of Jesus the Messiah,,bible,1.0,In depth and concise
The life and times of Jesus the Messiah,,bible,1.0,THE LIFE AND TIMES OF JESUS THE MESSIAH--wonderful guide into the depths of the Gospels
The life and times of Jesus the Messiah,,bible,0.75,Reference
The life and times of Jesus the Messiah,,bible,0.75,Jesus the Messiah
