title,publisher,categories,review_score,review_summary
History of Magic and the Occult,Dorling Kindersley Ltd,body mind spirit,0.75,An entertaining panorama on magics and demon
History of Magic and the Occult,Dorling Kindersley Ltd,body mind spirit,1.0,a bibliophiliac wedding of the SURREALIST &amp; the OCCULTIST
History of Magic and the Occult,Dorling Kindersley Ltd,body mind spirit,0.75,Informative but dry...
History of Magic and the Occult,Dorling Kindersley Ltd,body mind spirit,1.0,a bibliophiliac wedding of the SURREALIST &amp; the OCCULTIST
History of Magic and the Occult,Dorling Kindersley Ltd,body mind spirit,0.75,A Great Starter for one interested in the Occult
History of Magic and the Occult,Dorling Kindersley Ltd,body mind spirit,0.25,Disappointing
Death Dream,Beacon Press,body mind spirit,1.0,Dreams that kill.....
Death Dream,Beacon Press,body mind spirit,0.5,Super Reader
Death Dream,Beacon Press,body mind spirit,0.75,Makes you not want to sleep at night.....
Death Dream,Beacon Press,body mind spirit,0.75,Dream Warriors must close door opened to nightmare.
Death Dream,Beacon Press,body mind spirit,1.0,I WISH THIS WOULD BE A MOVIE.
Death Dream,Beacon Press,body mind spirit,0.5,LONG DAY'S JOURNEY INTO NIGHTMARE
Death Dream,Beacon Press,body mind spirit,0.0,Tedious development of thin plot and caricaturist characters
Death Dream,Beacon Press,body mind spirit,0.75,Very Well Done
Death Dream,Beacon Press,body mind spirit,0.75,entertaining...
Death Dream,Beacon Press,body mind spirit,0.75,This is a tough book to review
Death Dream,Beacon Press,body mind spirit,1.0,Hmm...whats one to do.
Death Dream,Beacon Press,body mind spirit,0.0,A waste of my time
Death Dream,Beacon Press,body mind spirit,1.0,scary
Death Dream,Beacon Press,body mind spirit,0.75,An interesting foray into vr
Death Dream,Beacon Press,body mind spirit,0.75,Death Dream-virtual reality
Death Dream,Beacon Press,body mind spirit,0.5,LONG DAY'S JOURNEY INTO NIGHTMARE
Death Dream,Beacon Press,body mind spirit,0.0,Tedious development of thin plot and caricaturist characters
Death Dream,Beacon Press,body mind spirit,0.75,Very Well Done
Death Dream,Beacon Press,body mind spirit,0.75,entertaining...
