title,publisher,categories,review_score,review_summary
Its Only Art If Its Well Hung!,,comics graphic novels,0.75,Nice collection of Julie Strain images
The Rabbi's Cat,Pantheon,comics graphic novels,0.75,Tremendously entertaining mixture of fable and wisdom
The Rabbi's Cat,Pantheon,comics graphic novels,1.0,A wonderful & enlightening book.
The Rabbi's Cat,Pantheon,comics graphic novels,1.0,"absolutely delightful and imaginative --If your rabbi hates this, switch rabbis"
The Rabbi's Cat,Pantheon,comics graphic novels,1.0,Judaism through a cat's lovingly irreverent eyes
The Rabbi's Cat,Pantheon,comics graphic novels,1.0,What Does the Torah Say About Animals that Talk?
The Rabbi's Cat,Pantheon,comics graphic novels,0.75,"Wonderful, baffling mix"
The Rabbi's Cat,Pantheon,comics graphic novels,1.0,"Sharp, engrossing & delightful"
The Rabbi's Cat,Pantheon,comics graphic novels,1.0,The Rabbi's Cat
The Rabbi's Cat,Pantheon,comics graphic novels,1.0,Sfar's Best!
The Rabbi's Cat,Pantheon,comics graphic novels,1.0,Best new comic book series in a looong time
The Rabbi's Cat,Pantheon,comics graphic novels,1.0,Delightful folktale
The Rabbi's Cat,Pantheon,comics graphic novels,1.0,The Rabbi's Cat is the cat's meow!
The Rabbi's Cat,Pantheon,comics graphic novels,1.0,Bought it for a friend -- he loved it
The Rabbi's Cat,Pantheon,comics graphic novels,1.0,Lovely!
The Rabbi's Cat,Pantheon,comics graphic novels,0.75,Great introduction to Jewish practices
The Rabbi's Cat,Pantheon,comics graphic novels,1.0,A charming piece of work
The Rabbi's Cat,Pantheon,comics graphic novels,1.0,Fabulous.
The Rabbi's Cat,Pantheon,comics graphic novels,1.0,The Rabbi's Cat is a Winner
The Rabbi's Cat,Pantheon,comics graphic novels,1.0,Imaginitive & Insightful
The Rabbi's Cat,Pantheon,comics graphic novels,1.0,fantastic graphic novel
The Rabbi's Cat,Pantheon,comics graphic novels,1.0,"A wonderful, funny-sad book"
The Rabbi's Cat,Pantheon,comics graphic novels,1.0,My Rabbi loved this book too
The Rabbi's Cat,Pantheon,comics graphic novels,1.0,"This is the most wonderful, charming Jewish book to come out in the last ten years."
The Rabbi's Cat,Pantheon,comics graphic novels,0.75,Blessed are those who transgress
The Rabbi's Cat,Pantheon,comics graphic novels,0.75,Like Issac Bashevis Singer - with pictures!
The Rabbi's Cat,Pantheon,comics graphic novels,1.0,A great read.
The Rabbi's Cat,Pantheon,comics graphic novels,0.75,Humorous and profound
The Rabbi's Cat,Pantheon,comics graphic novels,1.0,A Masterpiece! Meet the first reconstructionist cat and rabbi from Algeria
The Rabbi's Cat,Pantheon,comics graphic novels,1.0,good artwork too!
The Rabbi's Cat,Pantheon,comics graphic novels,1.0,The Cat's Meow
The Rabbi's Cat,Pantheon,comics graphic novels,1.0,A fantastic graphic novel
The Rabbi's Cat,Pantheon,comics graphic novels,0.75,Thought provoking
The Rabbi's Cat,Pantheon,comics graphic novels,1.0,"Delightful, exotic world seen through a cat's eyes"
The Rabbi's Cat,Pantheon,comics graphic novels,1.0,Beautiful and Entertaining
The Rabbi's Cat,Pantheon,comics graphic novels,1.0,Short and Sweet
The Rabbi's Cat,Pantheon,comics graphic novels,0.5,Too Aimless for My Taste
The Rabbi's Cat,Pantheon,comics graphic novels,0.0,Unpleasant and disappointing
The Rabbi's Cat,Pantheon,comics graphic novels,0.5,Grafic Novels
The Rabbi's Cat,Pantheon,comics graphic novels,0.0,Self-Serving Message
The Rabbi's Cat,Pantheon,comics graphic novels,0.0,Not what it looks like on the cover.
Forward the Mage,Baen Books,comics graphic novels,0.75,Satire with substance
Forward the Mage,Baen Books,comics graphic novels,0.75,Forward the Mage an Alternate Style
Forward the Mage,Baen Books,comics graphic novels,1.0,Rise of the Rebel
Forward the Mage,Baen Books,comics graphic novels,0.75,"A Lesser, but Worthwhile, Effort"
Forward the Mage,Baen Books,comics graphic novels,1.0,This is the book that got me to really love Flint
Forward the Mage,Baen Books,comics graphic novels,1.0,The Vernors' of fantasy books
Forward the Mage,Baen Books,comics graphic novels,1.0,It staggers! It weaves like a drunkard! And oh! the lunacy! Plus pedantry! A Rabelaisian homage well worth the while!
Forward the Mage,Baen Books,comics graphic novels,1.0,Strange but true
Forward the Mage,Baen Books,comics graphic novels,1.0,Fantasy writing at its best
Forward the Mage,Baen Books,comics graphic novels,0.0,OOPS! WRONG BOOK!!
Forward the Mage,Baen Books,comics graphic novels,0.25,Pass On This One
Forward the Mage,Baen Books,comics graphic novels,0.25,A device grows old
Forward the Mage,Baen Books,comics graphic novels,0.5,"Good mix of politics, humor, and a fascinating world"
Forward the Mage,Baen Books,comics graphic novels,0.0,All foam - no beer
Forward the Mage,Baen Books,comics graphic novels,0.0,put it down after a few chapters
Forward the Mage,Baen Books,comics graphic novels,0.25,Too wordy....
Calling in the Night,VIZ Media LLC,comics graphic novels,1.0,Gentle but Bold
Calling in the Night,VIZ Media LLC,comics graphic novels,1.0,Calling In The Night: A Fulfilling Read
Calling in the Night,VIZ Media LLC,comics graphic novels,1.0,Like A Pillow Case On Halloween! Full Of All Sorts Of Different Goodies!
Calling in the Night,VIZ Media LLC,comics graphic novels,1.0,Charming
Calling in the Night,VIZ Media LLC,comics graphic novels,1.0,Cute but Real
Calling in the Night,VIZ Media LLC,comics graphic novels,1.0,Delightful
Calling in the Night,VIZ Media LLC,comics graphic novels,1.0,"Buy, Read, and Keep This Book"
Calling in the Night,VIZ Media LLC,comics graphic novels,1.0,Enjoyable and Different
Calling in the Night,VIZ Media LLC,comics graphic novels,1.0,"Buy, Read, and Keep This Book"
Calling in the Night,VIZ Media LLC,comics graphic novels,0.25,Disappointing . . .
Hysteria in Remission,,comics graphic novels,1.0,SCOUNDRELS WEAR SMOCKS
Hysteria in Remission,,comics graphic novels,1.0,Comprehensive and Exquisitely Designed
Hysteria in Remission,,comics graphic novels,1.0,A COMPLETE CHECKLIST OF THE ORIGINAL PUBLICATIONS OF HIS DRAWINGS!
Hysteria in Remission,,comics graphic novels,1.0,The Hard Stuff
Hysteria in Remission,,comics graphic novels,1.0,"Good, good."
Hysteria in Remission,,comics graphic novels,1.0,Its Williams...
Classic Dan Dare: The Red Moon Mystery,"Titan Books (US, CA)",comics graphic novels,1.0,'Fifties' Visions of a Bright Future
"B. Krigstein, Volume 1",Fantagraphics Books,comics graphic novels,1.0,absolutely essential for comic fans and artists of all types
"B. Krigstein, Volume 1",Fantagraphics Books,comics graphic novels,1.0,One of the great forgotten comic artist
"B. Krigstein, Volume 1",Fantagraphics Books,comics graphic novels,1.0,More than EC
"B. Krigstein, Volume 1",Fantagraphics Books,comics graphic novels,1.0,An artist in full
Luba in America,Luba Trilogy,comics graphic novels,0.75,"Great fatasy involving family, friends, lovers and family"
Sombra,Boom,comics graphic novels,1.0,"one of my favorites, sensitive and introspective"
Sombra,Boom,comics graphic novels,0.5,pretty disappointing
Sombra,Boom,comics graphic novels,0.75,Transgresora
Sombra,Boom,comics graphic novels,0.75,gigantic tome of non erotic frontal nude men.
The Infinity Gauntlet,Marvel,comics graphic novels,1.0,One of Marvel's All-Time Classics
The Infinity Gauntlet,Marvel,comics graphic novels,1.0,Awesome story.
The Infinity Gauntlet,Marvel,comics graphic novels,1.0,One of the best comic stories I ever read.
The Infinity Gauntlet,Marvel,comics graphic novels,1.0,"Godhood is overrated, but this story isn't!"
The Infinity Gauntlet,Marvel,comics graphic novels,1.0,Cosmic Goodness!
The Infinity Gauntlet,Marvel,comics graphic novels,1.0,cosmic epic is strong read and a classi c of its kind
The Infinity Gauntlet,Marvel,comics graphic novels,1.0,My favorite story of all time
The Infinity Gauntlet,Marvel,comics graphic novels,1.0,One of if not the best stories in the marvel universe
The Infinity Gauntlet,Marvel,comics graphic novels,1.0,The best of the Infinity saga
The Infinity Gauntlet,Marvel,comics graphic novels,1.0,Long Time coming
The Infinity Gauntlet,Marvel,comics graphic novels,1.0,One of the best ever
The Infinity Gauntlet,Marvel,comics graphic novels,1.0,one of the greatest TPB's of all time
The Infinity Gauntlet,Marvel,comics graphic novels,1.0,The Ultimate Cosmic Saga
The Infinity Gauntlet,Marvel,comics graphic novels,0.75,The Definitive Infinity Gaunlet Review
The Infinity Gauntlet,Marvel,comics graphic novels,0.75,Fun Original Read
The Infinity Gauntlet,Marvel,comics graphic novels,0.75,nice book
The Infinity Gauntlet,Marvel,comics graphic novels,0.75,Marvel at its Metaphysical Best
The Infinity Gauntlet,Marvel,comics graphic novels,1.0,"Great story, I am enjoying it"
The Infinity Gauntlet,Marvel,comics graphic novels,0.75,"Great story, with a few minor issues"
The Infinity Gauntlet,Marvel,comics graphic novels,0.75,Excellent
The Infinity Gauntlet,Marvel,comics graphic novels,1.0,Story and artistry are awesome
The Infinity Gauntlet,Marvel,comics graphic novels,1.0,Let Nihilism Reign Supreme!
The Infinity Gauntlet,Marvel,comics graphic novels,1.0,A wholly satisfying conclusion to the brilliant Thanos Quest books
The Infinity Gauntlet,Marvel,comics graphic novels,1.0,best graphic novel ever....
The Infinity Gauntlet,Marvel,comics graphic novels,1.0,This deserves to be an Animated Movie.
The Infinity Gauntlet,Marvel,comics graphic novels,1.0,Brilliant
The Infinity Gauntlet,Marvel,comics graphic novels,1.0,Brought back memories
The Infinity Gauntlet,Marvel,comics graphic novels,1.0,The best crossover ever
The Infinity Gauntlet,Marvel,comics graphic novels,1.0,The Infinate Saga......
The Infinity Gauntlet,Marvel,comics graphic novels,1.0,A Keeper!
The Infinity Gauntlet,Marvel,comics graphic novels,1.0,A Collector's Review
The Infinity Gauntlet,Marvel,comics graphic novels,0.5,Starlin Has One Story To Tell
The Infinity Gauntlet,Marvel,comics graphic novels,0.5,Meh
The Infinity Gauntlet,Marvel,comics graphic novels,1.0,ONE OF MARVELS GREAT EPICS
The Infinity Gauntlet,Marvel,comics graphic novels,1.0,"Una gemma nella sezione ""cosmica"" Marvel"
The Infinity Gauntlet,Marvel,comics graphic novels,0.5,Different kind of god
The Infinity Gauntlet,Marvel,comics graphic novels,1.0,Early-Nineties didn't Completly Suck
The Infinity Gauntlet,Marvel,comics graphic novels,0.5,disapoints
The Infinity Gauntlet,Marvel,comics graphic novels,1.0,Cosmic craziness with a great conclusion
The Infinity Gauntlet,Marvel,comics graphic novels,0.75,Wonderful!
The Infinity Gauntlet,Marvel,comics graphic novels,1.0,Maybe one of the greatest stories Marvel ever told!
The Infinity Gauntlet,Marvel,comics graphic novels,1.0,What one does when becoming god.
The Infinity Gauntlet,Marvel,comics graphic novels,1.0,Starlin's Madness
The Infinity Gauntlet,Marvel,comics graphic novels,1.0,The best marvel story ever written.
The Infinity Gauntlet,Marvel,comics graphic novels,1.0,Defining moments
The Infinity Gauntlet,Marvel,comics graphic novels,0.75,I would do anything for love...
The Infinity Gauntlet,Marvel,comics graphic novels,1.0,Required Reading in Anticipation of the Avengers 2
The Infinity Gauntlet,Marvel,comics graphic novels,1.0,Wonderful story!!
Snoopy and the Red Baron,Fantagraphics Books,comics graphic novels,0.75,My 4 year old loves it.
Snoopy and the Red Baron,Fantagraphics Books,comics graphic novels,1.0,"An excellent book for young readers, they will want to read it"
Snoopy and the Red Baron,Fantagraphics Books,comics graphic novels,0.75,Graphic SF Reader
Snoopy and the Red Baron,Fantagraphics Books,comics graphic novels,1.0,Snoopy and the Red Baron
Snoopy and the Red Baron,Fantagraphics Books,comics graphic novels,1.0,Vintage Book: Snoopy and the Red Baron
Snoopy and the Red Baron,Fantagraphics Books,comics graphic novels,1.0,Snoopy the Aviator!
The Marvel Encyclopedia: The Definitive Guide to the Characters of the Marvel Universe,Dk Pub,comics graphic novels,1.0,THE GREATEST BOOK EVER!!!!!!
The Marvel Encyclopedia: The Definitive Guide to the Characters of the Marvel Universe,Dk Pub,comics graphic novels,1.0,marvel book
The Marvel Encyclopedia: The Definitive Guide to the Characters of the Marvel Universe,Dk Pub,comics graphic novels,1.0,great book
The Marvel Encyclopedia: The Definitive Guide to the Characters of the Marvel Universe,Dk Pub,comics graphic novels,0.75,A Great Poop Book
The Marvel Encyclopedia: The Definitive Guide to the Characters of the Marvel Universe,Dk Pub,comics graphic novels,1.0,AN OUTSTANDING BOOK !! DO NOT MISS IT.
The Marvel Encyclopedia: The Definitive Guide to the Characters of the Marvel Universe,Dk Pub,comics graphic novels,1.0,Fantastic
The Marvel Encyclopedia: The Definitive Guide to the Characters of the Marvel Universe,Dk Pub,comics graphic novels,0.5,genial !
The Marvel Encyclopedia: The Definitive Guide to the Characters of the Marvel Universe,Dk Pub,comics graphic novels,0.5,"I wrote a review, but for some reason"
The Marvel Encyclopedia: The Definitive Guide to the Characters of the Marvel Universe,Dk Pub,comics graphic novels,1.0,Excelsior
The Marvel Encyclopedia: The Definitive Guide to the Characters of the Marvel Universe,Dk Pub,comics graphic novels,1.0,Comic book Enthusiast
The Marvel Encyclopedia: The Definitive Guide to the Characters of the Marvel Universe,Dk Pub,comics graphic novels,0.5,Nice!Not More!
The Marvel Encyclopedia: The Definitive Guide to the Characters of the Marvel Universe,Dk Pub,comics graphic novels,1.0,Marvel
The Marvel Encyclopedia: The Definitive Guide to the Characters of the Marvel Universe,Dk Pub,comics graphic novels,1.0,Marvel Encyclopedia
The Marvel Encyclopedia: The Definitive Guide to the Characters of the Marvel Universe,Dk Pub,comics graphic novels,0.75,Very Good
The Marvel Encyclopedia: The Definitive Guide to the Characters of the Marvel Universe,Dk Pub,comics graphic novels,1.0,The Marvel Encyclopedia
The Marvel Encyclopedia: The Definitive Guide to the Characters of the Marvel Universe,Dk Pub,comics graphic novels,1.0,Excellent book for any marvel fan
The Marvel Encyclopedia: The Definitive Guide to the Characters of the Marvel Universe,Dk Pub,comics graphic novels,1.0,the greatest
The Marvel Encyclopedia: The Definitive Guide to the Characters of the Marvel Universe,Dk Pub,comics graphic novels,1.0,Good information and pretty well updated
The Marvel Encyclopedia: The Definitive Guide to the Characters of the Marvel Universe,Dk Pub,comics graphic novels,0.5,Proofreader's nightmare
The Marvel Encyclopedia: The Definitive Guide to the Characters of the Marvel Universe,Dk Pub,comics graphic novels,0.5,"It's no OHOTMU, but it does the job"
The Marvel Encyclopedia: The Definitive Guide to the Characters of the Marvel Universe,Dk Pub,comics graphic novels,0.75,"A GREAT READ, but horrible encyclopedia"
The Marvel Encyclopedia: The Definitive Guide to the Characters of the Marvel Universe,Dk Pub,comics graphic novels,0.5,Wait for a Revised Edition before you buy!
The Marvel Encyclopedia: The Definitive Guide to the Characters of the Marvel Universe,Dk Pub,comics graphic novels,0.75,Great but oh so many errors
The Marvel Encyclopedia: The Definitive Guide to the Characters of the Marvel Universe,Dk Pub,comics graphic novels,0.5,so many errors!
The Marvel Encyclopedia: The Definitive Guide to the Characters of the Marvel Universe,Dk Pub,comics graphic novels,0.5,Almost there...
The Marvel Encyclopedia: The Definitive Guide to the Characters of the Marvel Universe,Dk Pub,comics graphic novels,0.75,great but not as good as DC Encyclopedia
The Marvel Encyclopedia: The Definitive Guide to the Characters of the Marvel Universe,Dk Pub,comics graphic novels,0.75,Marvel Encyclopedia review
The Marvel Encyclopedia: The Definitive Guide to the Characters of the Marvel Universe,Dk Pub,comics graphic novels,0.25,Only Marvel
The Marvel Encyclopedia: The Definitive Guide to the Characters of the Marvel Universe,Dk Pub,comics graphic novels,0.75,I echo A Bloom's review: Space issues on certain charecters
The Marvel Encyclopedia: The Definitive Guide to the Characters of the Marvel Universe,Dk Pub,comics graphic novels,0.75,The Marvel Encyclopedia
The Marvel Encyclopedia: The Definitive Guide to the Characters of the Marvel Universe,Dk Pub,comics graphic novels,0.5,"Good resource book, although not as in-depth as its DC Comics counterpart"
The Marvel Encyclopedia: The Definitive Guide to the Characters of the Marvel Universe,Dk Pub,comics graphic novels,1.0,My son loves this book!
The Marvel Encyclopedia: The Definitive Guide to the Characters of the Marvel Universe,Dk Pub,comics graphic novels,1.0,"Or it could have been called ""The Marvel Bible"""
The Marvel Encyclopedia: The Definitive Guide to the Characters of the Marvel Universe,Dk Pub,comics graphic novels,0.5,Poorly Edited and Written But There's Nothing Else
The Marvel Encyclopedia: The Definitive Guide to the Characters of the Marvel Universe,Dk Pub,comics graphic novels,1.0,THE ULTIMATE MARVEL REFERENCE
The Marvel Encyclopedia: The Definitive Guide to the Characters of the Marvel Universe,Dk Pub,comics graphic novels,0.75,Precious
The Marvel Encyclopedia: The Definitive Guide to the Characters of the Marvel Universe,Dk Pub,comics graphic novels,1.0,Spans the Generations of Marvel Characters
The Marvel Encyclopedia: The Definitive Guide to the Characters of the Marvel Universe,Dk Pub,comics graphic novels,1.0,Happy with my purchase
The Marvel Encyclopedia: The Definitive Guide to the Characters of the Marvel Universe,Dk Pub,comics graphic novels,1.0,Packed full of Info/pictures/stories
