title,publisher,categories,review_score,review_summary
Information Breakthrough (Psi Successful Business Library),Hellgate Press,computers,1.0,"Not too much, not too little, but JUST RIGHT"
Information Breakthrough (Psi Successful Business Library),Hellgate Press,computers,0.25,Back to basics
Information Breakthrough (Psi Successful Business Library),Hellgate Press,computers,0.25,Back to basics
Encyclopedia of Software Engineering. Volumes I & II,CRC Press,computers,1.0,A great reference book for software engineering concepts
"Groupware, Workflow and Intranets: Re-engineering the Enterprise with Collaborative Software",Gulf Professional Publishing,computers,0.5,A View From 20000 feet
"Groupware, Workflow and Intranets: Re-engineering the Enterprise with Collaborative Software",Gulf Professional Publishing,computers,0.75,Good for introduction
The Simple Book: An Introduction to Networking Management (Prentice Hall Series in Innovative Technology),Prentice Hall,computers,0.25,"disappointing, confusing, not an good intro to snmp"
The Simple Book: An Introduction to Networking Management (Prentice Hall Series in Innovative Technology),Prentice Hall,computers,0.25,This is a fuzzy description of SNMP
The Simple Book: An Introduction to Networking Management (Prentice Hall Series in Innovative Technology),Prentice Hall,computers,0.0,Reading an RFC is more fun and more informative too!
The Simple Book: An Introduction to Networking Management (Prentice Hall Series in Innovative Technology),Prentice Hall,computers,0.0,"Not just disappointed, angered."
The Simple Book: An Introduction to Networking Management (Prentice Hall Series in Innovative Technology),Prentice Hall,computers,0.25,Horrible for beginners; no comment as a reference
The Simple Book: An Introduction to Networking Management (Prentice Hall Series in Innovative Technology),Prentice Hall,computers,0.75,The book does what the title promises
The Simple Book: An Introduction to Networking Management (Prentice Hall Series in Innovative Technology),Prentice Hall,computers,0.25,Disappointing that Amazon's Price is 15.00 more than at B&amp;N
In Athena's Camp: Preparing for Conflict in the Information Age,Rand Corporation,computers,0.75,A theoretical look at the next face of conflict
In Athena's Camp: Preparing for Conflict in the Information Age,Rand Corporation,computers,1.0,A very important book on security policy
In Athena's Camp: Preparing for Conflict in the Information Age,Rand Corporation,computers,0.25,Marginal
In Athena's Camp: Preparing for Conflict in the Information Age,Rand Corporation,computers,1.0,a text book on informational warfare
Thinking Recursively,John Wiley & Sons Incorporated,computers,1.0,A book for learning how to think
Thinking Recursively,John Wiley & Sons Incorporated,computers,1.0,I finally GET IT
Extreme Exploits: Advanced Defenses Against Hardcore Hacks (Hacking Exposed),McGraw Hill Professional,computers,0.75,Awesome stuff about infrastructure attacks
Extreme Exploits: Advanced Defenses Against Hardcore Hacks (Hacking Exposed),McGraw Hill Professional,computers,0.75,For going from the basics to the advanced...
Extreme Exploits: Advanced Defenses Against Hardcore Hacks (Hacking Exposed),McGraw Hill Professional,computers,0.75,Network infrastructure security sections are excellent
Extreme Exploits: Advanced Defenses Against Hardcore Hacks (Hacking Exposed),McGraw Hill Professional,computers,0.75,Good broad coverage
Extreme Exploits: Advanced Defenses Against Hardcore Hacks (Hacking Exposed),McGraw Hill Professional,computers,0.75,"Good coverage of darknets, honeynets, and triggered blackholes"
3ds max 4 Bible,Wiley,computers,1.0,"Literally, Step-By-Step"
3ds max 4 Bible,Wiley,computers,0.75,Almost perfect ...for beginners that is...
3ds max 4 Bible,Wiley,computers,1.0,"Excellent book, a sigh of relief!"
3ds max 4 Bible,Wiley,computers,1.0,Beginners' guide to 3DS MAX
3ds max 4 Bible,Wiley,computers,1.0,Great for Begginers
3ds max 4 Bible,Wiley,computers,1.0,GOOD book
3ds max 4 Bible,Wiley,computers,0.75,Great Book.
3ds max 4 Bible,Wiley,computers,0.75,Great Book.
3ds max 4 Bible,Wiley,computers,1.0,Great! Must have it!
3ds max 4 Bible,Wiley,computers,1.0,Good Examples
Crimson Skies: Aircraft Manual,Sybex,computers,0.5,Not bad designs throughout...
Crimson Skies: Aircraft Manual,Sybex,computers,0.5,Take note...
Crimson Skies: Aircraft Manual,Sybex,computers,0.5,FUN TO LOOK AT BUT THESE AIRCRAFT ARE IMPRACTICAL
Exam Master for the USMLE Step 2,,computers,0.0,don't even bother
Exam Master for the USMLE Step 2,,computers,0.0,Not worth all that money
Exam Master for the USMLE Step 2,,computers,0.0,Not useful and a waste of money
Exam Master for the USMLE Step 2,,computers,0.0,Don't waste your money on this
Exam Master for the USMLE Step 2,,computers,0.0,Exam Master. for the USMLE Step 2
Exam Master for the USMLE Step 2,,computers,0.0,You will be sorely disappointed
Exam Master for the USMLE Step 2,,computers,0.0,Bogus raving reviews on Exam Masters website
Exam Master for the USMLE Step 2,,computers,0.0,Don't waste your time or money
Exam Master for the USMLE Step 2,,computers,1.0,helpful format
Certification & Accreditationprogram Directory 2 (Certification and Accreditation Programs Directory),Que Publishing,computers,0.0,Way Out Of Date - Better Reference Available
Radical Tectonics (4x4 Series),Intellect Books,computers,0.75,Rationalism and Whimsy: The 4x4 Series
The Essentials of PL/1 Programming Language (Essential Series),Prentice Hall,computers,1.0,PL/1 Quick Review Book - this is the one to get!
The Essentials of PL/1 Programming Language (Essential Series),Prentice Hall,computers,0.75,brief overview
The Essentials of PL/1 Programming Language (Essential Series),Prentice Hall,computers,0.75,Reference source
