title,publisher,categories,review_score,review_summary
Alaska Sourdough,Alaska Northwest Books,cooking,1.0,Real Alaskan Sourdough
Alaska Sourdough,Alaska Northwest Books,cooking,1.0,True Alaskan cooking
Alaska Sourdough,Alaska Northwest Books,cooking,1.0,Cheechako to Sourdough in 190 Pages
Alaska Sourdough,Alaska Northwest Books,cooking,1.0,A Cookbook Every Baker Should Own
Alaska Sourdough,Alaska Northwest Books,cooking,0.0,Cannot recommend
Alaska Sourdough,Alaska Northwest Books,cooking,1.0,The best sourdough book around
Alaska Sourdough,Alaska Northwest Books,cooking,1.0,Worth buying just for the waffle recipe
Alaska Sourdough,Alaska Northwest Books,cooking,1.0,A Bit of Heaven
Alaska Sourdough,Alaska Northwest Books,cooking,0.25,Imprecise Recipes Make Bad Bread
Alaska Sourdough,Alaska Northwest Books,cooking,1.0,cant cook sourdough without it
Alaska Sourdough,Alaska Northwest Books,cooking,1.0,Enjoyed Ruth's Sourdough pancakes when she served them.
Alaska Sourdough,Alaska Northwest Books,cooking,1.0,Alaska Sourdough
Alaska Sourdough,Alaska Northwest Books,cooking,1.0,The Best Sourdough Starter for Bread & Hot Cakes
Alaska Sourdough,Alaska Northwest Books,cooking,1.0,Alaska sourdough
Alaska Sourdough,Alaska Northwest Books,cooking,0.5,Not your quick refrence cookbook
Alaska Sourdough,Alaska Northwest Books,cooking,1.0,The Best
Alaska Sourdough,Alaska Northwest Books,cooking,0.5,Good for what it is
Alaska Sourdough,Alaska Northwest Books,cooking,0.5,Alaska Sourdough
Alaska Sourdough,Alaska Northwest Books,cooking,1.0,Old and good
Alaska Sourdough,Alaska Northwest Books,cooking,0.5,good basic
Alaska Sourdough,Alaska Northwest Books,cooking,1.0,Tasty
Alaska Sourdough,Alaska Northwest Books,cooking,0.75,Alaska Sourdough Book Reivew
Alaska Sourdough,Alaska Northwest Books,cooking,1.0,Sourdough Starter
Alaska Sourdough,Alaska Northwest Books,cooking,1.0,autumn
Alaska Sourdough,Alaska Northwest Books,cooking,1.0,What fun
Alaska Sourdough,Alaska Northwest Books,cooking,0.5,Sourdough...Alaska style
Alaska Sourdough,Alaska Northwest Books,cooking,1.0,Alaska Sourdough
Old-Fashioned Ckbk,Caxton Press,cooking,1.0,THE quintessential cookbook!
Basil: A Book of Recipes (The Little Recipe Book Series),,cooking,1.0,Great series
Vino Para Dummies,John Wiley & Sons,cooking,0.75,Excelente!
Flavors of Korea: Delicious Vegetarian Cuisine (Healthy World Cuisine),Book Publishing Company (TN),cooking,0.5,Decent But Not Great for Vegans
Flavors of Korea: Delicious Vegetarian Cuisine (Healthy World Cuisine),Book Publishing Company (TN),cooking,0.0,Recipes too repetitive
Flavors of Korea: Delicious Vegetarian Cuisine (Healthy World Cuisine),Book Publishing Company (TN),cooking,0.75,Basic cookbook
Flavors of Korea: Delicious Vegetarian Cuisine (Healthy World Cuisine),Book Publishing Company (TN),cooking,1.0,fantastic food
