title,publisher,categories,review_score,review_summary
"The Complete Book of Papercrafts: A Truly ComprehensiveCollection of Papercrafts Ideas, Designs and Techniques, with Over 300 Projects",Lorenz Books,crafts hobbies,1.0,Great Projects! Even for a rainy day!
Making Books by Hand: A Step-by-Step Guide,Dover Publications,crafts hobbies,0.5,"Lacking in content, but some inspiring photos."
Making Books by Hand: A Step-by-Step Guide,Dover Publications,crafts hobbies,0.75,"Nice photos, good instruction for simple projects"
Making Books by Hand: A Step-by-Step Guide,Dover Publications,crafts hobbies,0.5,Good information but the illustrated pictures are too small
Making Books by Hand: A Step-by-Step Guide,Dover Publications,crafts hobbies,0.0,WARNING - Does Not Help
Making Books by Hand: A Step-by-Step Guide,Dover Publications,crafts hobbies,0.75,Great Book!
Making Books by Hand: A Step-by-Step Guide,Dover Publications,crafts hobbies,0.75,A great beginners book
Making Books by Hand: A Step-by-Step Guide,Dover Publications,crafts hobbies,0.5,good photos of each step
Making Books by Hand: A Step-by-Step Guide,Dover Publications,crafts hobbies,1.0,The gift that became a possession!
Making Books by Hand: A Step-by-Step Guide,Dover Publications,crafts hobbies,1.0,"A direct, to-the-point, &quot;user friendly&quot; instructional guide"
Making Books by Hand: A Step-by-Step Guide,Dover Publications,crafts hobbies,1.0,Inspiring! Great guidelines.
Style and the Man: How and Where to Buy Fine Mens' Clothes,Random House Incorporated,crafts hobbies,0.5,"Dated in Places, Timeless in Others"
Style and the Man: How and Where to Buy Fine Mens' Clothes,Random House Incorporated,crafts hobbies,0.75,mostly for collectors
Style and the Man: How and Where to Buy Fine Mens' Clothes,Random House Incorporated,crafts hobbies,0.75,Self-respecting men should read this
Style and the Man: How and Where to Buy Fine Mens' Clothes,Random House Incorporated,crafts hobbies,0.25,"Fasion, Fops, Faux Pas"
Style and the Man: How and Where to Buy Fine Mens' Clothes,Random House Incorporated,crafts hobbies,0.0,Dreadful
Style and the Man: How and Where to Buy Fine Mens' Clothes,Random House Incorporated,crafts hobbies,0.75,Style knowledge by Alan
Style and the Man: How and Where to Buy Fine Mens' Clothes,Random House Incorporated,crafts hobbies,0.75,An Essential Part of your Collection
Style and the Man: How and Where to Buy Fine Mens' Clothes,Random House Incorporated,crafts hobbies,0.75,very good
Style and the Man: How and Where to Buy Fine Mens' Clothes,Random House Incorporated,crafts hobbies,0.75,This is really two books in one
Style and the Man: How and Where to Buy Fine Mens' Clothes,Random House Incorporated,crafts hobbies,0.75,"Great, if limited"
Style and the Man: How and Where to Buy Fine Mens' Clothes,Random House Incorporated,crafts hobbies,0.25,Overrated book
Style and the Man: How and Where to Buy Fine Mens' Clothes,Random House Incorporated,crafts hobbies,1.0,A wonderful companion and extension of Clothes and the Man
Style and the Man: How and Where to Buy Fine Mens' Clothes,Random House Incorporated,crafts hobbies,1.0,You can safely judge this book by its jacket.
Style and the Man: How and Where to Buy Fine Mens' Clothes,Random House Incorporated,crafts hobbies,0.0,Terrible
Style and the Man: How and Where to Buy Fine Mens' Clothes,Random House Incorporated,crafts hobbies,1.0,FOR THOSE WHO LIKE ONLY THE BEST !
Style and the Man: How and Where to Buy Fine Mens' Clothes,Random House Incorporated,crafts hobbies,0.75,An ageing shopping guide for dandies
Style and the Man: How and Where to Buy Fine Mens' Clothes,Random House Incorporated,crafts hobbies,0.75,Dated yet still relevant
Style and the Man: How and Where to Buy Fine Mens' Clothes,Random House Incorporated,crafts hobbies,0.25,This book is over-rated and misleading
Style and the Man: How and Where to Buy Fine Mens' Clothes,Random House Incorporated,crafts hobbies,0.75,Source of Valuable Men's Clothing Information
Style and the Man: How and Where to Buy Fine Mens' Clothes,Random House Incorporated,crafts hobbies,1.0,A guide for all of us...
Style and the Man: How and Where to Buy Fine Mens' Clothes,Random House Incorporated,crafts hobbies,1.0,Expert to the experts
Style and the Man: How and Where to Buy Fine Mens' Clothes,Random House Incorporated,crafts hobbies,0.75,"Outdated sure, but still relevant"
Style and the Man: How and Where to Buy Fine Mens' Clothes,Random House Incorporated,crafts hobbies,1.0,The men's garment bible
Style and the Man: How and Where to Buy Fine Mens' Clothes,Random House Incorporated,crafts hobbies,0.75,great guide
Style and the Man: How and Where to Buy Fine Mens' Clothes,Random House Incorporated,crafts hobbies,1.0,FLUSSER'S LATEST IS A MUST READ
Letters,Kosmos Uitgevers,crafts hobbies,0.75,Great Writing
Letters,Kosmos Uitgevers,crafts hobbies,0.5,Not What I Expected
Letters,Kosmos Uitgevers,crafts hobbies,0.75,Precocity in the English manner
Letters,Kosmos Uitgevers,crafts hobbies,0.25,boring
Letters,Kosmos Uitgevers,crafts hobbies,1.0,"Stark truth, from Lord Chesterfield's point of view"
Letters,Kosmos Uitgevers,crafts hobbies,1.0,More than you think
Letters,Kosmos Uitgevers,crafts hobbies,1.0,apologia for chesterfield
Letters,Kosmos Uitgevers,crafts hobbies,1.0,That Right Honourable Lord...
Letters,Kosmos Uitgevers,crafts hobbies,1.0,"A treatise on good conduct, good living and etiquette"
Letters,Kosmos Uitgevers,crafts hobbies,1.0,Practical Ambition
Letters,Kosmos Uitgevers,crafts hobbies,0.75,An important account of 18th century mores
Letters,Kosmos Uitgevers,crafts hobbies,1.0,Impressive
Letters,Kosmos Uitgevers,crafts hobbies,1.0,Invaluable manual for any man
Letters,Kosmos Uitgevers,crafts hobbies,0.75,Lord Chesterfield's Letters Build Character
Letters,Kosmos Uitgevers,crafts hobbies,1.0,Sensational
Letters,Kosmos Uitgevers,crafts hobbies,1.0,Twists &amp; Turns
Letters,Kosmos Uitgevers,crafts hobbies,1.0,Movie Material
Letters,Kosmos Uitgevers,crafts hobbies,1.0,Twists and Turns
Letters,Kosmos Uitgevers,crafts hobbies,1.0,Men This Is A Great Book!!
Letters,Kosmos Uitgevers,crafts hobbies,1.0,There's A New Author In Town!
Letters,Kosmos Uitgevers,crafts hobbies,1.0,Twists And Turns!!!
Letters,Kosmos Uitgevers,crafts hobbies,1.0,This book took me by suprise! All the unexpected twists!
Letters,Kosmos Uitgevers,crafts hobbies,1.0,Sensational
Setting Up Shop: The Practical Guide to Designing and Building Your Dream Shop,Taunton,crafts hobbies,1.0,A great resource.
Setting Up Shop: The Practical Guide to Designing and Building Your Dream Shop,Taunton,crafts hobbies,1.0,Amazing Collection of Shop Ideas
Setting Up Shop: The Practical Guide to Designing and Building Your Dream Shop,Taunton,crafts hobbies,0.0,Completely UNREVISED AND OUTDATED!
Setting Up Shop: The Practical Guide to Designing and Building Your Dream Shop,Taunton,crafts hobbies,0.25,OK if you have an unlimited budget and dream
Setting Up Shop: The Practical Guide to Designing and Building Your Dream Shop,Taunton,crafts hobbies,1.0,Great book.
Setting Up Shop: The Practical Guide to Designing and Building Your Dream Shop,Taunton,crafts hobbies,1.0,Solid Book
Setting Up Shop: The Practical Guide to Designing and Building Your Dream Shop,Taunton,crafts hobbies,0.75,It's a start...
Setting Up Shop: The Practical Guide to Designing and Building Your Dream Shop,Taunton,crafts hobbies,1.0,Very useful
Setting Up Shop: The Practical Guide to Designing and Building Your Dream Shop,Taunton,crafts hobbies,1.0,Much practical knowledge
Setting Up Shop: The Practical Guide to Designing and Building Your Dream Shop,Taunton,crafts hobbies,1.0,one more positive note
Setting Up Shop: The Practical Guide to Designing and Building Your Dream Shop,Taunton,crafts hobbies,1.0,You will use the examples in this book.
Setting Up Shop: The Practical Guide to Designing and Building Your Dream Shop,Taunton,crafts hobbies,1.0,Christmas Gift
Setting Up Shop: The Practical Guide to Designing and Building Your Dream Shop,Taunton,crafts hobbies,0.25,"A lovely book, but short on specifics."
Setting Up Shop: The Practical Guide to Designing and Building Your Dream Shop,Taunton,crafts hobbies,1.0,Pornography for Woodworkers
Setting Up Shop: The Practical Guide to Designing and Building Your Dream Shop,Taunton,crafts hobbies,1.0,I learned a lot
Setting Up Shop: The Practical Guide to Designing and Building Your Dream Shop,Taunton,crafts hobbies,1.0,The woodworking shop of my dreams
Setting Up Shop: The Practical Guide to Designing and Building Your Dream Shop,Taunton,crafts hobbies,1.0,Excellent and informative
Setting Up Shop: The Practical Guide to Designing and Building Your Dream Shop,Taunton,crafts hobbies,1.0,A top reference
Setting Up Shop: The Practical Guide to Designing and Building Your Dream Shop,Taunton,crafts hobbies,1.0,Packed with info
Setting Up Shop: The Practical Guide to Designing and Building Your Dream Shop,Taunton,crafts hobbies,0.5,Practical advise for setting up a woodworking shop
Setting Up Shop: The Practical Guide to Designing and Building Your Dream Shop,Taunton,crafts hobbies,1.0,What a great resource!
Setting Up Shop: The Practical Guide to Designing and Building Your Dream Shop,Taunton,crafts hobbies,1.0,Many practical ideas for the rich and the not-so-rich
Setting Up Shop: The Practical Guide to Designing and Building Your Dream Shop,Taunton,crafts hobbies,1.0,Prevented some mistakes . . .
Setting Up Shop: The Practical Guide to Designing and Building Your Dream Shop,Taunton,crafts hobbies,1.0,Solving problems before the basement is full of equipment!
Setting Up Shop: The Practical Guide to Designing and Building Your Dream Shop,Taunton,crafts hobbies,0.75,More &quot;dream&quot; than &quot;practical&quot;
Setting Up Shop: The Practical Guide to Designing and Building Your Dream Shop,Taunton,crafts hobbies,0.75,Info: yes! layout: no!
Setting Up Shop: The Practical Guide to Designing and Building Your Dream Shop,Taunton,crafts hobbies,1.0,"Practical advice, well-presented"
Setting Up Shop: The Practical Guide to Designing and Building Your Dream Shop,Taunton,crafts hobbies,1.0,Practical and diverse source of information
Setting Up Shop: The Practical Guide to Designing and Building Your Dream Shop,Taunton,crafts hobbies,0.75,Very useful eye candy...
Setting Up Shop: The Practical Guide to Designing and Building Your Dream Shop,Taunton,crafts hobbies,0.5,There's good stuff here if you search for it
Setting Up Shop: The Practical Guide to Designing and Building Your Dream Shop,Taunton,crafts hobbies,0.0,Not worth it
Setting Up Shop: The Practical Guide to Designing and Building Your Dream Shop,Taunton,crafts hobbies,1.0,Great Shop Layout Book
Setting Up Shop: The Practical Guide to Designing and Building Your Dream Shop,Taunton,crafts hobbies,1.0,Very helpful book
Setting Up Shop: The Practical Guide to Designing and Building Your Dream Shop,Taunton,crafts hobbies,0.75,"Woodworkers, Go on, Dream!"
Setting Up Shop: The Practical Guide to Designing and Building Your Dream Shop,Taunton,crafts hobbies,1.0,Must have book for all new creaters
Setting Up Shop: The Practical Guide to Designing and Building Your Dream Shop,Taunton,crafts hobbies,0.0,weak advice
Setting Up Shop: The Practical Guide to Designing and Building Your Dream Shop,Taunton,crafts hobbies,1.0,Setting Up Shop: The Practical Guide to Designing and Building Your Dream Shop
Woodturning A Fresh Approach,Guild of Master Craftsman Publications Limited,crafts hobbies,1.0,Woodturning - A fresh approach
Woodturning A Fresh Approach,Guild of Master Craftsman Publications Limited,crafts hobbies,1.0,"Innovative design, excellent execution ..."
Woodturning A Fresh Approach,Guild of Master Craftsman Publications Limited,crafts hobbies,1.0,A Woodturners view of &quot;Woodturning A Fresh Approach&quot;
The Cross Stitch Motif Bible: 1000 Motifs in Easy-to-Follow Color Charts,Krause Publications,crafts hobbies,0.0,"Like the sprial binding, not much else"
The Cross Stitch Motif Bible: 1000 Motifs in Easy-to-Follow Color Charts,Krause Publications,crafts hobbies,1.0,Wow - great cross stitch book!
The Cross Stitch Motif Bible: 1000 Motifs in Easy-to-Follow Color Charts,Krause Publications,crafts hobbies,1.0,Motifs for stitchers
The Cross Stitch Motif Bible: 1000 Motifs in Easy-to-Follow Color Charts,Krause Publications,crafts hobbies,1.0,Jan Eaton's The Cross Stitch Motif Bible
The Cross Stitch Motif Bible: 1000 Motifs in Easy-to-Follow Color Charts,Krause Publications,crafts hobbies,0.5,Nice
The Cross Stitch Motif Bible: 1000 Motifs in Easy-to-Follow Color Charts,Krause Publications,crafts hobbies,1.0,"Love it, love it, love it !!!!!!"
A Year of Afghans (Bk. 5),Leisure Arts,crafts hobbies,1.0,Afghan lovers unite
A Year of Afghans (Bk. 5),Leisure Arts,crafts hobbies,0.75,Beginner
A Year of Afghans (Bk. 5),Leisure Arts,crafts hobbies,0.75,One of my faves!
"Nursery Knits: 25 Easy-Knit Designs for Clothes, Toys and Decorations",Krause Publications,crafts hobbies,0.0,Many Flaws in Mellor's 'Nursery Knits'
