title,publisher,categories,review_score,review_summary
TV Wonderland: The Enchantment of Early Television,"Collectors Press, Inc.",design,1.0,A TV BOOK ABOUT...TV'S!!!
How the West Was Worn,Harry N. Abrams,design,1.0,A LUXE LOOK AT WESTERN GARB
How the West Was Worn,Harry N. Abrams,design,1.0,Wild &amp; western romp chronicling the classic American costume
How the West Was Worn,Harry N. Abrams,design,1.0,Western Attire in all its considerable glory!
How the West Was Worn,Harry N. Abrams,design,1.0,"Designers, this is a good reference."
How the West Was Worn,Harry N. Abrams,design,1.0,Terrific resource for early western wear
How the West Was Worn,Harry N. Abrams,design,1.0,Stunning book!
How the West Was Worn,Harry N. Abrams,design,1.0,fab book for cowboy gear
How the West Was Worn,Harry N. Abrams,design,1.0,Cool Books
4000 Flower & Plant Motifs: A Sourcebook (4000 Design Motifs),B T Batsford Limited,design,1.0,Great reference book!
4000 Flower & Plant Motifs: A Sourcebook (4000 Design Motifs),B T Batsford Limited,design,1.0,Fabulous for Quilters
4000 Flower & Plant Motifs: A Sourcebook (4000 Design Motifs),B T Batsford Limited,design,0.75,First prize.
4000 Flower & Plant Motifs: A Sourcebook (4000 Design Motifs),B T Batsford Limited,design,1.0,4000 Flower & Plant Motifs by McCallum
4000 Flower & Plant Motifs: A Sourcebook (4000 Design Motifs),B T Batsford Limited,design,1.0,4000 new ideas!
4000 Flower & Plant Motifs: A Sourcebook (4000 Design Motifs),B T Batsford Limited,design,1.0,I'm so excited.
4000 Flower & Plant Motifs: A Sourcebook (4000 Design Motifs),B T Batsford Limited,design,0.75,Great author and companion books
4000 Flower & Plant Motifs: A Sourcebook (4000 Design Motifs),B T Batsford Limited,design,1.0,A must for your crafting library
4000 Flower & Plant Motifs: A Sourcebook (4000 Design Motifs),B T Batsford Limited,design,1.0,At Last...
4000 Flower & Plant Motifs: A Sourcebook (4000 Design Motifs),B T Batsford Limited,design,0.25,Very approximate drawing
Design for the Real World: Human Ecology and Social Change,"Academy Chicago Publishers, Limited",design,1.0,An inspiring book on environmental design
Design for the Real World: Human Ecology and Social Change,"Academy Chicago Publishers, Limited",design,1.0,"Victor Papanek passes away, January 10, 1998"
Design for the Real World: Human Ecology and Social Change,"Academy Chicago Publishers, Limited",design,1.0,Wonderful radical prodding for designers of all disciplines.
Design for the Real World: Human Ecology and Social Change,"Academy Chicago Publishers, Limited",design,1.0,"The Design Bible, Even for Architects"
Design for the Real World: Human Ecology and Social Change,"Academy Chicago Publishers, Limited",design,1.0,Finally becoming as important as it should've since 1977
Design for the Real World: Human Ecology and Social Change,"Academy Chicago Publishers, Limited",design,1.0,Wisdom for any designer
Design for the Real World: Human Ecology and Social Change,"Academy Chicago Publishers, Limited",design,1.0,Fantastic!
Design for the Real World: Human Ecology and Social Change,"Academy Chicago Publishers, Limited",design,1.0,Design For The Real World: Human Ecology and Social Change
Design for the Real World: Human Ecology and Social Change,"Academy Chicago Publishers, Limited",design,1.0,"Way Better Than All the Modern Design Thinking ""Guides"""
Design for the Real World: Human Ecology and Social Change,"Academy Chicago Publishers, Limited",design,1.0,This book is an essential read for all designers
Design for the Real World: Human Ecology and Social Change,"Academy Chicago Publishers, Limited",design,1.0,The Book All Designers Should Read
Design for the Real World: Human Ecology and Social Change,"Academy Chicago Publishers, Limited",design,1.0,"Ahead of His Time, Still Relevant"
Design for the Real World: Human Ecology and Social Change,"Academy Chicago Publishers, Limited",design,1.0,The Classic Social Model Approach
Design for the Real World: Human Ecology and Social Change,"Academy Chicago Publishers, Limited",design,1.0,design ethics
Design for the Real World: Human Ecology and Social Change,"Academy Chicago Publishers, Limited",design,0.5,Politicizing design
Madeline Vionnet,Chronicle Books Llc,design,1.0,Such a beautiful book
Graphic Design Manual: Principles and Practice,Van Nostrand Reinhold,design,0.75,A Deserved Classic But Incomplete
Graphic Design Manual: Principles and Practice,Van Nostrand Reinhold,design,1.0,Saying more with less: priceless visual guide to design fundamentals
Graphic Design Manual: Principles and Practice,Van Nostrand Reinhold,design,0.5,A Classic?
Graphic Design Manual: Principles and Practice,Van Nostrand Reinhold,design,0.75,Bible of graphic design???
Graphic Design Manual: Principles and Practice,Van Nostrand Reinhold,design,1.0,GRAPHIC DESIGN BIBLE
Avant-Garde Page Design 1900-1950,Delano Greenridge Editions,design,1.0,Excellent Overview
Best of Brochure Design 6 (Best of Brochure Design) (No.6),Cengage Learning,design,0.0,Another Cheryl cullen disappointment
Best of Brochure Design 6 (Best of Brochure Design) (No.6),Cengage Learning,design,0.0,Decieving cover for a bad book
Best of Brochure Design 6 (Best of Brochure Design) (No.6),Cengage Learning,design,0.75,Great
Best of Brochure Design 6 (Best of Brochure Design) (No.6),Cengage Learning,design,0.0,Too much money for too little
Best of Brochure Design 6 (Best of Brochure Design) (No.6),Cengage Learning,design,1.0,A Showcase Of Great Designs
The Art of Burma: New Studies,Marshall Cavendish International Asia Pte Ltd,design,1.0,An excellent book on Burmese Art
Skin Deep,ABRAMS,design,1.0,OUTSTANDING!
Skin Deep,ABRAMS,design,0.5,Being white in a black world?
Skin Deep,ABRAMS,design,1.0,I COULD NOT PUT THE BOOK DOWN!
Skin Deep,ABRAMS,design,1.0,WOW
Skin Deep,ABRAMS,design,0.5,Hypocritical
Skin Deep,ABRAMS,design,1.0,Skin Deep skillfully delves below the surface
Skin Deep,ABRAMS,design,0.0,I don't know why
Skin Deep,ABRAMS,design,0.5,SKIN DEEP
Skin Deep,ABRAMS,design,0.75,Explores the relationship between Blacks and Whites
Skin Deep,ABRAMS,design,1.0,DON'T judge a book by its COVER
Skin Deep,ABRAMS,design,1.0,"Wonderful, thought-provoking and interesting..."
Skin Deep,ABRAMS,design,1.0,OUTSTANDING!
Skin Deep,ABRAMS,design,1.0,The bomb
Skin Deep,ABRAMS,design,1.0,EXCELLENT!
Skin Deep,ABRAMS,design,1.0,My Life
Skin Deep,ABRAMS,design,0.75,Wonderful and Emotional
Skin Deep,ABRAMS,design,1.0,I read it in one day!
Skin Deep,ABRAMS,design,0.75,easy-read that captures your attention
Skin Deep,ABRAMS,design,0.75,An Uplifting &quot;Must-Read&quot; for All Hearts!
Skin Deep,ABRAMS,design,0.75,Entertaining!!
Skin Deep,ABRAMS,design,0.5,More than Skin Deep
Skin Deep,ABRAMS,design,1.0,A Bold and Sizzling Romance Novel
Skin Deep,ABRAMS,design,1.0,A wonderful debut novel...DEFINITE must-read!
Skin Deep,ABRAMS,design,1.0,It is hard to believe this is her first novel
Skin Deep,ABRAMS,design,1.0,SKIN DEEP - A BOOK YOU WILL DEFINITELY KEEP!
Skin Deep,ABRAMS,design,1.0,Definitely not another sister tale...
Skin Deep,ABRAMS,design,1.0,Amazing!
Skin Deep,ABRAMS,design,0.75,You will need the hardcover for your shelf
Skin Deep,ABRAMS,design,0.75,Excellent book!
