title,publisher,categories,review_score,review_summary
A grand romance: A play,Dramatists Play Service Inc,drama,1.0,Wow.
A grand romance: A play,Dramatists Play Service Inc,drama,1.0,Great
Acting Across America,Routledge,drama,1.0,A MUST FOR ANYONE TRYING TO BREAK INTO THE BUSINESS
Acting Across America,Routledge,drama,1.0,Super Helpful
Acting Across America,Routledge,drama,1.0,This should be called the actor's &quot;bible&quot;
Acting Across America,Routledge,drama,1.0,ALL the info you need in an easy read
Acting Across America,Routledge,drama,1.0,Best book on this subject
Jean Paul Sartres No Exit and the Flies,Vintage,drama,1.0,An excellent introduction to the work of Sartre
Jean Paul Sartres No Exit and the Flies,Vintage,drama,1.0,An incredible piece
The Lower Depths and Other Plays,Yale University Press,drama,0.5,Russian Work
The Lower Depths and Other Plays,Yale University Press,drama,0.5,Russian Work
The Lower Depths and Other Plays,Yale University Press,drama,0.5,Russian Work
"Man of La Mancha;: A musical play,",Random House,drama,1.0,The Mirror of Reality is cracked!
"Man of La Mancha;: A musical play,",Random House,drama,1.0,a wonderfull story
"Man of La Mancha;: A musical play,",Random House,drama,1.0,great story
"Man of La Mancha;: A musical play,",Random House,drama,1.0,Like as it really is...
"Man of La Mancha;: A musical play,",Random House,drama,1.0,A Great Joy!!
"Man of La Mancha;: A musical play,",Random House,drama,0.75,Superb
"Man of La Mancha;: A musical play,",Random House,drama,1.0,Don Quixote is my brother too!
"Man of La Mancha;: A musical play,",Random House,drama,1.0,The Redemption of Aldonza!
"Man of La Mancha;: A musical play,",Random House,drama,0.75,"Though not ideal, works well even on the printed page"
"Man of La Mancha;: A musical play,",Random House,drama,1.0,This is Exactly What You Should Expect From It
"Man of La Mancha;: A musical play,",Random House,drama,1.0,A tear-jerker!
"Man of La Mancha;: A musical play,",Random House,drama,1.0,An elaborate tale of the possibilities of imagination.
"Man of La Mancha;: A musical play,",Random House,drama,0.25,Didn't even know it was a play!
"Man of La Mancha;: A musical play,",Random House,drama,0.25,Not my favorite
The Widowing of Mrs. Holroyd: A Drama in Three Acts (Pine Street Books),University of Pennsylvania Press,drama,0.25,The Widowing of Mrs. Holroyd
"Philadelphia, here I come!",Faber & Faber,drama,1.0,WOW
"Philadelphia, here I come!",Faber & Faber,drama,1.0,When the private and personal faces of us all are seen
"Philadelphia, here I come!",Faber & Faber,drama,0.5,I acted in this play
"Philadelphia, here I come!",Faber & Faber,drama,0.75,Friels Greatest Play
"Philadelphia, here I come!",Faber & Faber,drama,0.75,Of course
"Alice in Wonderland;: A play in two acts,",,drama,1.0,True to the Original: A great play!
"The Theban Plays: Oedipus the King, Oedipus at Colonus, Antigone",Dover Publications,drama,1.0,Beautiful Edition
Collected Plays,Grove Press,drama,1.0,Skeleton Key
Collected Plays,Grove Press,drama,1.0,finally!
Collected Plays,Grove Press,drama,1.0,The Poise of Everlasting Joys
The Cherry Orchard,Theatre Communications Group,drama,1.0,Problems with Cherry Orchard
The Cherry Orchard,Theatre Communications Group,drama,1.0,The winds of change are blowing through this orchard
The Cherry Orchard,Theatre Communications Group,drama,0.0,Kindle edition NOT the Tom Stoppard translation!
The Cherry Orchard,Theatre Communications Group,drama,1.0,The Cherry Orchard (Dover Thrift Editions)
The Cherry Orchard,Theatre Communications Group,drama,1.0,Good play
The Cherry Orchard,Theatre Communications Group,drama,1.0,The Garden of Eden
The Cherry Orchard,Theatre Communications Group,drama,1.0,Quintessentially Chekov
The Cherry Orchard,Theatre Communications Group,drama,1.0,Beautiful
The Cherry Orchard,Theatre Communications Group,drama,0.75,"It was great to read, yet too short!"
The Cherry Orchard,Theatre Communications Group,drama,1.0,On Chekhov's art
The Cherry Orchard,Theatre Communications Group,drama,1.0,An effective allegory
The Cherry Orchard,Theatre Communications Group,drama,0.25,Something had stabbed through the book
The Cherry Orchard,Theatre Communications Group,drama,0.75,Anxious uncertainty makes a fine translation
The Cherry Orchard,Theatre Communications Group,drama,0.0,Who is the translator?
The Cherry Orchard,Theatre Communications Group,drama,0.5,Is it a comedy or not?
