title,publisher,categories,review_score,review_summary
"Brain-Based Learning: The New Science of Teaching and Training, Revised Edition",Corwin,education,1.0,The sine qua non of brain-based learning
"Brain-Based Learning: The New Science of Teaching and Training, Revised Edition",Corwin,education,0.75,It Rises above the &quot;Fluff&quot; Books
"Brain-Based Learning: The New Science of Teaching and Training, Revised Edition",Corwin,education,0.0,Multilevel marketing meets education
"Brain-Based Learning: The New Science of Teaching and Training, Revised Edition",Corwin,education,1.0,A book that really helps teachers and students; it works!
"Brain-Based Learning: The New Science of Teaching and Training, Revised Edition",Corwin,education,1.0,"Well-Researched, easy to read, practical"
"Brain-Based Learning: The New Science of Teaching and Training, Revised Edition",Corwin,education,0.0,"""Pop"" psychology at its worse..."
"Brain-Based Learning: The New Science of Teaching and Training, Revised Edition",Corwin,education,0.75,Get off the dead horse of &quot;old school&quot; education
"Brain-Based Learning: The New Science of Teaching and Training, Revised Edition",Corwin,education,0.75,Easy read for brain information
"Brain-Based Learning: The New Science of Teaching and Training, Revised Edition",Corwin,education,0.25,Fuzzy around the edges
"Brain-Based Learning: The New Science of Teaching and Training, Revised Edition",Corwin,education,0.0,Do not rely on Jenson's knowlege of science
"Brain-Based Learning: The New Science of Teaching and Training, Revised Edition",Corwin,education,0.25,Brain Based Learning: The New Paradigm of Teaching
"Brain-Based Learning: The New Science of Teaching and Training, Revised Edition",Corwin,education,1.0,Educational and ACTUALLY fun!
"Brain-Based Learning: The New Science of Teaching and Training, Revised Edition",Corwin,education,1.0,Maximize learning in the classroom
"Brain-Based Learning: The New Science of Teaching and Training, Revised Edition",Corwin,education,1.0,From concept to application - it's all here!
"Brain-Based Learning: The New Science of Teaching and Training, Revised Edition",Corwin,education,1.0,Brain based Learning
"Brain-Based Learning: The New Science of Teaching and Training, Revised Edition",Corwin,education,1.0,Every teacher should read
"Brain-Based Learning: The New Science of Teaching and Training, Revised Edition",Corwin,education,1.0,Brain
"Brain-Based Learning: The New Science of Teaching and Training, Revised Edition",Corwin,education,0.0,Pop psychology at its worst
"Brain-Based Learning: The New Science of Teaching and Training, Revised Edition",Corwin,education,0.5,Good brain-based learning text
"Brain-Based Learning: The New Science of Teaching and Training, Revised Edition",Corwin,education,0.75,book: Brain-Based Learning
"Brain-Based Learning: The New Science of Teaching and Training, Revised Edition",Corwin,education,1.0,I got what I asked for
"Brain-Based Learning: The New Science of Teaching and Training, Revised Edition",Corwin,education,1.0,Brain-Based Learning is outstanding
"Brain-Based Learning: The New Science of Teaching and Training, Revised Edition",Corwin,education,0.0,"""Science"""
"Brain-Based Learning: The New Science of Teaching and Training, Revised Edition",Corwin,education,1.0,"""Brain Based Learning"" is a masterpiece"
"Brain-Based Learning: The New Science of Teaching and Training, Revised Edition",Corwin,education,0.0,Just another stupid educational fad
"Brain-Based Learning: The New Science of Teaching and Training, Revised Edition",Corwin,education,1.0,This explains a lot!
"Brain-Based Learning: The New Science of Teaching and Training, Revised Edition",Corwin,education,1.0,Brain Based Learning
Get Ready! For Standardized Tests : Math Grade 3,Teacher Created Resources,education,0.75,useful test taking techniques
Get Ready! For Standardized Tests : Math Grade 3,Teacher Created Resources,education,1.0,Math 3rd
Music with the Brain in Mind,Corwin,education,0.75,Making a case for music
Music with the Brain in Mind,Corwin,education,1.0,A Must-Read for Fine Arts Educators!
Music with the Brain in Mind,Corwin,education,1.0,Music makes you smarter
Music with the Brain in Mind,Corwin,education,1.0,Music with the Brain in Mind
Music with the Brain in Mind,Corwin,education,1.0,Wonderful book
Music with the Brain in Mind,Corwin,education,1.0,Great
Situations: A Casebook of Virtual Realities for the English Teacher,Boynton/Cook,education,1.0,Real situations for pre-service English teachers
Playing Along: 37 Group Learning Activities Borrowed from Improvisational Theater,Jessica Kingsley Publishers,education,0.75,excellent book for the novice improviser to the instructor
Playing Along: 37 Group Learning Activities Borrowed from Improvisational Theater,Jessica Kingsley Publishers,education,1.0,A resource I come back to again and again
