title,publisher,categories,review_score,review_summary
"Open marriage;: A new life style for couples,",Rowman & Littlefield,family relationships,1.0,Not sure about the title
"Open marriage;: A new life style for couples,",Rowman & Littlefield,family relationships,1.0,A great informative must read. Not just for open marriage.
"Open marriage;: A new life style for couples,",Rowman & Littlefield,family relationships,1.0,An Excellent Book about Open Marriage - NOT Swinging!
"Open marriage;: A new life style for couples,",Rowman & Littlefield,family relationships,1.0,"title refers to open communication and self examination, not swinging"
"Open marriage;: A new life style for couples,",Rowman & Littlefield,family relationships,0.0,Outdated & overripe
"Open marriage;: A new life style for couples,",Rowman & Littlefield,family relationships,0.75,A Must Read for anyone in A Relationship
"Open marriage;: A new life style for couples,",Rowman & Littlefield,family relationships,0.75,"Actually, some decent advice."
"Open marriage;: A new life style for couples,",Rowman & Littlefield,family relationships,0.5,"Hard to get thru, but worth it in the end"
"Open marriage;: A new life style for couples,",Rowman & Littlefield,family relationships,0.75,Open Marriage
"Open marriage;: A new life style for couples,",Rowman & Littlefield,family relationships,0.0,Good for a laugh
How to Discipline Kids without Losing Their Love and Respect,Love & Logic Press,family relationships,1.0,A MUST FOR EVERY PARENT !!!!
How to Discipline Kids without Losing Their Love and Respect,Love & Logic Press,family relationships,1.0,Lovingly letting others experience the consequences of their own actions
How to Discipline Kids without Losing Their Love and Respect,Love & Logic Press,family relationships,0.75,Simplified version of Love and Logic
How to Discipline Kids without Losing Their Love and Respect,Love & Logic Press,family relationships,1.0,Don't let the ignorance of the previous reviewer deter you from this valuable resource!
How to Discipline Kids without Losing Their Love and Respect,Love & Logic Press,family relationships,1.0,A MUST read for any parent
How to Discipline Kids without Losing Their Love and Respect,Love & Logic Press,family relationships,1.0,Great Ideas
How to Discipline Kids without Losing Their Love and Respect,Love & Logic Press,family relationships,1.0,How to Discipline Kids without Losing Their Love and Respect
How to Discipline Kids without Losing Their Love and Respect,Love & Logic Press,family relationships,0.75,Short book explaining Love and Logic
How to Discipline Kids without Losing Their Love and Respect,Love & Logic Press,family relationships,1.0,A must read for parents.
How to Discipline Kids without Losing Their Love and Respect,Love & Logic Press,family relationships,1.0,Very helpful!
How to Discipline Kids without Losing Their Love and Respect,Love & Logic Press,family relationships,1.0,How to Discipline Kids without Losing Their Love and Respect
How to Discipline Kids without Losing Their Love and Respect,Love & Logic Press,family relationships,1.0,It Works!!
How to Discipline Kids without Losing Their Love and Respect,Love & Logic Press,family relationships,1.0,Must have if you have kids
How to Discipline Kids without Losing Their Love and Respect,Love & Logic Press,family relationships,1.0,Fantastic
How to Discipline Kids without Losing Their Love and Respect,Love & Logic Press,family relationships,1.0,Jim Fay
How to Discipline Kids without Losing Their Love and Respect,Love & Logic Press,family relationships,1.0,"Great intro to ""love and logic"""
