title,publisher,categories,review_score,review_summary
Beginner's Yoruba (Hippocrene Beginner's Series),Hippocrene Books,foreign language study,0.75,Very authentic
Beginner's Yoruba (Hippocrene Beginner's Series),Hippocrene Books,foreign language study,0.75,A good learning tool...
Beginner's Yoruba (Hippocrene Beginner's Series),Hippocrene Books,foreign language study,1.0,Great starting point
Beginner's Yoruba (Hippocrene Beginner's Series),Hippocrene Books,foreign language study,0.25,Not the best
Beginner's Yoruba (Hippocrene Beginner's Series),Hippocrene Books,foreign language study,0.75,Great Source for Yoruba
A Reader of Handwritten Japanese,Kodansha Amer Incorporated,foreign language study,1.0,Catch it if you can
A Reader of Handwritten Japanese,Kodansha Amer Incorporated,foreign language study,0.75,Wish There Were More Books Like This
A Reader of Handwritten Japanese,Kodansha Amer Incorporated,foreign language study,0.5,Hodge podge of O'Neill's decades-old letters
103 Great Poems: A Dual-Language Book (Dover Dual Language German) (German and English Edition),Courier Corporation,foreign language study,0.75,103 Great Poems Meistergedichte Johann Wolfgang von GOethe
103 Great Poems: A Dual-Language Book (Dover Dual Language German) (German and English Edition),Courier Corporation,foreign language study,0.5,Mixed
103 Great Poems: A Dual-Language Book (Dover Dual Language German) (German and English Edition),Courier Corporation,foreign language study,0.75,Lesson learned
Cambridge Practice Tests for IELTS 1 Self-study Student's Book (IELTS Practice Tests),Cambridge University Press,foreign language study,1.0,helpful
Modern Standard Arabic Vocab Clinic,American Univ in Cairo Press,foreign language study,1.0,A MUST-HAVE FOR ARABIC LEARNERS
Modern Standard Arabic Vocab Clinic,American Univ in Cairo Press,foreign language study,1.0,"Excellent software, but NOT an audio CD"
Modern Standard Arabic Vocab Clinic,American Univ in Cairo Press,foreign language study,1.0,A simple tool - but a real help!
Modern Standard Arabic Vocab Clinic,American Univ in Cairo Press,foreign language study,0.75,Good vocab review for intermediate learners
Modern Standard Arabic Vocab Clinic,American Univ in Cairo Press,foreign language study,0.5,A disappointingly simple tool
Modern Standard Arabic Vocab Clinic,American Univ in Cairo Press,foreign language study,0.75,Modern Standard Arabic
Latin for Beginners (Language Guides),John Wiley & Sons,foreign language study,0.75,very useful companion text
Say It in Russian (Revised) (Dover Language Guides Say It Series),Courier Corporation,foreign language study,0.75,Not bad for the Price!
Say It in Russian (Revised) (Dover Language Guides Say It Series),Courier Corporation,foreign language study,0.75,concisely written
Jane's Chem-Bio Handbook,Janes Information Group,foreign language study,0.5,Tries to be all things...
Jane's Chem-Bio Handbook,Janes Information Group,foreign language study,1.0,"Well written, portable, multi-purpose"
Jane's Chem-Bio Handbook,Janes Information Group,foreign language study,0.75,Jane's Chem-Bio Handbook: A useful tool
Jane's Chem-Bio Handbook,Janes Information Group,foreign language study,0.75,Needed for class
Jane's Chem-Bio Handbook,Janes Information Group,foreign language study,1.0,WONDERFUL!
Jane's Chem-Bio Handbook,Janes Information Group,foreign language study,0.5,Tries to be all things...
Jane's Chem-Bio Handbook,Janes Information Group,foreign language study,1.0,"Well written, portable, multi-purpose"
Jane's Chem-Bio Handbook,Janes Information Group,foreign language study,0.75,Jane's Chem-Bio Handbook: A useful tool
Jane's Chem-Bio Handbook,Janes Information Group,foreign language study,0.75,Needed for class
Jane's Chem-Bio Handbook,Janes Information Group,foreign language study,1.0,WONDERFUL!
Teach Yourself Instant Russian Audio Pack,McGraw-Hill,foreign language study,0.5,delivers what it claims &amp; nothing more
Say It in Spanish (American) (Dover Language Guides Say It Series),Courier Corporation,foreign language study,1.0,very helpful this is a great little book
Say It in Spanish (American) (Dover Language Guides Say It Series),Courier Corporation,foreign language study,0.75,Basic Spanish
Cambridge Advanced Learner's Dictionary PB with CD-ROM,Cambridge University Press,foreign language study,1.0,A very clear dictionary with a fantastic CD-Rom!
Cambridge Advanced Learner's Dictionary PB with CD-ROM,Cambridge University Press,foreign language study,1.0,I love the CD
Cambridge Advanced Learner's Dictionary PB with CD-ROM,Cambridge University Press,foreign language study,1.0,"Superb CD; Far superior to MS Encarta, Ameircan Heritage.."
Cambridge Advanced Learner's Dictionary PB with CD-ROM,Cambridge University Press,foreign language study,1.0,A good dictionary for esl students
Cambridge Advanced Learner's Dictionary PB with CD-ROM,Cambridge University Press,foreign language study,1.0,Very good in pronunciation
Say It in Swedish (Revised) (Dover Language Guides Say It Series),Courier Corporation,foreign language study,1.0,A Good Fun Guide to Swedish
Say It in Swedish (Revised) (Dover Language Guides Say It Series),Courier Corporation,foreign language study,0.25,Rather outdated Swedish
Say It in Swedish (Revised) (Dover Language Guides Say It Series),Courier Corporation,foreign language study,0.75,Small but powerful
Say It in Swedish (Revised) (Dover Language Guides Say It Series),Courier Corporation,foreign language study,0.5,outdated
Say It in Swedish (Revised) (Dover Language Guides Say It Series),Courier Corporation,foreign language study,0.25,Helpful ? Not so much
Say It in Swedish (Revised) (Dover Language Guides Say It Series),Courier Corporation,foreign language study,1.0,Swedish language help
Say It in Greek (Modern) (Dover Language Guides Say It Series),Courier Dover Publications,foreign language study,1.0,Best quick reference of all time
Say It in Greek (Modern) (Dover Language Guides Say It Series),Courier Dover Publications,foreign language study,0.0,WILL NOT ORDER FROM THIS STORE AGAIN!
Cambridge Advanced Learner's Dictionary CD-ROM,Cambridge University Press,foreign language study,1.0,A fantastic CD-Rom!
Cambridge Advanced Learner's Dictionary CD-ROM,Cambridge University Press,foreign language study,1.0,I love this product
Cambridge Advanced Learner's Dictionary CD-ROM,Cambridge University Press,foreign language study,1.0,Good Value
Teach Me More German : A Musical Journey Through the Year,Teach Me Tapes,foreign language study,0.75,More German Songs and Language
Say It in Norwegian (Dover Language Guides Say It Series),Courier Corporation,foreign language study,1.0,Phrase Books for Language Learning or Travel are an Essential
Say It in Norwegian (Dover Language Guides Say It Series),Courier Corporation,foreign language study,0.75,Say it in Norwegian
Say It in Norwegian (Dover Language Guides Say It Series),Courier Corporation,foreign language study,0.75,Shirt Pocket Norwegian
Say It in Norwegian (Dover Language Guides Say It Series),Courier Corporation,foreign language study,1.0,Perfect for travel reference
Say It in Norwegian (Dover Language Guides Say It Series),Courier Corporation,foreign language study,0.75,"Out of date, but good!!"
Task-Based Language Teaching (Cambridge Language Teaching Library),Cambridge University Press,foreign language study,0.5,A small contribution to the growing lit. on TBLT
"Colloquial Hindi, 2e: The Complete Course for Beginners (Colloquial Series)",Routledge,foreign language study,0.0,Useless
"Colloquial Hindi, 2e: The Complete Course for Beginners (Colloquial Series)",Routledge,foreign language study,1.0,An excellent guide to learning Hindi!
"Colloquial Hindi, 2e: The Complete Course for Beginners (Colloquial Series)",Routledge,foreign language study,1.0,It is a superb book!
"Colloquial Hindi, 2e: The Complete Course for Beginners (Colloquial Series)",Routledge,foreign language study,0.75,"if you're a complete newbie, i recommed getting this fair-quality book, but just know its not great"
"Colloquial Hindi, 2e: The Complete Course for Beginners (Colloquial Series)",Routledge,foreign language study,0.25,another brick i have to carry to the surface
"Colloquial Hindi, 2e: The Complete Course for Beginners (Colloquial Series)",Routledge,foreign language study,1.0,I beg to differ! Best book for Beginners out there!
"Colloquial Hindi, 2e: The Complete Course for Beginners (Colloquial Series)",Routledge,foreign language study,0.75,"Book great, cassettes okay..."
"Colloquial Hindi, 2e: The Complete Course for Beginners (Colloquial Series)",Routledge,foreign language study,0.5,a nice book but not the best
"Colloquial Hindi, 2e: The Complete Course for Beginners (Colloquial Series)",Routledge,foreign language study,0.75,"Book great, cassettes okay..."
"Colloquial Hindi, 2e: The Complete Course for Beginners (Colloquial Series)",Routledge,foreign language study,0.75,Unlocking the mystery of the Hindi language
"Colloquial Hindi, 2e: The Complete Course for Beginners (Colloquial Series)",Routledge,foreign language study,0.5,Very Detailed
"Colloquial Hindi, 2e: The Complete Course for Beginners (Colloquial Series)",Routledge,foreign language study,0.5,Was expecting a little more.
"Colloquial Hindi, 2e: The Complete Course for Beginners (Colloquial Series)",Routledge,foreign language study,1.0,wow!
"Colloquial Hindi, 2e: The Complete Course for Beginners (Colloquial Series)",Routledge,foreign language study,0.75,Great for Beginners!!!!
"Colloquial Hindi, 2e: The Complete Course for Beginners (Colloquial Series)",Routledge,foreign language study,0.5,If you ignore or dislike grammar buy it
