title,publisher,categories,review_score,review_summary
The Sunday Telegraph 3rd Book of Nonograms,Picador,games,1.0,Great puzzles
The Sunday Telegraph 3rd Book of Nonograms,Picador,games,0.25,Disappointing
The Sunday Telegraph 3rd Book of Nonograms,Picador,games,0.25,"Great puzzles, bad format"
The Sunday Telegraph 3rd Book of Nonograms,Picador,games,0.75,Fun little book of puzzles
Sunday Telegraph Book of Nonograms,Pan Books Limited,games,0.25,"Great puzzles, bad format"
The Black Art of Xbox Mods,Sams Publishing,games,0.75,worth the price
The Black Art of Xbox Mods,Sams Publishing,games,1.0,YOU MUST GET THIS BOOK!!!!!!!!!!
The Black Art of Xbox Mods,Sams Publishing,games,1.0,The Black Art of Xbox Mods
The Black Art of Xbox Mods,Sams Publishing,games,1.0,The last Xbox book you will ever need!
The Black Art of Xbox Mods,Sams Publishing,games,1.0,very handy book
The Black Art of Xbox Mods,Sams Publishing,games,0.75,Good How-To Book
The Black Art of Xbox Mods,Sams Publishing,games,1.0,Just as expected
The Black Art of Xbox Mods,Sams Publishing,games,1.0,"Very, Very Satisfied !"
The Black Art of Xbox Mods,Sams Publishing,games,1.0,I great book about customizing the xbox
The Black Art of Xbox Mods,Sams Publishing,games,0.75,Sweet
The Black Art of Xbox Mods,Sams Publishing,games,1.0,GREAT BOOK FOR MODING
The Black Art of Xbox Mods,Sams Publishing,games,0.0,The Black Art of Xbox mods
The Black Art of Xbox Mods,Sams Publishing,games,0.0,MODDERS RUIN THE GAME!
Lotto Winning Wheels for Powerball & Mega Millions,Smart Luck Pub,games,0.25,Disappointed
Lotto Winning Wheels for Powerball & Mega Millions,Smart Luck Pub,games,0.25,Nothing New
Lotto Winning Wheels for Powerball & Mega Millions,Smart Luck Pub,games,0.25,"Not Very Useful Unless You Can Afford to Spend A Lot of Money, Buying a Lot of Tickets Per Game..."
Lotto Winning Wheels for Powerball & Mega Millions,Smart Luck Pub,games,0.5,Not much on MegaMillions
Lotto Winning Wheels for Powerball & Mega Millions,Smart Luck Pub,games,0.75,powerball and megamillions book
Lotto Winning Wheels for Powerball & Mega Millions,Smart Luck Pub,games,1.0,"To Get the Updated 2006, 2nd Edition, Search: ISBN 0945760418"
Lotto Winning Wheels for Powerball & Mega Millions,Smart Luck Pub,games,0.25,Waste oF $MONEY$
Lotto Winning Wheels for Powerball & Mega Millions,Smart Luck Pub,games,0.5,powerball and mega millions
Lotto Winning Wheels for Powerball & Mega Millions,Smart Luck Pub,games,0.75,trying to win better
Lotto Winning Wheels for Powerball & Mega Millions,Smart Luck Pub,games,0.25,don&#34;t waste your money just buy the the lottery master guide
Lotto Winning Wheels for Powerball & Mega Millions,Smart Luck Pub,games,0.75,Lottery Prep
Lotto Winning Wheels for Powerball & Mega Millions,Smart Luck Pub,games,1.0,I WON The Lottery
Lotto Winning Wheels for Powerball & Mega Millions,Smart Luck Pub,games,0.25,The odds are against you not for you.
Lotto Winning Wheels for Powerball & Mega Millions,Smart Luck Pub,games,1.0,Primo like Lottery Master Guide-Wheeled Sensible Systems
Lotto Winning Wheels for Powerball & Mega Millions,Smart Luck Pub,games,1.0,Lucky Lucky !
Lotto Winning Wheels for Powerball & Mega Millions,Smart Luck Pub,games,1.0,Gail Howard's: Powerball &amp; Mega Millions
Sengoku: Character Sheets,Gold Rush Entertainment Incorporated,games,1.0,The best of it's kind.
Sengoku: Character Sheets,Gold Rush Entertainment Incorporated,games,1.0,Japanese History Comes Alive
Sengoku: Character Sheets,Gold Rush Entertainment Incorporated,games,0.0,Character sheets with different pictures
Sengoku: Character Sheets,Gold Rush Entertainment Incorporated,games,0.75,great material hampered by poor layout
Lottery Master Guide,Smart Luck Pub,games,1.0,"ABSOLUTELY works, if you're good at it"
Lottery Master Guide,Smart Luck Pub,games,0.75,Gail Howard's 'Lottery Master Guide'
Lottery Master Guide,Smart Luck Pub,games,0.0,Judge a Book by Results
Lottery Master Guide,Smart Luck Pub,games,1.0,Good all over the world
Lottery Master Guide,Smart Luck Pub,games,1.0,Powerball Winner
Lottery Master Guide,Smart Luck Pub,games,1.0,What a winner!
Lottery Master Guide,Smart Luck Pub,games,1.0,GAIL HOWARD'S BOOKS ARE THE BEST!!!
Lottery Master Guide,Smart Luck Pub,games,0.75,It's still random!!!
Lottery Master Guide,Smart Luck Pub,games,0.0,nothing relevant
Lottery Master Guide,Smart Luck Pub,games,0.5,"Antiquated Information, Now Old & Ineffective"
Lottery Master Guide,Smart Luck Pub,games,1.0,Great Introduction To The Lottery
Lottery Master Guide,Smart Luck Pub,games,0.25,Mathematically Incorrect
Lottery Master Guide,Smart Luck Pub,games,1.0,Love Her Book
Lottery Master Guide,Smart Luck Pub,games,1.0,Lottery Master Guide keeps me cash positive
Lottery Master Guide,Smart Luck Pub,games,0.5,Great theories and things to see weakness in the Lotto system
Lottery Master Guide,Smart Luck Pub,games,1.0,Lottery Master Guide
Lottery Master Guide,Smart Luck Pub,games,0.0,Lottery Master Guide is a dumb luck!!!!! Don't buy!!!
Lottery Master Guide,Smart Luck Pub,games,0.75,Lottery
Lottery Master Guide,Smart Luck Pub,games,1.0,LOTTERY MASTER GUIDE
Lottery Master Guide,Smart Luck Pub,games,1.0,The GUIDE for serious players.
Lottery Master Guide,Smart Luck Pub,games,1.0,Lottery Master Guide
Lottery Master Guide,Smart Luck Pub,games,1.0,Gail Gives Readers Her Tools To Number Selection
Lottery Master Guide,Smart Luck Pub,games,1.0,The best lottery book I've found.
Lottery Master Guide,Smart Luck Pub,games,1.0,Play to Win
Lottery Master Guide,Smart Luck Pub,games,1.0,Still the best book ever on lottery
Lottery Master Guide,Smart Luck Pub,games,1.0,Wonderful!
Lottery Master Guide,Smart Luck Pub,games,1.0,The Truth
Lottery Master Guide,Smart Luck Pub,games,0.75,Good info
Lottery Master Guide,Smart Luck Pub,games,1.0,Best Lottery Guide Ever
Lottery Master Guide,Smart Luck Pub,games,0.75,Well Worth The Money
Lottery Master Guide,Smart Luck Pub,games,0.0,Nothing but Stats Analysis of the Past
Lottery Master Guide,Smart Luck Pub,games,0.0,This book is about lotteries. It doesnt help you win.
Lottery Master Guide,Smart Luck Pub,games,0.5,lotto picks
Lottery Master Guide,Smart Luck Pub,games,1.0,Genius strategies!
Lottery Master Guide,Smart Luck Pub,games,1.0,Gail Howard is the Grand Master of Lottery Systems
Lottery Master Guide,Smart Luck Pub,games,1.0,Excels at number selection
Lottery Master Guide,Smart Luck Pub,games,0.0,GARGAGE
Lottery Master Guide,Smart Luck Pub,games,1.0,Best Lottery Book Available
Lottery Master Guide,Smart Luck Pub,games,0.75,A little Difficult
Lottery Master Guide,Smart Luck Pub,games,1.0,The Best Lottery Guite Ever!
Lottery Master Guide,Smart Luck Pub,games,1.0,Lottery
Lottery Master Guide,Smart Luck Pub,games,0.5,I S......T H E.....L O T T E R Y.....Y O U R......M A S T E R.....O R....Y O U R....S E R V A N T ?
Lottery Master Guide,Smart Luck Pub,games,0.75,It's a lottery bible
Lottery Master Guide,Smart Luck Pub,games,1.0,ONE OF THE BEST BOOKS ON THE LOTTERY
Lottery Master Guide,Smart Luck Pub,games,0.0,Simplistic and very overpriced.
Lottery Master Guide,Smart Luck Pub,games,1.0,"I like all of her books, you just need to pay attention!"
Lottery Master Guide,Smart Luck Pub,games,1.0,I love this book!
Lottery Master Guide,Smart Luck Pub,games,1.0,excellent book and I love it
Lottery Master Guide,Smart Luck Pub,games,1.0,I'm very.... Very!!!! happy customer....
Lottery Master Guide,Smart Luck Pub,games,1.0,Lucky Player
Lottery Master Guide,Smart Luck Pub,games,1.0,this book is very good for a first time lottery player
Lottery Master Guide,Smart Luck Pub,games,0.75,Gail Howard Offers the Best Wheeling Systems
Rethinking the Chess Pieces,B T Batsford Ltd,games,0.75,Sound Material That We Have Seen Before
Rethinking the Chess Pieces,B T Batsford Ltd,games,1.0,Understanding the dynamism of chess.
Rethinking the Chess Pieces,B T Batsford Ltd,games,1.0,Clearly explains when to sacrifice and when not to
Rethinking the Chess Pieces,B T Batsford Ltd,games,1.0,The researched facts
Rethinking the Chess Pieces,B T Batsford Ltd,games,0.25,Not a Practical Book
Rethinking the Chess Pieces,B T Batsford Ltd,games,0.5,Good but not practical
Lateral Logic Mazes for the Serious Puzzler,Sterling Publishing Company Incorporated,games,0.0,"40 Mazes, 11 Design Mistakes"
Random House Puzzlemaker's Handbook (RH Crosswords),Random House Puzzles & Games,games,1.0,The Best Book on Constructing
Laodicean a Story of Today,,games,0.75,3 and 1/2 Stars -- Not Hardy's Best but Worthwhile
Complete Defense To Queen Pawn Openings (Cardoza Publishing's Essential Opening Repertoire Series),Cardoza,games,0.25,Poor organization and editing hurt useful book
Complete Defense To Queen Pawn Openings (Cardoza Publishing's Essential Opening Repertoire Series),Cardoza,games,0.75,Love the Enthusiasm and Material; Hate the Proofreading
Complete Defense To Queen Pawn Openings (Cardoza Publishing's Essential Opening Repertoire Series),Cardoza,games,0.75,Complete Queen's Pawn is a great place to start
Complete Defense To Queen Pawn Openings (Cardoza Publishing's Essential Opening Repertoire Series),Cardoza,games,0.0,A poorly executed book
Complete Defense To Queen Pawn Openings (Cardoza Publishing's Essential Opening Repertoire Series),Cardoza,games,0.5,decent book
Complete Defense To Queen Pawn Openings (Cardoza Publishing's Essential Opening Repertoire Series),Cardoza,games,0.75,Versatile defense for black
Complete Defense To Queen Pawn Openings (Cardoza Publishing's Essential Opening Repertoire Series),Cardoza,games,1.0,Great book on Tarrasch
Complete Defense To Queen Pawn Openings (Cardoza Publishing's Essential Opening Repertoire Series),Cardoza,games,0.0,Awful Book Cover and Content...
"Easy Games for Youngsters : A Compilation of Indoor-Outdoor Games, Designed For Use by Teachers and Parents With Kindergarten Through Fourth Grade",,games,1.0,Easy Games
"Kindred of the East (For Vampire, the Masquerade)",White Wolf Pub,games,1.0,Buy this book
"Kindred of the East (For Vampire, the Masquerade)",White Wolf Pub,games,0.75,Great book!
"Kindred of the East (For Vampire, the Masquerade)",White Wolf Pub,games,1.0,Well worth the money.
"Kindred of the East (For Vampire, the Masquerade)",White Wolf Pub,games,1.0,The most interesting book White Wolf has published so far.
"Kindred of the East (For Vampire, the Masquerade)",White Wolf Pub,games,1.0,Eastern Vampire's mysteries revealed!
"Kindred of the East (For Vampire, the Masquerade)",White Wolf Pub,games,0.75,"this book combines the best of vampire, wraith, and mage."
"Kindred of the East (For Vampire, the Masquerade)",White Wolf Pub,games,0.25,Drama-soaked impossibly complicated drivel
