title,publisher,categories,review_score,review_summary
The Impatient Gardener's Lawn Book,"Random House Digital, Inc.",gardening,0.75,"Pretty good, although a few flaws"
The Impatient Gardener's Lawn Book,"Random House Digital, Inc.",gardening,1.0,Gardening Book
The Impatient Gardener's Lawn Book,"Random House Digital, Inc.",gardening,1.0,"Concise, thorough and packed with useful information"
The Impatient Gardener's Lawn Book,"Random House Digital, Inc.",gardening,0.0,Gardening lawn book
The Impatient Gardener's Lawn Book,"Random House Digital, Inc.",gardening,0.75,Good (albeit inconsistent) advice; your lawn will improve.
The Impatient Gardener's Lawn Book,"Random House Digital, Inc.",gardening,1.0,The greenest grass imaginable
The Impatient Gardener's Lawn Book,"Random House Digital, Inc.",gardening,0.5,Good information but very disorganized
The Impatient Gardener's Lawn Book,"Random House Digital, Inc.",gardening,0.5,It might be easier to be green than you think!
The Impatient Gardener's Lawn Book,"Random House Digital, Inc.",gardening,0.75,Has many helpful tips if not a systematic guide
The Impatient Gardener's Lawn Book,"Random House Digital, Inc.",gardening,1.0,Best lawn on the block!!!
The Impatient Gardener's Lawn Book,"Random House Digital, Inc.",gardening,1.0,Excellent results from an Excellent book
The Impatient Gardener's Lawn Book,"Random House Digital, Inc.",gardening,0.5,"Good tips, but poorly organized"
The Impatient Gardener's Lawn Book,"Random House Digital, Inc.",gardening,1.0,Right to the point - no fluff - right on!
The Impatient Gardener's Lawn Book,"Random House Digital, Inc.",gardening,0.75,Very useful.
Gardens of New Orleans: Exquisite Excess,Chronicle Books,gardening,1.0,Going beyond the touristed New Orleans
Gardens of New Orleans: Exquisite Excess,Chronicle Books,gardening,0.75,Can't wait to start on my own &quot;New Orleans&quot; garden
Gardens of New Orleans: Exquisite Excess,Chronicle Books,gardening,1.0,For lovers of gardening- it captures the heart &amp; imagination
Gardens of New Orleans: Exquisite Excess,Chronicle Books,gardening,1.0,Gorgeous photos and more
Gardens of New Orleans: Exquisite Excess,Chronicle Books,gardening,1.0,Beautiful!
Gardens of New Orleans: Exquisite Excess,Chronicle Books,gardening,0.75,excellent resource
Gardens of New Orleans: Exquisite Excess,Chronicle Books,gardening,1.0,Fascinating survey of New Orleans gardens
Gardens of New Orleans: Exquisite Excess,Chronicle Books,gardening,0.25,Gardens of New Orleans: Exquisite Excess
Space and illusion in the Japanese garden,"Weatherhill, Incorporated",gardening,1.0,Enchanting
By Any Other Name,Beacon Press,gardening,1.0,By any other name
By Any Other Name,Beacon Press,gardening,0.75,How Fun!
By Any Other Name,Beacon Press,gardening,1.0,A Real Page Turner
By Any Other Name,Beacon Press,gardening,1.0,Compelling Mystery
By Any Other Name,Beacon Press,gardening,1.0,Impressive and entertaining!
By Any Other Name,Beacon Press,gardening,1.0,By Any Other Name
By Any Other Name,Beacon Press,gardening,1.0,Satisfying
By Any Other Name,Beacon Press,gardening,1.0,Great mystery novel!
By Any Other Name,Beacon Press,gardening,1.0,By Any Other Name by GiGi Gossett
By Any Other Name,Beacon Press,gardening,1.0,By Any Other Name
By Any Other Name,Beacon Press,gardening,1.0,Surprised
By Any Other Name,Beacon Press,gardening,1.0,A Real Page-Turner
By Any Other Name,Beacon Press,gardening,1.0,Captivating mystery novel
By Any Other Name,Beacon Press,gardening,1.0,Loved this mystery!!
By Any Other Name,Beacon Press,gardening,1.0,Sturgeon would approve.
By Any Other Name,Beacon Press,gardening,1.0,Ups and Downs Galore
By Any Other Name,Beacon Press,gardening,1.0,A must for Spider fans!
By Any Other Name,Beacon Press,gardening,1.0,A Book of Great Short Stories
By Any Other Name,Beacon Press,gardening,0.0,Repackaged Old Material
Designing With Roses (The Joy of Gardening),Summersdale Publishers LTD - ROW,gardening,0.75,"Concise, comprehensive primer on rose growing"
Designing With Climbers (The Joy of Gardening),Running Press Book Publishers,gardening,0.75,Climbers Galore
Designing With Climbers (The Joy of Gardening),Running Press Book Publishers,gardening,1.0,Awesome Gardening Tips!
"Ramblers, Scramblers & Twiners: High-Performance Climbing Plants & Wall Shrubs",David & Charles Publishers,gardening,1.0,"Unusual, Beautiful, Useful"
"Ramblers, Scramblers & Twiners: High-Performance Climbing Plants & Wall Shrubs",David & Charles Publishers,gardening,1.0,"Unusual, Beautiful, Useful"
WINTER GRASS,Simon and Schuster,gardening,1.0,Principles v.s. human relationships
Backyard Secrets of the Garden Experts,Rodale Press,gardening,0.75,Great little known tips
Backyard Secrets of the Garden Experts,Rodale Press,gardening,1.0,Good service
The Art of Planting,Timber Press,gardening,0.75,In Mrs. Pugh's garden.....
The Art of Planting,Timber Press,gardening,0.75,A Delight for the Senses
The Art of Planting,Timber Press,gardening,0.75,Colours on view
The Art of Planting,Timber Press,gardening,1.0,The Art of Planting
Gardens of Use & Delight: Uniting the Practical and Beautiful in an Integrated Landscape,"Golden, Colo. : Fulcrum Pub.",gardening,1.0,A Book Useful & Delightful in Many Ways
Gardens of Use & Delight: Uniting the Practical and Beautiful in an Integrated Landscape,"Golden, Colo. : Fulcrum Pub.",gardening,0.5,"Ornamentals, Ornamentals, and Ornamentals!"
Gardens of Use & Delight: Uniting the Practical and Beautiful in an Integrated Landscape,"Golden, Colo. : Fulcrum Pub.",gardening,1.0,Gardens of Use and Delight: a review
Gardens of Use & Delight: Uniting the Practical and Beautiful in an Integrated Landscape,"Golden, Colo. : Fulcrum Pub.",gardening,0.5,Not an up to date guide
Gardens of Use & Delight: Uniting the Practical and Beautiful in an Integrated Landscape,"Golden, Colo. : Fulcrum Pub.",gardening,1.0,A practical and beautiful book
Bulbs,Houghton Mifflin Harcourt,gardening,0.75,An Amazing (Almost Overwhelming) Reference...
Bulbs,Houghton Mifflin Harcourt,gardening,1.0,most thorough bulb book on the market
Bulbs,Houghton Mifflin Harcourt,gardening,1.0,John Bryan Bulb book
The Cannabis Grow Bible: The Definitive Guide to Growing Marijuana for Recreational and Medical Use,,gardening,1.0,Good amount of info most are not familiar with.
The Cannabis Grow Bible: The Definitive Guide to Growing Marijuana for Recreational and Medical Use,,gardening,1.0,An in-depth guide to creating big bounty in one's house or garden.
The Cannabis Grow Bible: The Definitive Guide to Growing Marijuana for Recreational and Medical Use,,gardening,1.0,interesting read
The Cannabis Grow Bible: The Definitive Guide to Growing Marijuana for Recreational and Medical Use,,gardening,1.0,Super comprehensive
The Cannabis Grow Bible: The Definitive Guide to Growing Marijuana for Recreational and Medical Use,,gardening,1.0,The Big Green Book
The Cannabis Grow Bible: The Definitive Guide to Growing Marijuana for Recreational and Medical Use,,gardening,1.0,Why this book matters.
The Cannabis Grow Bible: The Definitive Guide to Growing Marijuana for Recreational and Medical Use,,gardening,1.0,A great reference.
The Cannabis Grow Bible: The Definitive Guide to Growing Marijuana for Recreational and Medical Use,,gardening,1.0,PROVEN
The Cannabis Grow Bible: The Definitive Guide to Growing Marijuana for Recreational and Medical Use,,gardening,1.0,Let's you know what you're getting into...
The Cannabis Grow Bible: The Definitive Guide to Growing Marijuana for Recreational and Medical Use,,gardening,1.0,Read it and Reap!
The Cannabis Grow Bible: The Definitive Guide to Growing Marijuana for Recreational and Medical Use,,gardening,1.0,Whatever you are doing - stop now....
The Cannabis Grow Bible: The Definitive Guide to Growing Marijuana for Recreational and Medical Use,,gardening,1.0,The Veg
