title,publisher,categories,review_score,review_summary
Overcoming Hypertension (Dr. Kenneth H. Cooper's Preventive Medicine Program),Bantam,health fitness,1.0,A must read for anyone with blood pressure issues
The Complete Illustrated Guide to Chinese Medicine: A Comprehensive System for Health and Fitness,HarperThorsons,health fitness,0.75,"Ancient tradition, many modalities"
The Complete Illustrated Guide to Chinese Medicine: A Comprehensive System for Health and Fitness,HarperThorsons,health fitness,0.75,Good introduction to Traditional Chinese Medicine
The Complete Illustrated Guide to Chinese Medicine: A Comprehensive System for Health and Fitness,HarperThorsons,health fitness,1.0,lfoote
The Complete Illustrated Guide to Chinese Medicine: A Comprehensive System for Health and Fitness,HarperThorsons,health fitness,1.0,The BEST introduction to Chinese Medicine on the market.
The Complete Illustrated Guide to Chinese Medicine: A Comprehensive System for Health and Fitness,HarperThorsons,health fitness,1.0,Great resource for Chinese/Eastern medincine
The Complete Illustrated Guide to Chinese Medicine: A Comprehensive System for Health and Fitness,HarperThorsons,health fitness,1.0,Beautifully Illustrated
The Complete Illustrated Guide to Chinese Medicine: A Comprehensive System for Health and Fitness,HarperThorsons,health fitness,1.0,Why Is This A Good Book?
The Complete Illustrated Guide to Chinese Medicine: A Comprehensive System for Health and Fitness,HarperThorsons,health fitness,1.0,A Book That Is Worth a Second Look
The Complete Illustrated Guide to Chinese Medicine: A Comprehensive System for Health and Fitness,HarperThorsons,health fitness,1.0,Excellent coffee table Chinese Medicine book!
The Complete Illustrated Guide to Chinese Medicine: A Comprehensive System for Health and Fitness,HarperThorsons,health fitness,0.75,Chinese medicine
The Complete Illustrated Guide to Chinese Medicine: A Comprehensive System for Health and Fitness,HarperThorsons,health fitness,1.0,nice book
The Web That Has No Weaver: Understanding Chinese Medicine,McGraw-Hill Education,health fitness,1.0,The Art of Chinese Medical Science
Compendium of Herbal Magick,Phoenix Publishing (WA),health fitness,1.0,"Entertaining, Enjoyable and Filled with Helpful Information"
Compendium of Herbal Magick,Phoenix Publishing (WA),health fitness,1.0,best way to keep track of all your magickal uses for herbs
Compendium of Herbal Magick,Phoenix Publishing (WA),health fitness,1.0,Review
Compendium of Herbal Magick,Phoenix Publishing (WA),health fitness,1.0,Into herbs?
Compendium of Herbal Magick,Phoenix Publishing (WA),health fitness,1.0,Wonderful!
