title,publisher,categories,review_score,review_summary
Scroll Saw: Plain & Simple Fun (Scroll Saw Pattern Books),"Sterling Publishing Company, Inc.",house home,0.0,Weak out-dated plans
Treasure Chests: The Legacy of Extraordinary Boxes,Taunton Press,house home,1.0,Beautiful and wide-ranging
Treasure Chests: The Legacy of Extraordinary Boxes,Taunton Press,house home,1.0,Sumptuous
Treasure Chests: The Legacy of Extraordinary Boxes,Taunton Press,house home,1.0,Both a beautiful and an educational book
Treasure Chests: The Legacy of Extraordinary Boxes,Taunton Press,house home,1.0,Great job!
Treasure Chests: The Legacy of Extraordinary Boxes,Taunton Press,house home,0.75,Great resource
Treasure Chests: The Legacy of Extraordinary Boxes,Taunton Press,house home,0.75,Treasure Chests
Treasure Chests: The Legacy of Extraordinary Boxes,Taunton Press,house home,1.0,WOW!!!! Great reference book!
Treasure Chests: The Legacy of Extraordinary Boxes,Taunton Press,house home,0.75,Overall Good Book
Treasure Chests: The Legacy of Extraordinary Boxes,Taunton Press,house home,0.5,Coffee table book.
Cleaning and the Meaning of Life : Simple Solutions to Declutter Your Home and Beautify Your Life,Hci,house home,1.0,Cleaning and the Meaning of Life
Cleaning and the Meaning of Life : Simple Solutions to Declutter Your Home and Beautify Your Life,Hci,house home,1.0,Sound advice from the guru of clean
Cleaning and the Meaning of Life : Simple Solutions to Declutter Your Home and Beautify Your Life,Hci,house home,1.0,Wow cleaning is not only easy it's fun
Cleaning and the Meaning of Life : Simple Solutions to Declutter Your Home and Beautify Your Life,Hci,house home,1.0,There is light at the end of the tunnel
Cleaning and the Meaning of Life : Simple Solutions to Declutter Your Home and Beautify Your Life,Hci,house home,0.75,Cleaning and The Meaning of Life
Cleaning and the Meaning of Life : Simple Solutions to Declutter Your Home and Beautify Your Life,Hci,house home,1.0,Cleaning and the Meaning of Life: Simple Solutions to DeClutter Your Home and Beautify Your Life
Cleaning and the Meaning of Life : Simple Solutions to Declutter Your Home and Beautify Your Life,Hci,house home,1.0,I'm inspired ...
Cleaning and the Meaning of Life : Simple Solutions to Declutter Your Home and Beautify Your Life,Hci,house home,1.0,Great so far
Cleaning and the Meaning of Life : Simple Solutions to Declutter Your Home and Beautify Your Life,Hci,house home,1.0,great book!
Cleaning and the Meaning of Life : Simple Solutions to Declutter Your Home and Beautify Your Life,Hci,house home,0.25,not enlightened
Adobe: Remodeling & Fireplaces,Sunstone Press,house home,0.5,Probably of limited usefulness
Basic Masonry (Sunset New Basic),Sunset Publishing Company,house home,0.75,Great masonry book for the homeowner.
Tablesaw Methods of Work,Taunton,house home,0.75,The best tablesaw tips from 25 years of Fine Woodworking
Tablesaw Methods of Work,Taunton,house home,1.0,Moderately Skilled Woodworker (still improving)
Tablesaw Methods of Work,Taunton,house home,1.0,Tablesaw: Methods of Work: The Best Advice from 25 Years fro
Tablesaw Methods of Work,Taunton,house home,1.0,Great Book
Tablesaw Methods of Work,Taunton,house home,1.0,Simply amazing
Tablesaw Methods of Work,Taunton,house home,1.0,An absolute must for jigs and safety
Tablesaw Methods of Work,Taunton,house home,0.0,Mr. Jim Richey and tanton press I WANT MY MONEY BACK.
"The Complete Guide to Home Masonry: Step-by-Step Projects & Repairs Using Concrete, Brick, Block & Stone (Black & Decker Home Improvement Library)",Creative Publishing International,house home,1.0,A near-perfect book for OUTDOOR masonry projects
"The Complete Guide to Home Masonry: Step-by-Step Projects & Repairs Using Concrete, Brick, Block & Stone (Black & Decker Home Improvement Library)",Creative Publishing International,house home,0.5,A bit too general but adequate to get basic jobs done
"The Complete Guide to Home Masonry: Step-by-Step Projects & Repairs Using Concrete, Brick, Block & Stone (Black & Decker Home Improvement Library)",Creative Publishing International,house home,0.5,Not Very good for Stacked Stone Instructions.
"The Complete Guide to Home Masonry: Step-by-Step Projects & Repairs Using Concrete, Brick, Block & Stone (Black & Decker Home Improvement Library)",Creative Publishing International,house home,1.0,Excellent and Easy to Follow
"The Complete Guide to Home Masonry: Step-by-Step Projects & Repairs Using Concrete, Brick, Block & Stone (Black & Decker Home Improvement Library)",Creative Publishing International,house home,0.25,old and out of date
