title,publisher,categories,review_score,review_summary
Close to Home Revisited,Andrews McMeel Publishing,humor,1.0,Close to home :Revisited anthology
Close to Home Revisited,Andrews McMeel Publishing,humor,1.0,"If you enjoy a sideways and bizarre look at life and what it presents, then you will enjoy this book."
Close to Home Revisited,Andrews McMeel Publishing,humor,0.5,"Funny, but not many Coloured Diagrams"
Close to Home Revisited,Andrews McMeel Publishing,humor,1.0,HeeeHHHAAAAAAAHHHAAA!!
"Topol's Treasury of Jewish Humor, Wit and Wisdom",Barricade Books Incorporated,humor,0.75,Topol's a nut
"Topol's Treasury of Jewish Humor, Wit and Wisdom",Barricade Books Incorporated,humor,0.75,"Topol's Treasury of Jewish Humor, Wit and Wisdom"
Dilbert 1. Aplace Siempre Sus Reuniones,Ediciones Granica S.A.,humor,1.0,Simplemete Realista y comico
Dilbert 1. Aplace Siempre Sus Reuniones,Ediciones Granica S.A.,humor,1.0,Extremadamente Chistoso y Realista
"Eve's Revenge: Saints, Sinners, and the Stand-up Sisters of the Ultimate Extinction of Men",Harcourt,humor,0.75,A new target of cutting wit?
"Eve's Revenge: Saints, Sinners, and the Stand-up Sisters of the Ultimate Extinction of Men",Harcourt,humor,0.5,Caustic and Witty
Ruby Ann's Down Home Trailer Park Guide To Livin' Real Good,Citadel Press,humor,1.0,BUY TWO OF THESE BOOKS
Ruby Ann's Down Home Trailer Park Guide To Livin' Real Good,Citadel Press,humor,1.0,MARTHA STEWART HAS MET HER MATCH!
Ruby Ann's Down Home Trailer Park Guide To Livin' Real Good,Citadel Press,humor,1.0,SAW HER ON JOHN WALSH SHOW
Ruby Ann's Down Home Trailer Park Guide To Livin' Real Good,Citadel Press,humor,0.75,"Fun to read, lots of laughs"
Ruby Ann's Down Home Trailer Park Guide To Livin' Real Good,Citadel Press,humor,1.0,Great Book
Ruby Ann's Down Home Trailer Park Guide To Livin' Real Good,Citadel Press,humor,0.75,Funny!
Ruby Ann's Down Home Trailer Park Guide To Livin' Real Good,Citadel Press,humor,1.0,God Bless Ruby Ann!
Curing the Cross-Eyed Mule,august house,humor,1.0,one of the most entertaining books i've ever read
Curing the Cross-Eyed Mule,august house,humor,1.0,"several chuckles on every page, LOLs abound!!!"
You Might Be A Redneck If...,,humor,1.0,"""You consider a six pack of beer and a bug-zapper quality entertainment"""
You Might Be A Redneck If...,,humor,1.0,A funny book
You Might Be A Redneck If...,,humor,1.0,Foxworthy is so charming he makes this book a delight!
"Boyfriends from Hell: True Tales of Tainted Lovers, Disastrous Dates and Love Gone Wrong!",,humor,0.75,Ex-Boyfriend Origami
"Boyfriends from Hell: True Tales of Tainted Lovers, Disastrous Dates and Love Gone Wrong!",,humor,0.5,A Short Story Collection -- Not All Humerous
Chick Fu: The Man's Guide to Surviving Women or Secrets from the Other Team's Playbook,iUniverse,humor,1.0,Pure Mojo
Chick Fu: The Man's Guide to Surviving Women or Secrets from the Other Team's Playbook,iUniverse,humor,1.0,Hilarious!
Chick Fu: The Man's Guide to Surviving Women or Secrets from the Other Team's Playbook,iUniverse,humor,1.0,Funniest Book In Years
"Take My Wife, Please: Henny Youngman's Giant Book of Jokes",Citadel Press,humor,1.0,A One Liner Treasury
"Take My Wife, Please: Henny Youngman's Giant Book of Jokes",Citadel Press,humor,1.0,Do NOT order this book from Amazon
"Take My Wife, Please: Henny Youngman's Giant Book of Jokes",Citadel Press,humor,1.0,A laugh at every subject
"Take My Wife, Please: Henny Youngman's Giant Book of Jokes",Citadel Press,humor,0.25,Henny Youngman
"Take My Wife, Please: Henny Youngman's Giant Book of Jokes",Citadel Press,humor,0.0,"Take My Wife, Please"
Dress Your Family in Corduroy and Denim,Hachette UK,humor,1.0,Total Fun.
Dress Your Family in Corduroy and Denim,Hachette UK,humor,0.75,+++
Dress Your Family in Corduroy and Denim,Hachette UK,humor,1.0,Once again....fabulous
Dress Your Family in Corduroy and Denim,Hachette UK,humor,0.75,There are lots of reasons to love this book.
Dress Your Family in Corduroy and Denim,Hachette UK,humor,1.0,"Funny! (No, really)"
Dress Your Family in Corduroy and Denim,Hachette UK,humor,0.75,Quite Entertaining
Dress Your Family in Corduroy and Denim,Hachette UK,humor,1.0,The hilarious Sedaris family!
Dress Your Family in Corduroy and Denim,Hachette UK,humor,1.0,Excellent!
Dress Your Family in Corduroy and Denim,Hachette UK,humor,1.0,He's out-done himself....
Dress Your Family in Corduroy and Denim,Hachette UK,humor,1.0,A MUST read!
Dress Your Family in Corduroy and Denim,Hachette UK,humor,0.75,Dress Your Family in Corduroy and Denim
Dress Your Family in Corduroy and Denim,Hachette UK,humor,1.0,The CD is great with the author reading his works
Dress Your Family in Corduroy and Denim,Hachette UK,humor,1.0,David Sedaris
Dress Your Family in Corduroy and Denim,Hachette UK,humor,0.75,Not Like Any Other Ordinary Book
Dress Your Family in Corduroy and Denim,Hachette UK,humor,1.0,"You'll Laugh, You'll Learn, You'll Enjoy"
Dress Your Family in Corduroy and Denim,Hachette UK,humor,1.0,Delightful tour of the bizarreness of ordinary life
Dress Your Family in Corduroy and Denim,Hachette UK,humor,1.0,"Brilliant; Hilarious, Touching, Dark, Sophisticated, Moronic"
Dress Your Family in Corduroy and Denim,Hachette UK,humor,1.0,Sedaris' most mature work yet
Dress Your Family in Corduroy and Denim,Hachette UK,humor,1.0,"Not as hilarious as past books, but very enjoyable"
Dress Your Family in Corduroy and Denim,Hachette UK,humor,1.0,My stomach hurts!
Dress Your Family in Corduroy and Denim,Hachette UK,humor,0.75,Unique
Dress Your Family in Corduroy and Denim,Hachette UK,humor,1.0,"Laughing Gas at 35,000 ft"
Dress Your Family in Corduroy and Denim,Hachette UK,humor,0.75,"Good stuff, but his life is better LIVE"
Dress Your Family in Corduroy and Denim,Hachette UK,humor,1.0,My wife liked it and I didn't
Dress Your Family in Corduroy and Denim,Hachette UK,humor,0.75,Sedaris
Dress Your Family in Corduroy and Denim,Hachette UK,humor,0.5,the sweaty bits were a little weird
Dress Your Family in Corduroy and Denim,Hachette UK,humor,1.0,An audiobook anthology of personal essays
Dress Your Family in Corduroy and Denim,Hachette UK,humor,1.0,LoL Comedy
Dress Your Family in Corduroy and Denim,Hachette UK,humor,1.0,David and Amy Sedaris- A modern American treasure
Dress Your Family in Corduroy and Denim,Hachette UK,humor,0.75,sedaris virgin
Dress Your Family in Corduroy and Denim,Hachette UK,humor,0.75,Hilarious
Dress Your Family in Corduroy and Denim,Hachette UK,humor,0.75,Great Read
Dress Your Family in Corduroy and Denim,Hachette UK,humor,1.0,Even better
Dress Your Family in Corduroy and Denim,Hachette UK,humor,1.0,Funniest man alive
Dress Your Family in Corduroy and Denim,Hachette UK,humor,0.75,More Family Secrets
Dress Your Family in Corduroy and Denim,Hachette UK,humor,1.0,Keep 'em coming...
Dress Your Family in Corduroy and Denim,Hachette UK,humor,1.0,The Sedaris adeventures never fail to amuse!
Dress Your Family in Corduroy and Denim,Hachette UK,humor,1.0,A Winner That Grows On You
Dress Your Family in Corduroy and Denim,Hachette UK,humor,0.5,Where did the humor go
Dress Your Family in Corduroy and Denim,Hachette UK,humor,0.75,Sedaris does it again
Dress Your Family in Corduroy and Denim,Hachette UK,humor,1.0,Very. Good.
Dress Your Family in Corduroy and Denim,Hachette UK,humor,0.25,"Mildly entertaining, at best"
Dress Your Family in Corduroy and Denim,Hachette UK,humor,0.25,This is no Me Talk Pretty
Dress Your Family in Corduroy and Denim,Hachette UK,humor,0.5,Didn't Live Up
Dress Your Family in Corduroy and Denim,Hachette UK,humor,0.0,First stories were great but I wound up wishing I hadn't bought the book.
Dress Your Family in Corduroy and Denim,Hachette UK,humor,0.5,Dress Your Family in Corduroy and Denim
Dress Your Family in Corduroy and Denim,Hachette UK,humor,0.75,"Funny In A Way, But Sad"
Dress Your Family in Corduroy and Denim,Hachette UK,humor,0.5,Not his best work.
Dress Your Family in Corduroy and Denim,Hachette UK,humor,0.75,Love It
Dress Your Family in Corduroy and Denim,Hachette UK,humor,0.5,laugh out loud and hide your eyes
Dress Your Family in Corduroy and Denim,Hachette UK,humor,0.75,A New Direction
Dress Your Family in Corduroy and Denim,Hachette UK,humor,1.0,More serious and mature than his previous works
Dress Your Family in Corduroy and Denim,Hachette UK,humor,0.75,Totally Funny
Dress Your Family in Corduroy and Denim,Hachette UK,humor,1.0,"Yes, this one is as good as all the others."
Dress Your Family in Corduroy and Denim,Hachette UK,humor,1.0,I love David Sedaris.
Dress Your Family in Corduroy and Denim,Hachette UK,humor,1.0,I always laugh outloud
Dress Your Family in Corduroy and Denim,Hachette UK,humor,1.0,Enjoyed it
Dress Your Family in Corduroy and Denim,Hachette UK,humor,1.0,so funny
Dress Your Family in Corduroy and Denim,Hachette UK,humor,0.5,Not all that funny
Dress Your Family in Corduroy and Denim,Hachette UK,humor,0.0,porn
Dress Your Family in Corduroy and Denim,Hachette UK,humor,0.75,A great escape from regular life - though still closer to your day-to-day than you might think.
Dress Your Family in Corduroy and Denim,Hachette UK,humor,1.0,laugh out loud funny
Dress Your Family in Corduroy and Denim,Hachette UK,humor,0.75,Too funny
Dress Your Family in Corduroy and Denim,Hachette UK,humor,0.5,Cordroy
Dress Your Family in Corduroy and Denim,Hachette UK,humor,0.75,E>R>
Dress Your Family in Corduroy and Denim,Hachette UK,humor,1.0,Another MASTERpiece!
Dress Your Family in Corduroy and Denim,Hachette UK,humor,1.0,Typical Sedaris...amazingly funny
Dress Your Family in Corduroy and Denim,Hachette UK,humor,0.5,Not As Funny As the Others
Dress Your Family in Corduroy and Denim,Hachette UK,humor,1.0,Laugh out loud
Dress Your Family in Corduroy and Denim,Hachette UK,humor,1.0,Gift
