title,publisher,categories,review_score,review_summary
Mensa Number Puzzles (Mensa Word Games for Kids),Sky Pony,juvenile nonfiction,0.5,Made me wish I was Einstein.
Mensa Number Puzzles (Mensa Word Games for Kids),Sky Pony,juvenile nonfiction,0.75,Numbers Puzzles Galore
Guide to Owning a Birman Cat (Popular Cat Library),Chelsea House Pub,juvenile nonfiction,1.0,Great advice on caring for your Birman
Guide to Owning a Birman Cat (Popular Cat Library),Chelsea House Pub,juvenile nonfiction,1.0,The Guide to Owning a Birman Cat (The Guide to Owning)
Guide to Owning a Birman Cat (Popular Cat Library),Chelsea House Pub,juvenile nonfiction,1.0,"Karen Cummings, comes through."
Natural Wonders of the World: Converting Measurements to Metric Units (Powermath),"The Rosen Publishing Group, Inc",juvenile nonfiction,1.0,Kerri O'Donnell Rocks!
Chocolate: The Sweet History,Smart about History,juvenile nonfiction,1.0,Kudos and Congratulations on a wonderful book -- its a winner!
Chocolate: The Sweet History,Smart about History,juvenile nonfiction,1.0,Oh Lordy!! Makes your mouth water :-()
Chocolate: The Sweet History,Smart about History,juvenile nonfiction,0.75,great book of chocolate
Chocolate: The Sweet History,Smart about History,juvenile nonfiction,1.0,Is there anyone who doesn't love chocolate?
Chocolate: The Sweet History,Smart about History,juvenile nonfiction,1.0,"A delicious presentation indeed, packed with history and appeal"
Chocolate: The Sweet History,Smart about History,juvenile nonfiction,1.0,Looks Good and Tells A Story
Chocolate: The Sweet History,Smart about History,juvenile nonfiction,0.75,Chocolate delicious by body hottie
A Titanic Journey Across the Sea 1912 (American Sisters),Simon and Schuster,juvenile nonfiction,1.0,Yet another Titanic books..... but it's good.
A Titanic Journey Across the Sea 1912 (American Sisters),Simon and Schuster,juvenile nonfiction,1.0,An Excellent Titanic Book
A Titanic Journey Across the Sea 1912 (American Sisters),Simon and Schuster,juvenile nonfiction,1.0,Erna and her sister are on the &quot;Titanic&quot;
A Titanic Journey Across the Sea 1912 (American Sisters),Simon and Schuster,juvenile nonfiction,1.0,A great American Sisters book.
Spooky Kids: Strange But True Tales,Troll Communications Llc,juvenile nonfiction,1.0,"SPOOKY,AND IT`S ABOUT KIDS."
Spooky Kids: Strange But True Tales,Troll Communications Llc,juvenile nonfiction,1.0,Since I already have all the commercially-available GOOSEBUMPS videos...
Spooky Kids: Strange But True Tales,Troll Communications Llc,juvenile nonfiction,1.0,It's accelerating!
Isaac Asimov: Master of Science Fiction (People to Know),Enslow Pub Incorporated,juvenile nonfiction,0.25,How Not to Write a Biography
Isaac Asimov: Master of Science Fiction (People to Know),Enslow Pub Incorporated,juvenile nonfiction,0.5,Just the basics
RETRIEVER TRAINING FOR THE DUCK HUNTER,Safari Press,juvenile nonfiction,1.0,Best dog training I've seen hands down.
RETRIEVER TRAINING FOR THE DUCK HUNTER,Safari Press,juvenile nonfiction,1.0,Everything you need to have a great retrieving labrador.
RETRIEVER TRAINING FOR THE DUCK HUNTER,Safari Press,juvenile nonfiction,1.0,"the most effective, easy to understand training guide"
RETRIEVER TRAINING FOR THE DUCK HUNTER,Safari Press,juvenile nonfiction,1.0,Excellent how-to book on training your retriever
RETRIEVER TRAINING FOR THE DUCK HUNTER,Safari Press,juvenile nonfiction,1.0,Excellent step by step training tool!!!!!
RETRIEVER TRAINING FOR THE DUCK HUNTER,Safari Press,juvenile nonfiction,0.75,Great book for first time retriever owner
RETRIEVER TRAINING FOR THE DUCK HUNTER,Safari Press,juvenile nonfiction,1.0,Great
RETRIEVER TRAINING FOR THE DUCK HUNTER,Safari Press,juvenile nonfiction,0.75,Robert Milner Training
RETRIEVER TRAINING FOR THE DUCK HUNTER,Safari Press,juvenile nonfiction,1.0,The perfect training book
RETRIEVER TRAINING FOR THE DUCK HUNTER,Safari Press,juvenile nonfiction,0.5,Trained my Dog
The Klutz Book of Jacks,,juvenile nonfiction,0.75,Good Basic Book on Jacks
The Klutz Book of Jacks,,juvenile nonfiction,0.75,Originally bought jacks for grandkids...
The Klutz Book of Jacks,,juvenile nonfiction,0.0,"book only, no jacks"
Guide to Owning a Burmese Cat (Popular Cat Library),Chelsea House Pub,juvenile nonfiction,0.25,"Substitute the name ""Burmese"" for any cat"
Guide to Owning a Burmese Cat (Popular Cat Library),Chelsea House Pub,juvenile nonfiction,0.25,"Other than the History of the breed, not specific to a Burmese Cat at all!"
Guide to Owning a Burmese Cat (Popular Cat Library),Chelsea House Pub,juvenile nonfiction,0.75,"Guide to Owning a Burmese Cat: Feeding, Grooming, Health, Handling, Exhibition"
Guide to Owning a Burmese Cat (Popular Cat Library),Chelsea House Pub,juvenile nonfiction,0.75,A Nice Companion to a Great Cat
