title,publisher,categories,review_score,review_summary
"The Ultimate Guide to Law School Admission: Insider Secrets for Getting a ""Big Envelope"" with Your Acceptance to Law School!",Bloomsbury Publishing,law,0.5,No &quot;Insider&quot; Secrets
"The Ultimate Guide to Law School Admission: Insider Secrets for Getting a ""Big Envelope"" with Your Acceptance to Law School!",Bloomsbury Publishing,law,0.25,"Not an ""ultimate guide"""
"The Ultimate Guide to Law School Admission: Insider Secrets for Getting a ""Big Envelope"" with Your Acceptance to Law School!",Bloomsbury Publishing,law,1.0,Everything my advisor SHOULD have told me!
"The Ultimate Guide to Law School Admission: Insider Secrets for Getting a ""Big Envelope"" with Your Acceptance to Law School!",Bloomsbury Publishing,law,1.0,Exactly what I needed.
"The Ultimate Guide to Law School Admission: Insider Secrets for Getting a ""Big Envelope"" with Your Acceptance to Law School!",Bloomsbury Publishing,law,0.75,It works
"The Ultimate Guide to Law School Admission: Insider Secrets for Getting a ""Big Envelope"" with Your Acceptance to Law School!",Bloomsbury Publishing,law,1.0,"THIS BOOK SAVED ME OVER $100,000.00!!!"
"The Ultimate Guide to Law School Admission: Insider Secrets for Getting a ""Big Envelope"" with Your Acceptance to Law School!",Bloomsbury Publishing,law,0.0,Nothing you don't already know
Academic Freedom after September 11,Stanford University Press,law,1.0,Jill Malter
Academic Freedom after September 11,Stanford University Press,law,1.0,This must be a must-read
Academic Freedom after September 11,Stanford University Press,law,0.25,Yet another unsubstantiated case....
Academic Freedom after September 11,Stanford University Press,law,0.0,Molly Myers
Academic Freedom after September 11,Stanford University Press,law,0.0,Dishonest
The Science of Cold Case Files,Berkley,law,1.0,This is as good as it gets
The Science of Cold Case Files,Berkley,law,1.0,I am waiting for a sequel!!
Maritime & Port Security (SEC Nat) (Securing Our Nation),Edward Elgar Publishing,law,0.75,An important read in the global war on terrorism.
Maritime & Port Security (SEC Nat) (Securing Our Nation),Edward Elgar Publishing,law,0.5,Book Review
Maritime & Port Security (SEC Nat) (Securing Our Nation),Edward Elgar Publishing,law,0.5,Informative
International Law Anthology (Anthology Series),Anderson Publishing Company (OH),law,1.0,The debate of International Law...
Busted!: Drug War Survival Skills,Harper Collins,law,1.0,I thought the Police are our friends.
Busted!: Drug War Survival Skills,Harper Collins,law,1.0,"Funny, useful, frightening"
Busted!: Drug War Survival Skills,Harper Collins,law,1.0,Educating your kids BEFORE they get Busted
Busted!: Drug War Survival Skills,Harper Collins,law,1.0,Give This To Your Party Animal Teen
Busted!: Drug War Survival Skills,Harper Collins,law,0.75,Really funny and exciting
Busted!: Drug War Survival Skills,Harper Collins,law,1.0,Laugh Out Loud Funny and Scary as Hell
Busted!: Drug War Survival Skills,Harper Collins,law,1.0,Great book
Busted!: Drug War Survival Skills,Harper Collins,law,1.0,a must have book
Busted!: Drug War Survival Skills,Harper Collins,law,1.0,A must read
Busted!: Drug War Survival Skills,Harper Collins,law,0.75,Good book
Busted!: Drug War Survival Skills,Harper Collins,law,1.0,"quarter through, and totally imressed"
Busted!: Drug War Survival Skills,Harper Collins,law,0.75,"Great Read, just happened to notice something in one of his drawings"
Busted!: Drug War Survival Skills,Harper Collins,law,0.75,"Busted, but not broke"
ISO 9000 ABC's: The Small Company Guide to Successful Registration,CRC Press,law,0.75,Excellent and concise book on ISO.
ISO 9000 ABC's: The Small Company Guide to Successful Registration,CRC Press,law,1.0,Excellent!
The Precautionary Principle: A Critical Appraisal,Cato Institute,law,1.0,A Must Read Examination of the Precautionary Principle
The Precautionary Principle: A Critical Appraisal,Cato Institute,law,0.75,An intelligent critique of unprincipled precaution
The Precautionary Principle: A Critical Appraisal,Cato Institute,law,0.75,An intelligent critique of unprincipled precaution
The Precautionary Principle: A Critical Appraisal,Cato Institute,law,1.0,A critical appraisal of the assessment process
The Precautionary Principle: A Critical Appraisal,Cato Institute,law,0.0,A biased book that bends the truth and neglects reality
Constitutional Law (Emanuel Law Outline),Aspen Publishing,law,1.0,"I was lost, and then with Emanuel, I was found..."
The Naked Clone: How Cloning Bans Threaten Our Personal Rights,Greenwood,law,1.0,Read this Book!
The Naked Clone: How Cloning Bans Threaten Our Personal Rights,Greenwood,law,1.0,Outstanding Book on Cloning!
The Naked Clone: How Cloning Bans Threaten Our Personal Rights,Greenwood,law,1.0,"An exciting, fascinating book from a brilliant mind."
The Naked Clone: How Cloning Bans Threaten Our Personal Rights,Greenwood,law,1.0,"A Thoughtful, Illuminating, and Provocative Book"
The Naked Clone: How Cloning Bans Threaten Our Personal Rights,Greenwood,law,1.0,A Systematic Introduction to a Vital Topic
The Naked Clone: How Cloning Bans Threaten Our Personal Rights,Greenwood,law,1.0,An Interesting and Provocative Book
The Naked Clone: How Cloning Bans Threaten Our Personal Rights,Greenwood,law,1.0,Get this book
Balancing Law and Parenthood: Part-Time Careers in the Law,,law,1.0,Extremely well-written with great insight
Balancing Law and Parenthood: Part-Time Careers in the Law,,law,0.75,Heads up- more of a packet than an actual book
Balancing Law and Parenthood: Part-Time Careers in the Law,,law,1.0,Wonderful
Emanuel Law Outlines: Evidence,Aspen Publishers,law,1.0,Again...Another Excellent Book!
Emanuel Law Outlines: Evidence,Aspen Publishers,law,0.5,Feeling reassured by having more books?
Emanuel Law Outlines: Evidence,Aspen Publishers,law,1.0,Great Review Resource
Federal Income Taxation (Law in a Flash Cards),Aspen Publishers,law,1.0,Best Review for Exam!
Federal Income Taxation (Law in a Flash Cards),Aspen Publishers,law,1.0,Corporations in a Flash
Environmental Crime: A Sourcebook,Lfb Scholarly Pub Llc,law,1.0,Great For Budding Researchers
"Prosser, Wade and Scwartz's Torts Cases and Materials (Eleventh Edition)",Wolters Kluwer,law,1.0,Amazing book for future study in Tort Law
Mistresses of Mayhem: The Book of Women Criminals,Alpha Books,law,0.25,"Poorly researched, poorly edited..."
Mistresses of Mayhem: The Book of Women Criminals,Alpha Books,law,0.25,"Great concept, poor execution..."
Mistresses of Mayhem: The Book of Women Criminals,Alpha Books,law,0.5,room for improvement
Mistresses of Mayhem: The Book of Women Criminals,Alpha Books,law,1.0,some scary stuff!
Mistresses of Mayhem: The Book of Women Criminals,Alpha Books,law,0.0,"Poorly researched, this book is a must-NOT Read."
Mistresses of Mayhem: The Book of Women Criminals,Alpha Books,law,0.25,Not factual at all
Mistresses of Mayhem: The Book of Women Criminals,Alpha Books,law,1.0,Misstresses of Mayhem
Mistresses of Mayhem: The Book of Women Criminals,Alpha Books,law,1.0,This book rocks the house!!!
Mistresses of Mayhem: The Book of Women Criminals,Alpha Books,law,0.25,Sounds Like a Real Mess of a Book
The Legal Texts: The Results of the Uruguay Round of Multilateral Trade Negotiations (World Trade Organization Legal Texts),Cambridge University Press,law,1.0,"The ""Bible"" of WTO Law"
The Legal Texts: The Results of the Uruguay Round of Multilateral Trade Negotiations (World Trade Organization Legal Texts),Cambridge University Press,law,1.0,WTO Uruguay Round Legal Texts
The Legal Texts: The Results of the Uruguay Round of Multilateral Trade Negotiations (World Trade Organization Legal Texts),Cambridge University Press,law,1.0,The Authoritative Text for the WTO - Caution Only for Trade Nerds
The Legal Texts: The Results of the Uruguay Round of Multilateral Trade Negotiations (World Trade Organization Legal Texts),Cambridge University Press,law,1.0,Make sure you get a copy with the index
The Legal Texts: The Results of the Uruguay Round of Multilateral Trade Negotiations (World Trade Organization Legal Texts),Cambridge University Press,law,1.0,PLEASE DISREGARD THE 1 RATING
Labor Law: In a Nutshell,West Academic,law,1.0,A Great Summary of Labor Law
Labor Law: In a Nutshell,West Academic,law,1.0,The Hobo Philosopher
Labor Law: In a Nutshell,West Academic,law,1.0,Fantastic
Labor Law: In a Nutshell,West Academic,law,1.0,Very very useful
Labor Law: In a Nutshell,West Academic,law,0.5,different from textbooks
The principles of natural and politic law,Natural Law and Enlightenment,law,1.0,A historical benchmark in the concept of individual rights
Sports Law in a Nutshell (Nutshell Series),West Academic,law,0.75,Very Detailed
Sports Law in a Nutshell (Nutshell Series),West Academic,law,1.0,Law
The Lawyer's Myth: Reviving Ideals in the Legal Profession,University of Chicago Press,law,1.0,He's been readin' my mail!
"International law,: A treatise","The Lawbook Exchange, Ltd.",law,0.5,WARNING - not the latest edition
Medical Records and the Law:,Jones & Bartlett Learning,law,1.0,Quick and in excellent condition!
A Practical Guide to Appellate Advocacy (Coursebook Series),Wolters Kluwer,law,0.75,Bought for class
A Practical Guide to Appellate Advocacy (Coursebook Series),Wolters Kluwer,law,0.75,Great intro to writing
A Practical Guide to Appellate Advocacy (Coursebook Series),Wolters Kluwer,law,0.75,Great for legal writing
A Practical Guide to Appellate Advocacy (Coursebook Series),Wolters Kluwer,law,0.0,law book review
Authority Without Power: Law and the Japanese Paradox (Studies on Law and Social Control),Oxford University Press,law,0.75,For general study
Pattern of Blood,CRC Press,law,0.75,Not quite as good as the first in the series
Pattern of Blood,CRC Press,law,0.75,A promising pattern
Pattern of Blood,CRC Press,law,0.75,"Good Story, what more do you need?"
Starting Off Right in Contracts,,law,0.5,A Taste of Law School Confusion
Starting Off Right in Contracts,,law,1.0,Very Helpful!
Elder Law in a Nutshell (Nutshell Series),West Academic,law,1.0,Easy Read.
Elder Law in a Nutshell (Nutshell Series),West Academic,law,1.0,Rampant Elder Abuse and Fraud Colored By Law: Guardianship!
Understanding The Law,,law,0.75,Classroom keeper
Understanding The Law,,law,0.75,Intro to Law--textbook
Understanding The Law,,law,1.0,Great book
Understanding The Law,,law,1.0,Understanding the Law
Understanding The Law,,law,0.25,Looked good...Read bad
Understanding The Law,,law,1.0,Satisfied customer
The Defense Is Ready: Life In The Trenches Of Criminal Law,,law,0.5,Enough with the ghostwriting
The Defense Is Ready: Life In The Trenches Of Criminal Law,,law,0.25,Dull But Intelligent
The Defense Is Ready: Life In The Trenches Of Criminal Law,,law,0.0,State the facts please!
The Defense Is Ready: Life In The Trenches Of Criminal Law,,law,0.75,"Insightful, but Biased Look at the Justice System"
The Defense Is Ready: Life In The Trenches Of Criminal Law,,law,0.0,Nothing more than a marketing piece
The Defense Is Ready: Life In The Trenches Of Criminal Law,,law,1.0,Leslie rules
"Wills, Trusts & Estates: Examples & Explanations, Second Edition (Examples & Explanations Series)",Cengage Learning,law,1.0,Great Book By A Great Teacher
"Wills, Trusts & Estates: Examples & Explanations, Second Edition (Examples & Explanations Series)",Cengage Learning,law,0.5,explanatory but too much jargon
Modern Trial Advocacy: Analysis and Practice,Aspen Publishers,law,1.0,A Litigation Essential
Modern Trial Advocacy: Analysis and Practice,Aspen Publishers,law,1.0,The Theory of Trial Advocacy Explained
Modern Trial Advocacy: Analysis and Practice,Aspen Publishers,law,0.75,Got this book for a class.
Modern Trial Advocacy: Analysis and Practice,Aspen Publishers,law,0.25,In Love With His Own Words ...
Modern Trial Advocacy: Analysis and Practice,Aspen Publishers,law,0.0,Amazon.com Rip Off!!!
Modern Trial Advocacy: Analysis and Practice,Aspen Publishers,law,1.0,3rd edition dated 2004-05 replaces 2nd edition dated 1997-11
Postmodern Philosophy and Law,,law,1.0,Postmodern Philosophy &amp; Law
Osborn's Concise Law Dictionary,,law,1.0,Excellent Condition
Capitol Punishment,Oxford University Press (UK),law,1.0,A real page turner!
Capitol Punishment,Oxford University Press (UK),law,0.75,Capitol Punishment
Capitol Punishment,Oxford University Press (UK),law,0.75,Capital Punishment
Capitol Punishment,Oxford University Press (UK),law,1.0,A Nail-Biting Thriller
Capitol Punishment,Oxford University Press (UK),law,1.0,Couln't Put It Down
Capitol Punishment,Oxford University Press (UK),law,0.75,Capitol Punishment
Capitol Punishment,Oxford University Press (UK),law,0.75,Well worth reading
Capitol Punishment,Oxford University Press (UK),law,0.75,let your expectations go
Capitol Punishment,Oxford University Press (UK),law,0.75,Interesting story
Capitol Punishment,Oxford University Press (UK),law,1.0,Loved It!
Capitol Punishment,Oxford University Press (UK),law,1.0,On edge of seat read
Capitol Punishment,Oxford University Press (UK),law,0.75,Good Read
Capitol Punishment,Oxford University Press (UK),law,1.0,capital punishment
New Land Law 2nd Ed 2003: Second Edition 2003,Hong Kong University Press,law,1.0,"Dull subject, but this should ease the pain..."
NEPA Effectiveness: Mastering the Process,Government Inst,law,1.0,Author's Description
Broker-Dealer Law and Regulation,Aspen Publishers,law,0.0,Too narrow a focus as compared to the title.
Broker-Dealer Law and Regulation,Aspen Publishers,law,0.75,good overview
The Canon of American Legal Thought,Princeton University Press,law,0.25,anti-edited
The Canon of American Legal Thought,Princeton University Press,law,0.75,Important for its introductions...
The Canon of American Legal Thought,Princeton University Press,law,0.75,Very Good Collection
Prisoners' Self-Help Litigation Manual,Oxford University Press,law,1.0,Mandatory Reading for everybody.
Prisoners' Self-Help Litigation Manual,Oxford University Press,law,1.0,Worth It's Weight In Gold
Prisoners' Self-Help Litigation Manual,Oxford University Press,law,1.0,Prisoners self help litigation manual-4th edition
Prisoners' Self-Help Litigation Manual,Oxford University Press,law,1.0,You can never know too much about law.
Prisoners' Self-Help Litigation Manual,Oxford University Press,law,1.0,Prisoners Self Help Litigation Manual
Prisoners' Self-Help Litigation Manual,Oxford University Press,law,1.0,Prisoners' Self Help
Prisoners' Self-Help Litigation Manual,Oxford University Press,law,1.0,Prisoners' Self Help Litigation Manual
Prisoners' Self-Help Litigation Manual,Oxford University Press,law,0.5,Prisoner's Self Help
