title,publisher,categories,review_score,review_summary
Victoria Magazine July 1994,Yale University Press,literary collections,0.75,one of the last in the series to collect !
Poems of the Pearl Manuscript (Exeter Medieval Texts and Studies),Liverpool University Press,literary collections,1.0,My favourite edition
The Portable Poe: 2,Penguin (Non-Classics),literary collections,0.75,Ahh Poe. . .
The Portable Poe: 2,Penguin (Non-Classics),literary collections,0.75,All the Poe You'll Ever Need
The Portable Poe: 2,Penguin (Non-Classics),literary collections,0.25,"Great Work, Poorly Organized Kindle Book"
The Portable Poe: 2,Penguin (Non-Classics),literary collections,1.0,Poe was a genius
The Portable Poe: 2,Penguin (Non-Classics),literary collections,1.0,The essential Poe
The Portable Poe: 2,Penguin (Non-Classics),literary collections,0.25,Kindle Buyer Beware!
The Portable Poe: 2,Penguin (Non-Classics),literary collections,1.0,the latest edition fills in the holes
The Portable Poe: 2,Penguin (Non-Classics),literary collections,1.0,excellent poe
The Portable Poe: 2,Penguin (Non-Classics),literary collections,0.75,What can I say? It's Poe. Love him as you tremble.
The Portable Poe: 2,Penguin (Non-Classics),literary collections,1.0,Excellent Condition
The Portable Poe: 2,Penguin (Non-Classics),literary collections,1.0,Short Story Collection
The Portable Poe: 2,Penguin (Non-Classics),literary collections,1.0,Always a great book...
The Portable Poe: 2,Penguin (Non-Classics),literary collections,0.5,Annabel Lee
"Air Fare: Stories, Poems, and Essays on Flight",Sarabande Books,literary collections,1.0,Different isn't always good--sometimes it's better
Satires and epistles,Oxford University Press,literary collections,0.5,Light thoughts on leaden feet
Satires and epistles,Oxford University Press,literary collections,0.5,Didactic Poetry
Pond,Bloomsbury Publishing,literary collections,1.0,A treat for kids and adults alike
Pond,Bloomsbury Publishing,literary collections,1.0,Art for all ages
The Things I Wish I'd Said,McKenna Publishing Group,literary collections,1.0,Enjoyable Read
The Things I Wish I'd Said,McKenna Publishing Group,literary collections,1.0,"Bombeck, Kingsolver, Quindlen Rolled Into One"
The Things I Wish I'd Said,McKenna Publishing Group,literary collections,1.0,Finally! An Author That is NORMAL.
The Things I Wish I'd Said,McKenna Publishing Group,literary collections,1.0,Revisiting the past
The Things I Wish I'd Said,McKenna Publishing Group,literary collections,1.0,The Book I Wish You Would Read
The Things I Wish I'd Said,McKenna Publishing Group,literary collections,1.0,Couldn't Have Said It Better
The Things I Wish I'd Said,McKenna Publishing Group,literary collections,1.0,Michele has done it again
The Things I Wish I'd Said,McKenna Publishing Group,literary collections,1.0,This Book Was About Me . . . and Probably YOU!
The Things I Wish I'd Said,McKenna Publishing Group,literary collections,1.0,Awesome!!!
The Things I Wish I'd Said,McKenna Publishing Group,literary collections,1.0,Nobody Says It Better!
The Things I Wish I'd Said,McKenna Publishing Group,literary collections,1.0,The Things I Have To Say About This Book
Abraham Lincoln,Courier Corporation,literary collections,0.75,Comments on D'Aulaire's Abraham Lincoln
Abraham Lincoln,Courier Corporation,literary collections,1.0,Wonderful book
Abraham Lincoln,Courier Corporation,literary collections,1.0,A childhood favorite.
Abraham Lincoln,Courier Corporation,literary collections,1.0,Good Book
Abraham Lincoln,Courier Corporation,literary collections,0.25,Facts? We don't need no stinking facts!
Abraham Lincoln,Courier Corporation,literary collections,0.0,Evaluating for Racist content in 1972 by Wisconsins Department of Public Instruction!
Abraham Lincoln,Courier Corporation,literary collections,1.0,Spectacular Book!
Abraham Lincoln,Courier Corporation,literary collections,1.0,"Fresh, beautifully illustrated, and lively: a classic"
Abraham Lincoln,Courier Corporation,literary collections,0.75,A biography of Lincoln for young children.
Abraham Lincoln,Courier Corporation,literary collections,1.0,wonderful book for the family library
Abraham Lincoln,Courier Corporation,literary collections,1.0,great book for young readers
Abraham Lincoln,Courier Corporation,literary collections,0.75,Great story...for me
Abraham Lincoln,Courier Corporation,literary collections,1.0,A True Classic On Our Beloved 16th President!
Abraham Lincoln,Courier Corporation,literary collections,1.0,Oustanding! Winner of the Caldecott Medal.
Abraham Lincoln,Courier Corporation,literary collections,1.0,so good
Abraham Lincoln,Courier Corporation,literary collections,1.0,Lincoln
Abraham Lincoln,Courier Corporation,literary collections,0.75,Not the gold standard but an excellent start
Abraham Lincoln,Courier Corporation,literary collections,1.0,A monumental work
Abraham Lincoln,Courier Corporation,literary collections,0.5,A bit too impressionistic
Abraham Lincoln,Courier Corporation,literary collections,1.0,Broad shoulders from the heartland...
Abraham Lincoln,Courier Corporation,literary collections,1.0,Lincoln biography par excellence
Abraham Lincoln,Courier Corporation,literary collections,0.75,"A lyrical, poetic biography of Lincoln"
Abraham Lincoln,Courier Corporation,literary collections,1.0,A Poetic Life of Lincoln
Abraham Lincoln,Courier Corporation,literary collections,1.0,A joy to read
Abraham Lincoln,Courier Corporation,literary collections,1.0,If you like Lincoln...YOU MUST READ THIS.
Abraham Lincoln,Courier Corporation,literary collections,1.0,A masterpiece
Abraham Lincoln,Courier Corporation,literary collections,1.0,Worth Reading
Abraham Lincoln,Courier Corporation,literary collections,1.0,Carl Sandburg's Lincoln
Abraham Lincoln,Courier Corporation,literary collections,1.0,Lincoln books
Abraham Lincoln,Courier Corporation,literary collections,1.0,carl sandburgs 3 volume of abraham lincoln
Abraham Lincoln,Courier Corporation,literary collections,1.0,Carl Sandburg's Abraham Lincoln: 3 Volume Set [Mass Market Paperback]
Abraham Lincoln,Courier Corporation,literary collections,1.0,Abe Does it Again!
Abraham Lincoln,Courier Corporation,literary collections,0.75,The Train Ride...
