title,publisher,categories,review_score,review_summary
"Lost Romance Ranch (Route 66 Series, Book 3)",Gale Cengage,literary criticism,0.75,Putting a marriage together again.
"Lost Romance Ranch (Route 66 Series, Book 3)",Gale Cengage,literary criticism,1.0,Perfect summer reading!
Men at War,"Oxford University Press, USA",literary criticism,1.0,Compendium of Wartime Experences
Men at War,"Oxford University Press, USA",literary criticism,1.0,Compendium of Wartime Experences
MITTEE A GROVE OF FEVER TREE..,Springer,literary criticism,1.0,"Gentle, with hidden punch"
MITTEE A GROVE OF FEVER TREE..,Springer,literary criticism,1.0,Water Street brings back memories!!
MITTEE A GROVE OF FEVER TREE..,Springer,literary criticism,1.0,Water Street Could Be Any Street...
MITTEE A GROVE OF FEVER TREE..,Springer,literary criticism,1.0,Water Street Feels Like Home
MITTEE A GROVE OF FEVER TREE..,Springer,literary criticism,1.0,Crystal Serves Up A Delicious Buffet
MITTEE A GROVE OF FEVER TREE..,Springer,literary criticism,1.0,You can't help but identify with Water Street
MITTEE A GROVE OF FEVER TREE..,Springer,literary criticism,1.0,More fun than UK basketball
MITTEE A GROVE OF FEVER TREE..,Springer,literary criticism,0.0,Racism and Sex
The Columbia Anthology of Modern Korean Poetry,Columbia University Press,literary criticism,0.5,Woefully Incomplete
The Columbia Anthology of Modern Korean Poetry,Columbia University Press,literary criticism,0.5,Woefully Incomplete
"The Selected Prose of John Gray (British Authors Ser, 1880-1920)",Elt Press,literary criticism,1.0,Excellent compilation
Wallace Stevens: A Poet's Growth,LSU Press,literary criticism,1.0,Highly recommended
Romola; (Her Works),Bloomsbury Publishing,literary criticism,0.75,Gorgeous and underrated
Romola; (Her Works),Bloomsbury Publishing,literary criticism,1.0,Great Historical Fiction
Romola; (Her Works),Bloomsbury Publishing,literary criticism,1.0,"Definitely worth her ""best blood"""
Romola; (Her Works),Bloomsbury Publishing,literary criticism,1.0,I loved this book
Romola; (Her Works),Bloomsbury Publishing,literary criticism,0.75,"A hard book to read, but worth the effort"
Romola; (Her Works),Bloomsbury Publishing,literary criticism,0.75,A Neglected Gem
Romola; (Her Works),Bloomsbury Publishing,literary criticism,1.0,One of my best surprises as a reader.
Romola; (Her Works),Bloomsbury Publishing,literary criticism,1.0,I loved this book!
Romola; (Her Works),Bloomsbury Publishing,literary criticism,1.0,George Eliots best work - the ideal novel
Romola; (Her Works),Bloomsbury Publishing,literary criticism,1.0,"A very &quot;modern&quot; 19th-c novel of love, betrayal &amp; revenge."
Romola; (Her Works),Bloomsbury Publishing,literary criticism,0.5,"Difficult, but worth it."
Romola; (Her Works),Bloomsbury Publishing,literary criticism,0.75,George Elliot's Romola
Romola; (Her Works),Bloomsbury Publishing,literary criticism,1.0,Romola: a great Renaissance novel.
Romola; (Her Works),Bloomsbury Publishing,literary criticism,0.75,everything you expect from George Eliot
Romola; (Her Works),Bloomsbury Publishing,literary criticism,1.0,"Romola is the only George Eliot novel named for the heroine; a tale of intrigue, love, murder and faith in renaissance Florence"
A Concise Hopi and English Lexicon,John Benjamins Publishing,literary criticism,1.0,best for the price
A Concise Hopi and English Lexicon,John Benjamins Publishing,literary criticism,0.5,Concise is an undersatement
A Concise Hopi and English Lexicon,John Benjamins Publishing,literary criticism,0.75,A Concise Hopi and English lexicon
A Concise Hopi and English Lexicon,John Benjamins Publishing,literary criticism,0.75,A Concise Hopi and English lexicon
A Concise Hopi and English Lexicon,John Benjamins Publishing,literary criticism,1.0,best for the price
A Concise Hopi and English Lexicon,John Benjamins Publishing,literary criticism,0.5,Concise is an undersatement
A Concise Hopi and English Lexicon,John Benjamins Publishing,literary criticism,0.75,A Concise Hopi and English lexicon
A Concise Hopi and English Lexicon,John Benjamins Publishing,literary criticism,0.75,A Concise Hopi and English lexicon
Literature in the Light of the Emblem,University of Toronto Press,literary criticism,1.0,Best introduction to the Emblem
Shakespeare and His Critics,New York : AMS Press,literary criticism,0.75,Shakespeare criticism - a historical survey and sampler
Art Spiegelman (The Library of Graphic Novelists),McFarland,literary criticism,0.25,Not worth it
Lord Byron (Sutton Pocket Biographies),Sutton Publishing,literary criticism,0.75,Brief but Useful Introduction
Lord Byron (Sutton Pocket Biographies),Sutton Publishing,literary criticism,0.75,Portrait of a brilliant man
The Grounds of English Literature,OUP Oxford,literary criticism,0.75,Thought-Provoking in Spite of some Eccentricities
He Knew He Was Right (Worlds Classics),A&C Black,literary criticism,1.0,Buy this edition for the introduction
He Knew He Was Right (Worlds Classics),A&C Black,literary criticism,1.0,"Trollope thought it a failure, I disagree"
He Knew He Was Right (Worlds Classics),A&C Black,literary criticism,1.0,Trollope at the top of his form
He Knew He Was Right (Worlds Classics),A&C Black,literary criticism,1.0,I love this book
He Knew He Was Right (Worlds Classics),A&C Black,literary criticism,1.0,Trollope's analysis of the monomaniac.
He Knew He Was Right (Worlds Classics),A&C Black,literary criticism,1.0,I Know I am Right! Trollope's 1868 social novel still enchants!
He Knew He Was Right (Worlds Classics),A&C Black,literary criticism,1.0,An underrated masterpiece
He Knew He Was Right (Worlds Classics),A&C Black,literary criticism,1.0,"The beauties of conventional decency, and what lurks beneath"
He Knew He Was Right (Worlds Classics),A&C Black,literary criticism,1.0,A man under attack by the green-eyed monster
He Knew He Was Right (Worlds Classics),A&C Black,literary criticism,1.0,Marriage reality in 99 chapters
He Knew He Was Right (Worlds Classics),A&C Black,literary criticism,1.0,Exceptionally contemporary
He Knew He Was Right (Worlds Classics),A&C Black,literary criticism,1.0,Trollope's Late Work
He Knew He Was Right (Worlds Classics),A&C Black,literary criticism,1.0,Amazing journey into the psyche of a man completely maddened by jealousy!
He Knew He Was Right (Worlds Classics),A&C Black,literary criticism,1.0,He knew he was right
He Knew He Was Right (Worlds Classics),A&C Black,literary criticism,1.0,wonderful Trollope
He Knew He Was Right (Worlds Classics),A&C Black,literary criticism,1.0,"""If it were not for my boy, I would defy him to do his worst."""
