title,publisher,categories,review_score,review_summary
"Introduction to mathematical philosophy, (Library of Philosophy)",,mathematics,1.0,"Bertrand Russell, Introduction to Mathematical Philosophy, Jazz, Green Tea, and Choco"
"Introduction to mathematical philosophy, (Library of Philosophy)",,mathematics,1.0,"As all Russell's writings, a masterwork."
"Introduction to mathematical philosophy, (Library of Philosophy)",,mathematics,0.5,Substantial effort required. Careful reading necessary.
"Introduction to mathematical philosophy, (Library of Philosophy)",,mathematics,0.5,A very dated and one-sided introduction to the subject
"Introduction to mathematical philosophy, (Library of Philosophy)",,mathematics,1.0,A very accessible mathematical classic
"Introduction to mathematical philosophy, (Library of Philosophy)",,mathematics,0.75,Good introduction To Mathematical Logic
"Introduction to mathematical philosophy, (Library of Philosophy)",,mathematics,0.5,A postcard from the past
"Introduction to mathematical philosophy, (Library of Philosophy)",,mathematics,1.0,Russell does an excellent job in describing the foundations of mathematics for the non-mathematician
"Introduction to mathematical philosophy, (Library of Philosophy)",,mathematics,0.75,A Philosophy Reading Classic
"Introduction to mathematical philosophy, (Library of Philosophy)",,mathematics,1.0,"A Joyful, Friendly Introduction to Bertrand Russell"
"Introduction to mathematical philosophy, (Library of Philosophy)",,mathematics,1.0,One Step Back
"Introduction to mathematical philosophy, (Library of Philosophy)",,mathematics,1.0,Classics of Mankind
Introduction To Mathematics for Life Scientists,Springer Science & Business Media,mathematics,1.0,Absolutely Fantastic
Introduction To Mathematics for Life Scientists,Springer Science & Business Media,mathematics,1.0,A Work of Art!
Introduction To Mathematics for Life Scientists,Springer Science & Business Media,mathematics,1.0,Really helpful for biologists!
Elementary Differential Equations,Wiley,mathematics,0.75,Organized very well
Elementary Differential Equations,Wiley,mathematics,1.0,my favourite ODEs text!
Elementary Differential Equations,Wiley,mathematics,0.25,Elementary Differential Equations
Elementary Differential Equations,Wiley,mathematics,0.25,I second that!
Elementary Differential Equations,Wiley,mathematics,0.75,Great introduction to ODEs and PDEs
Elementary Differential Equations,Wiley,mathematics,0.25,Difficult to follow
Elementary Differential Equations,Wiley,mathematics,0.25,elem diff e-q's
Elementary Differential Equations,Wiley,mathematics,1.0,Review of book
Elementary Differential Equations,Wiley,mathematics,0.0,Bad...just bad...
