title,publisher,categories,review_score,review_summary
"A Dose of Sanity: Mind, Medicine, and Misdiagnosis",Wiley,medical,0.75,Much more sensible than most books critical of the field.
"A Dose of Sanity: Mind, Medicine, and Misdiagnosis",Wiley,medical,0.75,Fascinating and Terrifying
"A Dose of Sanity: Mind, Medicine, and Misdiagnosis",Wiley,medical,0.75,"Informative, but left me wanting more"
"A Dose of Sanity: Mind, Medicine, and Misdiagnosis",Wiley,medical,0.5,Somatic medicine as an alternative to psychiatry?
"A Dose of Sanity: Mind, Medicine, and Misdiagnosis",Wiley,medical,1.0,"A brilliant,and compassionately written book."
"A Dose of Sanity: Mind, Medicine, and Misdiagnosis",Wiley,medical,1.0,This book should be required reading by psychiatrists
Pla/Cebo,JHU Press,medical,1.0,He's done it again
Pla/Cebo,JHU Press,medical,1.0,Lots of action
Pla/Cebo,JHU Press,medical,1.0,Amazing!
Pla/Cebo,JHU Press,medical,1.0,Should be a movie!
The Organic Codes: An Introduction to Semantic Biology,Cambridge University Press,medical,1.0,A refreshingly new view of the genetic codes
The Organic Codes: An Introduction to Semantic Biology,Cambridge University Press,medical,0.0,A wrong path to explaining biology
The Organic Codes: An Introduction to Semantic Biology,Cambridge University Press,medical,0.25,A typical anti-Darwinism pseudoscience book
KI --A Road That Anyone Can Walk,Kodansha,medical,0.75,Biography of Koichi Tohei
KI --A Road That Anyone Can Walk,Kodansha,medical,1.0,A great book about Ki which is not shrouded in mystery!
KI --A Road That Anyone Can Walk,Kodansha,medical,1.0,Don't miss this book!
KI --A Road That Anyone Can Walk,Kodansha,medical,0.75,A must have book to overcome stress in our daily life
KI --A Road That Anyone Can Walk,Kodansha,medical,1.0,KI A Road Anyone Can walk
Standing Still,FriesenPress,medical,1.0,Inspirational finding yourself novel!
Standing Still,FriesenPress,medical,1.0,Loved this book!
Standing Still,FriesenPress,medical,1.0,Masterful story teller!
Standing Still,FriesenPress,medical,1.0,Wonderfully inspirational!
Standing Still,FriesenPress,medical,1.0,Outstanding story...A+
Standing Still,FriesenPress,medical,1.0,"Review from Librarian, Charlotte Williams, Chicago IL"
Standing Still,FriesenPress,medical,1.0,WOW~ What an inspirational story!
Standing Still,FriesenPress,medical,1.0,A Reminder of Memories Tucked Away
Standing Still,FriesenPress,medical,1.0,Review from The Romance Studio Reviews
Veterinary Board Review (CD-ROM),Mosby Incorporated,medical,0.0,waste of money and time
Veterinary Board Review (CD-ROM),Mosby Incorporated,medical,0.75,A useful resource
Veterinary Board Review (CD-ROM),Mosby Incorporated,medical,0.75,Mosby Review
Nurse's Calling: A Christian Spirituality for Caring for the Sick,Paulist Press,medical,1.0,Nurse's calling: A Christian Spirituality for caring for the sick
Nurse's Calling: A Christian Spirituality for Caring for the Sick,Paulist Press,medical,1.0,Nursing as a Ministry
American Indian Medicine (Civilization of the American Indian Ser.),University of Oklahoma Press,medical,0.75,Best beginning for studying Indian medicine
American Indian Medicine (Civilization of the American Indian Ser.),University of Oklahoma Press,medical,1.0,American Indian Medicine
American Indian Medicine (Civilization of the American Indian Ser.),University of Oklahoma Press,medical,1.0,A Must for those practicine natural medicines
Professional Issues in Speech-Language Pathology and Audiology,Plural Publishing,medical,0.0,Professional issues in Speech Language Pathology
Family Practice Board Review,Lippincott Williams & Wilkins,medical,0.75,Accurate Examples of Questions
Family Practice Board Review,Lippincott Williams & Wilkins,medical,1.0,Bratton's Family Practice Board Review
Family Practice Board Review,Lippincott Williams & Wilkins,medical,1.0,Excellent Review of Core Subjects in Family Medicine
Family Practice Board Review,Lippincott Williams & Wilkins,medical,0.75,VERY GOOD
Family Practice Board Review,Lippincott Williams & Wilkins,medical,0.75,"Board review, review"
Family Practice Board Review,Lippincott Williams & Wilkins,medical,0.75,Good review
Family Practice Board Review,Lippincott Williams & Wilkins,medical,0.5,Decent review but could be better
Family Practice Board Review,Lippincott Williams & Wilkins,medical,1.0,Well worth 2 readings prior to testing.
Family Practice Board Review,Lippincott Williams & Wilkins,medical,0.75,"Board review, review"
Family Practice Board Review,Lippincott Williams & Wilkins,medical,0.75,A great review book for USMLE Step 3
Family Practice Board Review,Lippincott Williams & Wilkins,medical,0.5,Limited review
Family Practice Board Review,Lippincott Williams & Wilkins,medical,1.0,Review of Bratton's Family Medicine Board Review
Family Practice Board Review,Lippincott Williams & Wilkins,medical,1.0,Excellent review
Family Practice Board Review,Lippincott Williams & Wilkins,medical,1.0,Monica Mihalache MD Star Family Medicine
Family Practice Board Review,Lippincott Williams & Wilkins,medical,0.25,Concerned about the number of errors
Family Practice Board Review,Lippincott Williams & Wilkins,medical,1.0,Super HELPFUL!
Family Practice Board Review,Lippincott Williams & Wilkins,medical,0.5,"Many mistakes, no contact, no website, but easy to read"
Family Practice Board Review,Lippincott Williams & Wilkins,medical,0.25,"okay, but not great"
Family Practice Board Review,Lippincott Williams & Wilkins,medical,0.0,Don't waste your time.
Family Practice Board Review,Lippincott Williams & Wilkins,medical,0.25,Don't waste your money - buy 3rd edition used.
Family Practice Board Review,Lippincott Williams & Wilkins,medical,0.75,Don't overuse it
Family Practice Board Review,Lippincott Williams & Wilkins,medical,0.75,The book was good but the test bank was down
Family Practice Board Review,Lippincott Williams & Wilkins,medical,0.0,too many errors! How can I trust what I am studying!
Family Practice Board Review,Lippincott Williams & Wilkins,medical,1.0,Best for boards
Family Practice Board Review,Lippincott Williams & Wilkins,medical,0.5,Was hoping for better
Family Practice Board Review,Lippincott Williams & Wilkins,medical,1.0,I scored in th 98% after this review
Family Practice Board Review,Lippincott Williams & Wilkins,medical,1.0,Quick review
Family Practice Board Review,Lippincott Williams & Wilkins,medical,0.75,Good board review material
Family Practice Board Review,Lippincott Williams & Wilkins,medical,0.0,Errors. Repetitive questions. Some out-of-date answers.
Family Practice Board Review,Lippincott Williams & Wilkins,medical,0.5,"Helpful, but certainly not well edited."
Family Practice Board Review,Lippincott Williams & Wilkins,medical,1.0,Family Medicine Board Review
Family Practice Board Review,Lippincott Williams & Wilkins,medical,1.0,best way to prepare is to take exams such as this
Family Practice Board Review,Lippincott Williams & Wilkins,medical,0.5,beware some info not up to date
Family Practice Board Review,Lippincott Williams & Wilkins,medical,1.0,All you need
"Nutritional Biochemistry, Second Edition",Academic Press,medical,1.0,Excellent reference book for nutritionists
"Nutritional Biochemistry, Second Edition",Academic Press,medical,1.0,Great Book
"Nutritional Biochemistry, Second Edition",Academic Press,medical,1.0,From Journal of the American Dietetic Association (July 2000
"Nutritional Biochemistry, Second Edition",Academic Press,medical,1.0,Published in American Journal of Clinical Nutrition (1995)
"Nutritional Biochemistry, Second Edition",Academic Press,medical,0.25,Wait for the new edition !
"Nutritional Biochemistry, Second Edition",Academic Press,medical,1.0,Nutritional Biochemistry by Tom Brody
"Nutritional Biochemistry, Second Edition",Academic Press,medical,1.0,"From a review by Prof. W.R.Bidlack, California State Univ."
"Nutritional Biochemistry, Second Edition",Academic Press,medical,0.5,Why not much customer review?
DISEASES OF LIVESTOCK,Springer Science & Business Media,medical,1.0,Full of information.
Bulletproofing Your Medical Practice : Risk Management Techniques For Physicians That Work,Seak Incorporated,medical,0.75,Succinct Treatment of Malpractice Issues For Physicians
Glencoe Medical Assisting: A Patient-Centered Approach to Administrative and Clinical Competencies,Glencoe/McGraw-Hill Post Secondary,medical,1.0,=)
Have You Started Yet?,,medical,1.0,Menstruation explained for father-only families
Have You Started Yet?,,medical,0.25,Not great
Neuroendocrinology in Physiology and Medicine,Springer Science & Business Media,medical,1.0,Pre-Clinical Neuroendocrinology at its best
Neuroendocrinology in Physiology and Medicine,Springer Science & Business Media,medical,0.75,A good purchase
Murder by Injection: The Story of the Medical Conspiracy against America,,medical,1.0,The Story of the Corrupt FDA
Murder by Injection: The Story of the Medical Conspiracy against America,,medical,1.0,I've read it
Murder by Injection: The Story of the Medical Conspiracy against America,,medical,1.0,THIS BOOK CHALLENGES EVERYTHING WE HAVE COME TO KNOW A MED
Murder by Injection: The Story of the Medical Conspiracy against America,,medical,1.0,Mullins Had No Fear
Murder by Injection: The Story of the Medical Conspiracy against America,,medical,1.0,our Medical Monopoly - mediocre to poor health for Profit$$$
Murder by Injection: The Story of the Medical Conspiracy against America,,medical,1.0,A Must Read!
Murder by Injection: The Story of the Medical Conspiracy against America,,medical,1.0,wow
Murder by Injection: The Story of the Medical Conspiracy against America,,medical,1.0,Excellent!
Murder by Injection: The Story of the Medical Conspiracy against America,,medical,1.0,The last of the great investigative reporters
Essential Atlas of Physiology (Barron's Essential Atlas),Barrons Educational Series Incorporated,medical,0.75,Spot on essential
Essential Atlas of Physiology (Barron's Essential Atlas),Barrons Educational Series Incorporated,medical,0.25,Inessential Atlas
Essential Atlas of Physiology (Barron's Essential Atlas),Barrons Educational Series Incorporated,medical,1.0,Great learning book
Essential Atlas of Physiology (Barron's Essential Atlas),Barrons Educational Series Incorporated,medical,0.5,good intro only
Essential Atlas of Physiology (Barron's Essential Atlas),Barrons Educational Series Incorporated,medical,0.75,a good simple book to understand the basic terms and concepts
Merriam-Webster's Medical Audio Dictionary,Delmar Pub,medical,0.75,This is a great tool!
Merriam-Webster's Medical Audio Dictionary,Delmar Pub,medical,0.5,An Easy-to-Use Medical Dictionary with Excellent Audio
Merriam-Webster's Medical Audio Dictionary,Delmar Pub,medical,1.0,"My name is Maeda, and I love this CR-ROM."
Merriam-Webster's Medical Audio Dictionary,Delmar Pub,medical,1.0,I'd rather give 6 stars to this title
Merriam-Webster's Medical Audio Dictionary,Delmar Pub,medical,0.0,It is a NO Star...
Merriam-Webster's Medical Audio Dictionary,Delmar Pub,medical,0.5,software need to be updated for new windows OS
Joshua,Overamstel Uitgevers,medical,1.0,Every Ironside Book is a good resource.
Joshua,Overamstel Uitgevers,medical,1.0,Great insight
Joshua,Overamstel Uitgevers,medical,1.0,A terrifically suspenseful novel
Joshua,Overamstel Uitgevers,medical,0.75,Joshua and Iran
Joshua,Overamstel Uitgevers,medical,1.0,Magnificient
Joshua,Overamstel Uitgevers,medical,1.0,Joshua -- God's mighty warrior!
Fibromyalgia Syndrome- Fighting the Devil With T,Xlibris Corporation,medical,1.0,Helps you understand and have compassion for fibro people
Introduction to Public Health,Jones & Bartlett Publishers,medical,0.75,A good place to start
Introduction to Public Health,Jones & Bartlett Publishers,medical,0.75,Truly a wonder
Introduction to Public Health,Jones & Bartlett Publishers,medical,0.75,"so far so good, but too redundant"
Introduction to Public Health,Jones & Bartlett Publishers,medical,1.0,Great book.
Introduction to Public Health,Jones & Bartlett Publishers,medical,1.0,Books for free online courses at Coursera
