title,publisher,categories,review_score,review_summary
New sounds: A listener's guide to new music,Harpercollins,music,1.0,Worth Searching For
New sounds: A listener's guide to new music,Harpercollins,music,1.0,An eye-opener
"Jambalaya: Hal Leonard Student Piano Library Composer Showcase 2 Pianos, 8 Hands",,music,1.0,A runaway hit
"The MIDI Companion: The Ins, Outs and Throughs",Hal Leonard Corporation,music,0.0,"lousy, outdated guide, with horrible printing flaws!"
"The MIDI Companion: The Ins, Outs and Throughs",Hal Leonard Corporation,music,1.0,The best book on MIDI and home studios I've found.
"The MIDI Companion: The Ins, Outs and Throughs",Hal Leonard Corporation,music,1.0,Excellent for beginners!
"The MIDI Companion: The Ins, Outs and Throughs",Hal Leonard Corporation,music,1.0,great book for MIDI overview
"The MIDI Companion: The Ins, Outs and Throughs",Hal Leonard Corporation,music,0.0,Too old to matter
"The MIDI Companion: The Ins, Outs and Throughs",Hal Leonard Corporation,music,1.0,Best Book I've Found On MIDI
"The MIDI Companion: The Ins, Outs and Throughs",Hal Leonard Corporation,music,1.0,Excellent book
"The MIDI Companion: The Ins, Outs and Throughs",Hal Leonard Corporation,music,0.25,Somewhat outdated
"The MIDI Companion: The Ins, Outs and Throughs",Hal Leonard Corporation,music,0.5,MIDI On The Mind
"The MIDI Companion: The Ins, Outs and Throughs",Hal Leonard Corporation,music,0.75,Great for basic MIDI understanding and Setup
"The MIDI Companion: The Ins, Outs and Throughs",Hal Leonard Corporation,music,1.0,Easy Tech
"The Choral Experience: Literature, Materials, and Methods",Waveland PressInc,music,1.0,STILL the text of choice.
"The Choral Experience: Literature, Materials, and Methods",Waveland PressInc,music,1.0,All you can (and should) learn from reading a book
"The Choral Experience: Literature, Materials, and Methods",Waveland PressInc,music,1.0,Great Service!
Anthology of American Folk Music,Routledge,music,0.75,Expensive but very interesting
Anthology of American Folk Music,Routledge,music,1.0,Valuable companion to Harry Smith
"Classic American Popular Song: The Second Half-Century, 1950-2000",,music,0.5,It's OK
"Classic American Popular Song: The Second Half-Century, 1950-2000",,music,1.0,Excellent
"Classic American Popular Song: The Second Half-Century, 1950-2000",,music,1.0,A college-level survey of what happened to American popular music post 1950
Sacred Beat: From the Heart of the Drum Circle,Red Wheel,music,1.0,Let the drumming begin
Sacred Beat: From the Heart of the Drum Circle,Red Wheel,music,0.75,Good basic drum circle book
Sacred Beat: From the Heart of the Drum Circle,Red Wheel,music,0.75,Really Great book!
French Music for Accordion Volume 1 (Mel Bay Presents),Mel Bay Publications,music,1.0,very French sounding
French Music for Accordion Volume 1 (Mel Bay Presents),Mel Bay Publications,music,1.0,"Very Tasteful, Intermediate Level Arrangements"
French Music for Accordion Volume 1 (Mel Bay Presents),Mel Bay Publications,music,1.0,A Great Collection for Intermediate Players
French Music for Accordion Volume 1 (Mel Bay Presents),Mel Bay Publications,music,1.0,good anthology of French stuff
French Music for Accordion Volume 1 (Mel Bay Presents),Mel Bay Publications,music,0.5,Okay...
French Music for Accordion Volume 1 (Mel Bay Presents),Mel Bay Publications,music,1.0,Excellent book!
Newsies,Hal Leonard Publishing Corporation,music,1.0,A pity it's no longer in print
Newsies,Hal Leonard Publishing Corporation,music,1.0,Score true to movie
Motown : The Golden Years: The Stars and Music That Shaped a Generation,Penguin,music,0.75,A Motown Enthusiasts Must Have Book
Motown : The Golden Years: The Stars and Music That Shaped a Generation,Penguin,music,1.0,Encyclopedia of Hitsville
Motown : The Golden Years: The Stars and Music That Shaped a Generation,Penguin,music,1.0,Introduce You To Other Motown Singers Forgotten.
Motown : The Golden Years: The Stars and Music That Shaped a Generation,Penguin,music,1.0,Encyclopedic detail and accuracy fleshed out into stories.
Motown : The Golden Years: The Stars and Music That Shaped a Generation,Penguin,music,1.0,I'll Second That Emotion...
Motown : The Golden Years: The Stars and Music That Shaped a Generation,Penguin,music,1.0,Motown in it's full glory
Motown : The Golden Years: The Stars and Music That Shaped a Generation,Penguin,music,0.5,Not as professional as I expected
Motown : The Golden Years: The Stars and Music That Shaped a Generation,Penguin,music,0.75,Excellent find!
Motown : The Golden Years: The Stars and Music That Shaped a Generation,Penguin,music,1.0,Seems like only yesterday
Motown : The Golden Years: The Stars and Music That Shaped a Generation,Penguin,music,1.0,Nice Book
Motown : The Golden Years: The Stars and Music That Shaped a Generation,Penguin,music,1.0,The True Motown Family!
Inspiring Hymns,"Tyndale House Publishers, Inc.",music,1.0,Inspiring Hymns
Inspiring Hymns,"Tyndale House Publishers, Inc.",music,1.0,good stuff
Inspiring Hymns,"Tyndale House Publishers, Inc.",music,1.0,great old hymn book
Inspiring Hymns,"Tyndale House Publishers, Inc.",music,1.0,Inspiring Hymns
Inspiring Hymns,"Tyndale House Publishers, Inc.",music,1.0,good stuff
Inspiring Hymns,"Tyndale House Publishers, Inc.",music,1.0,great old hymn book
Caruso,Courier Corporation,music,0.0,quite bad
Caruso,Courier Corporation,music,0.0,quite bad
Music in Latin American Culture: Regional Traditions,Schirmer Books,music,1.0,Music in Latin American Culture
Music in Latin American Culture: Regional Traditions,Schirmer Books,music,1.0,Book Review
Opera as drama,Knopf,music,1.0,The Best Polemic for Opera
Opera as drama,Knopf,music,1.0,a different look on opera
Opera as drama,Knopf,music,0.0,Lysenko in music
Opera as drama,Knopf,music,1.0,One of the best
Opera as drama,Knopf,music,0.5,Obscure words but may be worth the effort
Jazz and Blues: Play-Along Solos,Hal Leonard Corporation,music,0.25,A Disappointment
Jazz and Blues: Play-Along Solos,Hal Leonard Corporation,music,0.0,Poor!
The Reel World: Scoring for Pictures,Music Pro Guides,music,1.0,The most well written book on the subject.
The Reel World: Scoring for Pictures,Music Pro Guides,music,0.5,A bit to broad?
The Reel World: Scoring for Pictures,Music Pro Guides,music,0.75,Packed with Informational Goodness
The Reel World: Scoring for Pictures,Music Pro Guides,music,1.0,Go for it ! A most awesome publication.
The Reel World: Scoring for Pictures,Music Pro Guides,music,1.0,A great book on getting started in film scoring!
Principles of orchestration: With musical examples drawn from his own works,Courier Corporation,music,1.0,Excellent!
Principles of orchestration: With musical examples drawn from his own works,Courier Corporation,music,0.75,A very good book
In The Break: The Aesthetics Of The Black Radical Tradition,U of Minnesota Press,music,0.75,Great Review on the Performance of Blackness
Big Band Sound,Hal Leonard Publishing Corporation,music,0.75,Big Band Sound
How to Play Black Gospel: For Beginners,,music,0.75,Just starting -- but all ready impressed!
How to Play Black Gospel: For Beginners,,music,1.0,good book for a gospel beginner
How to Play Black Gospel: For Beginners,,music,1.0,This dude can teach
How to Play Black Gospel: For Beginners,,music,0.0,Returned Could not open
"The Fabulous Sylvester: The Legend, the Music, the Seventies in San Francisco",Henry Holt and Company,music,0.75,Fabulous Indeed
"The Fabulous Sylvester: The Legend, the Music, the Seventies in San Francisco",Henry Holt and Company,music,1.0,BEING ROYAL
"The Fabulous Sylvester: The Legend, the Music, the Seventies in San Francisco",Henry Holt and Company,music,1.0,Fabulous
"The Fabulous Sylvester: The Legend, the Music, the Seventies in San Francisco",Henry Holt and Company,music,1.0,Beautiful
"The Fabulous Sylvester: The Legend, the Music, the Seventies in San Francisco",Henry Holt and Company,music,1.0,This book IS Sylvester to the life!
"The Fabulous Sylvester: The Legend, the Music, the Seventies in San Francisco",Henry Holt and Company,music,1.0,...the fabulous SYLVESTER!
"The Fabulous Sylvester: The Legend, the Music, the Seventies in San Francisco",Henry Holt and Company,music,1.0,"Mighty, mighty real"
"The Fabulous Sylvester: The Legend, the Music, the Seventies in San Francisco",Henry Holt and Company,music,1.0,Fantastic Book!--Would Make A Great Movie!!
"The Fabulous Sylvester: The Legend, the Music, the Seventies in San Francisco",Henry Holt and Company,music,1.0,Great Book
"The Fabulous Sylvester: The Legend, the Music, the Seventies in San Francisco",Henry Holt and Company,music,1.0,Sylvester
"The Fabulous Sylvester: The Legend, the Music, the Seventies in San Francisco",Henry Holt and Company,music,1.0,Excellent! Fast Pace Read.
"The Fabulous Sylvester: The Legend, the Music, the Seventies in San Francisco",Henry Holt and Company,music,1.0,You Are My Friend
"The Fabulous Sylvester: The Legend, the Music, the Seventies in San Francisco",Henry Holt and Company,music,0.75,A Boy and His Jewelries
"The Fabulous Sylvester: The Legend, the Music, the Seventies in San Francisco",Henry Holt and Company,music,1.0,You Would Only Want To - - - - Read This
"The Fabulous Sylvester: The Legend, the Music, the Seventies in San Francisco",Henry Holt and Company,music,1.0,"FAB-U-LOUS, daaaarling!"
"The Fabulous Sylvester: The Legend, the Music, the Seventies in San Francisco",Henry Holt and Company,music,1.0,Fabulously Good
"The Fabulous Sylvester: The Legend, the Music, the Seventies in San Francisco",Henry Holt and Company,music,1.0,Mighty Real
"The Fabulous Sylvester: The Legend, the Music, the Seventies in San Francisco",Henry Holt and Company,music,1.0,Truly Amazing. A MUST Read For Fans!
"The Fabulous Sylvester: The Legend, the Music, the Seventies in San Francisco",Henry Holt and Company,music,1.0,The Fabulous Sylvester
"The Fabulous Sylvester: The Legend, the Music, the Seventies in San Francisco",Henry Holt and Company,music,1.0,Fabulous
"The Fabulous Sylvester: The Legend, the Music, the Seventies in San Francisco",Henry Holt and Company,music,1.0,The Diva with a Heart of Gold
"The Fabulous Sylvester: The Legend, the Music, the Seventies in San Francisco",Henry Holt and Company,music,0.75,A great bio!
"The Fabulous Sylvester: The Legend, the Music, the Seventies in San Francisco",Henry Holt and Company,music,1.0,Disco Diva
The PRS Guitar Book: A Complete History of Paul Reed Smith Guitars,Rowman & Littlefield,music,1.0,A Must for PRS Fanatics
The PRS Guitar Book: A Complete History of Paul Reed Smith Guitars,Rowman & Littlefield,music,1.0,Beautiful and informative
The PRS Guitar Book: A Complete History of Paul Reed Smith Guitars,Rowman & Littlefield,music,1.0,The one guitar book you must own!
The PRS Guitar Book: A Complete History of Paul Reed Smith Guitars,Rowman & Littlefield,music,1.0,Highly recommended for dedicated guitarists.
The PRS Guitar Book: A Complete History of Paul Reed Smith Guitars,Rowman & Littlefield,music,1.0,Beautiful and informative
The PRS Guitar Book: A Complete History of Paul Reed Smith Guitars,Rowman & Littlefield,music,1.0,Wonderful reading for all guitar enthuiasts.
The Elton John Keyboard Book,Hal Leonard Corporation,music,1.0,If you want to accompany Elton John songs this is the book.
The Elton John Keyboard Book,Hal Leonard Corporation,music,1.0,The best song book for Elton John!
The Elton John Keyboard Book,Hal Leonard Corporation,music,0.75,Great book
The Elton John Keyboard Book,Hal Leonard Corporation,music,1.0,Elton John Keyboard book
The Elton John Keyboard Book,Hal Leonard Corporation,music,1.0,Awesome Book
The Elton John Keyboard Book,Hal Leonard Corporation,music,1.0,"Great EJ, BJ. Beatles Keyoard books"
The Elton John Keyboard Book,Hal Leonard Corporation,music,1.0,Elton
The Elton John Keyboard Book,Hal Leonard Corporation,music,0.5,"Very good, but . . ."
The Elton John Keyboard Book,Hal Leonard Corporation,music,1.0,Just what I was looking for.
The Elton John Keyboard Book,Hal Leonard Corporation,music,0.5,Tedious
The Elton John Keyboard Book,Hal Leonard Corporation,music,1.0,A-OK
The Elton John Keyboard Book,Hal Leonard Corporation,music,1.0,A-OK
The Elton John Keyboard Book,Hal Leonard Corporation,music,1.0,Even Me!
The Elton John Keyboard Book,Hal Leonard Corporation,music,1.0,"If you want to play just like EJ at the piano, get it!"
The Elton John Keyboard Book,Hal Leonard Corporation,music,0.75,Very good
The Elton John Keyboard Book,Hal Leonard Corporation,music,1.0,Unleash your inner rock star
The Elton John Keyboard Book,Hal Leonard Corporation,music,1.0,The best Elton book I've found.
The Elton John Keyboard Book,Hal Leonard Corporation,music,1.0,fantastic
The Elton John Keyboard Book,Hal Leonard Corporation,music,0.75,'Great Book' From A Music Teacher and Professional Pianist
The Elton John Keyboard Book,Hal Leonard Corporation,music,0.5,Beware
The Elton John Keyboard Book,Hal Leonard Corporation,music,1.0,My Favorite Book---Possibly Ever
The Elton John Keyboard Book,Hal Leonard Corporation,music,0.75,Please list ALL THE SONGS AMAZON
The Elton John Keyboard Book,Hal Leonard Corporation,music,0.75,real Elton at last
Shaw's Music: The Complete Musical Criticism Of Bernard Shaw in Three Volumes,Trafalgar Square Publishing,music,1.0,The definitive edition of Bernard Shaw's musical criticism
No Static: A Guide to Creative Radio Programming,Backbeat Books,music,1.0,A must read for anyone in radio or future radio pros
No Static: A Guide to Creative Radio Programming,Backbeat Books,music,1.0,A must read for anyone in radio
No Static: A Guide to Creative Radio Programming,Backbeat Books,music,1.0,Curious about a career in Radio?
No Static: A Guide to Creative Radio Programming,Backbeat Books,music,0.25,Remarkably lacking in content...
No Static: A Guide to Creative Radio Programming,Backbeat Books,music,0.75,"Some Substance, mostly filler"
No Static: A Guide to Creative Radio Programming,Backbeat Books,music,0.75,Worth the money
A Little Book of Campfire Songs,Chronicle Books Llc,music,0.75,"Good book, small format"
A Little Book of Campfire Songs,Chronicle Books Llc,music,1.0,A Little Book of Campfire Songs
Rhythm and Blues In New Orleans,"Pelican Publishing Company, Inc.",music,1.0,THE CRADLE OF ROCK 'N' ROLL
Rhythm and Blues In New Orleans,"Pelican Publishing Company, Inc.",music,1.0,One of the best books on New Orleans music
Rhythm and Blues In New Orleans,"Pelican Publishing Company, Inc.",music,0.75,An excellent history of a little-reported topic
Rhythm and Blues In New Orleans,"Pelican Publishing Company, Inc.",music,1.0,My love and respect for the culture and music of New Orleans
Praise Worship: Songbook,,music,1.0,It was what I wanted.
The Companion to Irish Traditional Music,,music,1.0,The definitve work on Irish traditional culture.
The Companion to Irish Traditional Music,,music,1.0,A MUST BUY
The Companion to Irish Traditional Music,,music,1.0,Excellent! The best book on Irish traditional music!
The Companion to Irish Traditional Music,,music,1.0,nothing else compares
The Companion to Irish Traditional Music,,music,0.5,useful but has its limits
Sultans of Swing - The Very Best of Dire Straits (Fretted),Hal Leonard Corporation,music,1.0,"Very good book, minor flaws."
Sultans of Swing - The Very Best of Dire Straits (Fretted),Hal Leonard Corporation,music,0.0,poorly done !
Musicians in Tune: 75 Contemporary Musicians Discuss the Creative Process,Rowman & Littlefield,music,0.5,a rich source of anecdotes
Musicians in Tune: 75 Contemporary Musicians Discuss the Creative Process,Rowman & Littlefield,music,1.0,Great Book about a subject not given much consideration.
Musicians in Tune: 75 Contemporary Musicians Discuss the Creative Process,Rowman & Littlefield,music,0.75,Interesting thoughts on creativity and flow
Musicians in Tune: 75 Contemporary Musicians Discuss the Creative Process,Rowman & Littlefield,music,0.5,Not just any writer
CAPRICCIO ESPAGNOL AND OTHER CONCERT FAVORITES IN FULL SCORE.,Courier Corporation,music,1.0,and the &quot;other concert favorites&quot; are...
CAPRICCIO ESPAGNOL AND OTHER CONCERT FAVORITES IN FULL SCORE.,Courier Corporation,music,1.0,An Orchestrational Treasure Trove
Let Us Have Music for Piano: Seventy-Four Famous Melodies (Let Us Have Music Series),Carl Fischer Music Dist,music,1.0,A wonderful piano book for both learning and enjoying.
Let Us Have Music for Piano: Seventy-Four Famous Melodies (Let Us Have Music Series),Carl Fischer Music Dist,music,1.0,excellent
Let Us Have Music for Piano: Seventy-Four Famous Melodies (Let Us Have Music Series),Carl Fischer Music Dist,music,1.0,Easy but satisfying piano pieces
Let Us Have Music for Piano: Seventy-Four Famous Melodies (Let Us Have Music Series),Carl Fischer Music Dist,music,1.0,"Let Us Have Music for Piano, book 2"
Let Us Have Music for Piano: Seventy-Four Famous Melodies (Let Us Have Music Series),Carl Fischer Music Dist,music,1.0,Beautiful and not too complex
Let Us Have Music for Piano: Seventy-Four Famous Melodies (Let Us Have Music Series),Carl Fischer Music Dist,music,1.0,A great book
Xenakis,,music,1.0,Matossian's brilliant exposition of Xenakis
Xenakis,,music,1.0,Invaluable material on a great composer
Xenakis,,music,1.0,Wonderfully lucid insights into a modern music original
"Carcassi Classical Guitar Method, New Revised Edition",Appa the Association of Higher Education Facilities,music,0.5,"Lots here, but hard to use"
"Carcassi Classical Guitar Method, New Revised Edition",Appa the Association of Higher Education Facilities,music,1.0,For the serious classical guitarist.
"Carcassi Classical Guitar Method, New Revised Edition",Appa the Association of Higher Education Facilities,music,1.0,Carcassi Method
"Carcassi Classical Guitar Method, New Revised Edition",Appa the Association of Higher Education Facilities,music,0.5,Exercises
"Carcassi Classical Guitar Method, New Revised Edition",Appa the Association of Higher Education Facilities,music,1.0,Excellent book
"Carcassi Classical Guitar Method, New Revised Edition",Appa the Association of Higher Education Facilities,music,0.75,Great As Far As Old-School Pedagogy Is Concerned!
"Carcassi Classical Guitar Method, New Revised Edition",Appa the Association of Higher Education Facilities,music,1.0,Best Classical Guitar Method Ever!
"Carcassi Classical Guitar Method, New Revised Edition",Appa the Association of Higher Education Facilities,music,1.0,The classic classical guitar method
"Carcassi Classical Guitar Method, New Revised Edition",Appa the Association of Higher Education Facilities,music,1.0,Excellent even for those without formal musical training
"Carcassi Classical Guitar Method, New Revised Edition",Appa the Association of Higher Education Facilities,music,1.0,Breakin' a sweat with the old nylon
"Carcassi Classical Guitar Method, New Revised Edition",Appa the Association of Higher Education Facilities,music,1.0,The best of the best.
"Carcassi Classical Guitar Method, New Revised Edition",Appa the Association of Higher Education Facilities,music,0.75,Good technique builder; recommend supplement for repertoire
"Carcassi Classical Guitar Method, New Revised Edition",Appa the Association of Higher Education Facilities,music,0.75,Great Mix
"Carcassi Classical Guitar Method, New Revised Edition",Appa the Association of Higher Education Facilities,music,1.0,Very essential...
"Carcassi Classical Guitar Method, New Revised Edition",Appa the Association of Higher Education Facilities,music,1.0,Excellent exercises
"Carcassi Classical Guitar Method, New Revised Edition",Appa the Association of Higher Education Facilities,music,1.0,The Standard for 100 Years
The Best of U2 - 1980-1990,Hal Leonard Corporation,music,1.0,"Two versions, be careful what you buy!"
The Best of U2 - 1980-1990,Hal Leonard Corporation,music,0.5,May be nice for other instruments but not for the guitarist
The Best of U2 - 1980-1990,Hal Leonard Corporation,music,0.5,"Solid, sheet music"
The Best of U2 - 1980-1990,Hal Leonard Corporation,music,0.75,"Great book, but I ordered the piano"
The Best of U2 - 1980-1990,Hal Leonard Corporation,music,1.0,U2 Guitar notes and tab
This Is the End My Only Friend: Living and Dying With Jim Morrison,Sure Sellers Incorporated,music,1.0,"not what i had been looking for, but much better"
This Is the End My Only Friend: Living and Dying With Jim Morrison,Sure Sellers Incorporated,music,0.75,Couldn't Put it down.....
This Is the End My Only Friend: Living and Dying With Jim Morrison,Sure Sellers Incorporated,music,1.0,Honest and Daring
This Is the End My Only Friend: Living and Dying With Jim Morrison,Sure Sellers Incorporated,music,1.0,A coming of age book
This Is the End My Only Friend: Living and Dying With Jim Morrison,Sure Sellers Incorporated,music,0.5,This is the End . . . My Only Friend: Living and Dying with Jim Morrison
This Is the End My Only Friend: Living and Dying With Jim Morrison,Sure Sellers Incorporated,music,0.0,Beats sleeping pills!
This Is the End My Only Friend: Living and Dying With Jim Morrison,Sure Sellers Incorporated,music,1.0,Living &amp; Dying With Jim Morrison
This Is the End My Only Friend: Living and Dying With Jim Morrison,Sure Sellers Incorporated,music,0.5,A book with many twists and turns
Use This Book!: The Only Book You'll Ever Need,"F+W Media, Inc.",music,1.0,"Swiss-Army Knife Useful, Amazingly Entertaining, and Highly Informative"
Use This Book!: The Only Book You'll Ever Need,"F+W Media, Inc.",music,0.75,Not the only book you'll ever need
Use This Book!: The Only Book You'll Ever Need,"F+W Media, Inc.",music,1.0,Great Gift Idea
Use This Book!: The Only Book You'll Ever Need,"F+W Media, Inc.",music,1.0,Exactly as expected! GREAT!
Use This Book!: The Only Book You'll Ever Need,"F+W Media, Inc.",music,1.0,Great book!
Use This Book!: The Only Book You'll Ever Need,"F+W Media, Inc.",music,1.0,Great Christmas Gift ?
Use This Book!: The Only Book You'll Ever Need,"F+W Media, Inc.",music,1.0,Lots of fun!
Use This Book!: The Only Book You'll Ever Need,"F+W Media, Inc.",music,1.0,A great gift
Use This Book!: The Only Book You'll Ever Need,"F+W Media, Inc.",music,0.25,not great
Use This Book!: The Only Book You'll Ever Need,"F+W Media, Inc.",music,0.0,how true - use this book
It Wasn't All Velvet: An Autobiography,Zebra Books,music,0.75,"""Mel Torme is the only white man who sings with the soul of a black man."""
It Wasn't All Velvet: An Autobiography,Zebra Books,music,1.0,A legend tells his tale in his own articulate voice
It Wasn't All Velvet: An Autobiography,Zebra Books,music,1.0,It's Very &quot;Mel&quot;
It Wasn't All Velvet: An Autobiography,Zebra Books,music,1.0,Not ALL velvet!!
It Wasn't All Velvet: An Autobiography,Zebra Books,music,0.75,Should be re-published
It Wasn't All Velvet: An Autobiography,Zebra Books,music,1.0,A class act singer and author
It Wasn't All Velvet: An Autobiography,Zebra Books,music,0.5,"Very interesting and revealing, yet quite profane"
It Wasn't All Velvet: An Autobiography,Zebra Books,music,0.0,Warning
"All Shook Up: Music, Passion, & Politics Library Edition",Spence Pub,music,1.0,Does Music Matter?
"All Shook Up: Music, Passion, & Politics Library Edition",Spence Pub,music,1.0,Excellent Introduction
"All Shook Up: Music, Passion, & Politics Library Edition",Spence Pub,music,0.75,music 's reflection of a spoiled society
"All Shook Up: Music, Passion, & Politics Library Edition",Spence Pub,music,1.0,the fight over music
"All Shook Up: Music, Passion, & Politics Library Edition",Spence Pub,music,0.25,OK but pretty long-winded and mis-packaged
"All Shook Up: Music, Passion, & Politics Library Edition",Spence Pub,music,0.0,"High School Musical, Ancient Philosophy Edition"
"All Shook Up: Music, Passion, & Politics Library Edition",Spence Pub,music,0.0,"Heavy on the politics, light on the science"
"All Shook Up: Music, Passion, & Politics Library Edition",Spence Pub,music,0.0,Welcome to the Culture Wars
"Psychology of Music, Second Edition (Cognition and Perception)",Elsevier,music,0.75,"The Psychology of Music, Second Edition"
Steely Dan: Reelin' in the Years,Omnibus Press,music,0.5,"Sloppy, Obsessive account of great American Band"
Steely Dan: Reelin' in the Years,Omnibus Press,music,0.25,"Steely Dan: Gosssip, a history but no Fagen or Becker"
Steely Dan: Reelin' in the Years,Omnibus Press,music,0.75,"Great info, poorly written"
Steely Dan: Reelin' in the Years,Omnibus Press,music,0.5,"Flawed, but interesting nonetheless"
Steely Dan: Reelin' in the Years,Omnibus Press,music,0.75,This book is thorough but poorly written.
Steely Dan: Reelin' in the Years,Omnibus Press,music,0.75,&quot;Reelin' in where Real isn't: The Mystery of Steely Dan&quot;
