title,publisher,categories,review_score,review_summary
Florida Birds: An Introduction to Familiar Species (State Nature Guides),Libraries Unlimited,nature,0.25,Definitely not a must have
Florida Birds: An Introduction to Familiar Species (State Nature Guides),Libraries Unlimited,nature,0.75,Florida Birds
Florida Birds: An Introduction to Familiar Species (State Nature Guides),Libraries Unlimited,nature,1.0,Florida birds
A Field Guide to Butterflies of Texas (Texas Monthly Field Guide Series),Taylor Trade Publishing,nature,1.0,Terrific Reference for Identifying Butterflies
Maine Amphibians and Reptiles,"Orono, Me. : University of Maine Press",nature,1.0,An Excellent State Herpetology
California Tree Finder: A pocket manual for identifying California trees,Nature Study Guild Publishers,nature,0.75,Rustic but adequate
A Piece of Paradise: A Story of Custer State Park,Falcon Guides,nature,1.0,A Piece of Pardise : A Story of Custer State Park
Funny Dogs Postcard Book,"Stewart, Tabori and Chang",nature,1.0,Some of the Best Postcards I've Found
Funny Dogs Postcard Book,"Stewart, Tabori and Chang",nature,1.0,Excellent postcards!
Funny Dogs Postcard Book,"Stewart, Tabori and Chang",nature,0.5,Not that funny
Second Person Rural: More Essays of a Sometime Farmer,Viking Press,nature,1.0,fun Vermont back-to-the land stories
Second Person Rural: More Essays of a Sometime Farmer,Viking Press,nature,1.0,fun Vermont back-to-the land stories
Second Person Rural: More Essays of a Sometime Farmer,Viking Press,nature,1.0,fun Vermont back-to-the land stories
Second Person Rural: More Essays of a Sometime Farmer,Viking Press,nature,1.0,fun Vermont back-to-the land stories
Trees of Arkansas,Ozark Society,nature,1.0,worth the money
Trees of Arkansas,Ozark Society,nature,1.0,Great book
Trees of Arkansas,Ozark Society,nature,1.0,worth the money
Trees of Arkansas,Ozark Society,nature,1.0,Great book
"National Audubon Society North American Birdfeeder Handbook: The Complete Guide to Attracting, Feeding, and Observing Birds in Your Yard",,nature,0.75,Well Worth Having
"National Audubon Society North American Birdfeeder Handbook: The Complete Guide to Attracting, Feeding, and Observing Birds in Your Yard",,nature,1.0,a good supplement to any backyard birder's library
"National Audubon Society North American Birdfeeder Handbook: The Complete Guide to Attracting, Feeding, and Observing Birds in Your Yard",,nature,1.0,Made Me Coo With Joy...
"National Audubon Society North American Birdfeeder Handbook: The Complete Guide to Attracting, Feeding, and Observing Birds in Your Yard",,nature,1.0,bring nature into your yard
"National Audubon Society North American Birdfeeder Handbook: The Complete Guide to Attracting, Feeding, and Observing Birds in Your Yard",,nature,1.0,"Beautiful Photos, Great Info"
"National Audubon Society North American Birdfeeder Handbook: The Complete Guide to Attracting, Feeding, and Observing Birds in Your Yard",,nature,1.0,Old Time Favorite
