title,publisher,categories,review_score,review_summary
Cinema and Soviet Society; From the Revolution To the Death of Stalin.,I.B. Tauris,performing arts,1.0,An Essential Book on Soviet Cinema
Inside Oscar: the Unofficial History of the Academy Awards,Ballantine Books,performing arts,1.0,An essential book for movie lovers everywhere
Inside Oscar: the Unofficial History of the Academy Awards,Ballantine Books,performing arts,1.0,An indispensible guide to everything Oscar!
Inside Oscar: the Unofficial History of the Academy Awards,Ballantine Books,performing arts,1.0,One of my bibles
Inside Oscar: the Unofficial History of the Academy Awards,Ballantine Books,performing arts,1.0,A Must-Have For Oscar Lovers And Here's Why
Inside Oscar: the Unofficial History of the Academy Awards,Ballantine Books,performing arts,1.0,The Best Book on The Oscars. Period.
Inside Oscar: the Unofficial History of the Academy Awards,Ballantine Books,performing arts,1.0,"If you love the Oscars, this is your book!"
Inside Oscar: the Unofficial History of the Academy Awards,Ballantine Books,performing arts,0.0,Two thumbs down - way down!
Inside Oscar: the Unofficial History of the Academy Awards,Ballantine Books,performing arts,1.0,filmbuffs...your bible is here
Inside Oscar: the Unofficial History of the Academy Awards,Ballantine Books,performing arts,1.0,Oscar Euphoria!
Inside Oscar: the Unofficial History of the Academy Awards,Ballantine Books,performing arts,1.0,The winner is....&quot;Inside Oscar&quot;
Inside Oscar: the Unofficial History of the Academy Awards,Ballantine Books,performing arts,1.0,"A dishy classic, it's the ONE movie book you've gotta own."
Inside Oscar: the Unofficial History of the Academy Awards,Ballantine Books,performing arts,1.0,THE definitive reference tool for ALL Oscar fans!
Inside Oscar: the Unofficial History of the Academy Awards,Ballantine Books,performing arts,1.0,"The ""Gone With the Wind"" of Oscar books"
Inside Oscar: the Unofficial History of the Academy Awards,Ballantine Books,performing arts,1.0,One of my favorite books
Inside Oscar: the Unofficial History of the Academy Awards,Ballantine Books,performing arts,0.75,"Excellent, But Wait For The Next Edition"
Inside Oscar: the Unofficial History of the Academy Awards,Ballantine Books,performing arts,1.0,The best Oscar reference book ever
Inside Oscar: the Unofficial History of the Academy Awards,Ballantine Books,performing arts,1.0,It's the Oscar buff's Bible.
Representing Reality: Issues and Concepts in Documentary,Indiana University Press,performing arts,0.75,great book for learning about doc. concepts and issues
Representing Reality: Issues and Concepts in Documentary,Indiana University Press,performing arts,1.0,A Due Question for Documentary
Representing Reality: Issues and Concepts in Documentary,Indiana University Press,performing arts,0.0,a trip to unreadable
Representing Reality: Issues and Concepts in Documentary,Indiana University Press,performing arts,0.0,Bill Nichols should not be allowed to write
"Movies, Masculinity, and Modernity: An Ethnography of Men's Filmgoing in India (Controversies in Science)",Praeger,performing arts,1.0,A smart analysis of an understudied aspect of culture
"Movies, Masculinity, and Modernity: An Ethnography of Men's Filmgoing in India (Controversies in Science)",Praeger,performing arts,0.5,Indian masculinity in the cinema screen and aisles
The Sopranos: A Family History --Season 4 (Revised and Updated),New Amer Library,performing arts,0.75,Working for the mob any one
The Sopranos: A Family History --Season 4 (Revised and Updated),New Amer Library,performing arts,1.0,Great fun . . .
The Sopranos: A Family History --Season 4 (Revised and Updated),New Amer Library,performing arts,0.75,A bizarre book.
The Thin Red Line (BFI Film Classics),Macmillan,performing arts,0.75,Good book about a great film and filmmaker
The Thin Red Line (BFI Film Classics),Macmillan,performing arts,0.25,Plagued by fundamental problems
The Thin Red Line (BFI Film Classics),Macmillan,performing arts,0.75,An excellent primer
