title,publisher,categories,review_score,review_summary
The Man Who Talks to Dogs: The Story of America's Wild Street Dogs and Their Unlikely Savior,Thomas Dunne Books,pets,0.75,Randy is a dog's best friend...
The Man Who Talks to Dogs: The Story of America's Wild Street Dogs and Their Unlikely Savior,Thomas Dunne Books,pets,1.0,BRILLIANT
The Man Who Talks to Dogs: The Story of America's Wild Street Dogs and Their Unlikely Savior,Thomas Dunne Books,pets,0.75,Inspiring Story and a Resource
The Man Who Talks to Dogs: The Story of America's Wild Street Dogs and Their Unlikely Savior,Thomas Dunne Books,pets,1.0,Dog rescue
The Man Who Talks to Dogs: The Story of America's Wild Street Dogs and Their Unlikely Savior,Thomas Dunne Books,pets,1.0,Excellent
The Man Who Talks to Dogs: The Story of America's Wild Street Dogs and Their Unlikely Savior,Thomas Dunne Books,pets,1.0,A Story of Redemption
The Man Who Talks to Dogs: The Story of America's Wild Street Dogs and Their Unlikely Savior,Thomas Dunne Books,pets,1.0,Thank God for Mr. Grim!
The Man Who Talks to Dogs: The Story of America's Wild Street Dogs and Their Unlikely Savior,Thomas Dunne Books,pets,1.0,Heroic Tails
The Man Who Talks to Dogs: The Story of America's Wild Street Dogs and Their Unlikely Savior,Thomas Dunne Books,pets,1.0,Read It In One Sitting!
The Man Who Talks to Dogs: The Story of America's Wild Street Dogs and Their Unlikely Savior,Thomas Dunne Books,pets,1.0,"If you love animals, this is a must-read"
The Man Who Talks to Dogs: The Story of America's Wild Street Dogs and Their Unlikely Savior,Thomas Dunne Books,pets,1.0,Wake up call for dog lovers!
The Man Who Talks to Dogs: The Story of America's Wild Street Dogs and Their Unlikely Savior,Thomas Dunne Books,pets,1.0,A Must Read!
The Man Who Talks to Dogs: The Story of America's Wild Street Dogs and Their Unlikely Savior,Thomas Dunne Books,pets,1.0,A Good Read for Dog Lovers
The Man Who Talks to Dogs: The Story of America's Wild Street Dogs and Their Unlikely Savior,Thomas Dunne Books,pets,1.0,Life as a dog
The Man Who Talks to Dogs: The Story of America's Wild Street Dogs and Their Unlikely Savior,Thomas Dunne Books,pets,1.0,the saint of St. Louis
Funny Cats Postcard Book,"Stewart, Tabori and Chang",pets,1.0,Fun Book of Postcards for Cat People
Funny Cats Postcard Book,"Stewart, Tabori and Chang",pets,1.0,For cat lovers!
A Complete Guide to Bird Feeding,Chartwell Books,pets,0.75,A pleasure to read
A Complete Guide to Bird Feeding,Chartwell Books,pets,1.0,Excellent reference guide
A Complete Guide to Bird Feeding,Chartwell Books,pets,1.0,Very knowledgeable book
A Complete Guide to Bird Feeding,Chartwell Books,pets,1.0,book
A Complete Guide to Bird Feeding,Chartwell Books,pets,1.0,Fun and informative
A Complete Guide to Bird Feeding,Chartwell Books,pets,1.0,Browsable & informative
A Complete Guide to Bird Feeding,Chartwell Books,pets,0.75,A pleasure to read
A Complete Guide to Bird Feeding,Chartwell Books,pets,1.0,Excellent reference guide
A Complete Guide to Bird Feeding,Chartwell Books,pets,1.0,Very knowledgeable book
A Complete Guide to Bird Feeding,Chartwell Books,pets,1.0,book
A Complete Guide to Bird Feeding,Chartwell Books,pets,1.0,Fun and informative
A Complete Guide to Bird Feeding,Chartwell Books,pets,1.0,Browsable & informative
Airedale Terriers (KW Dog),Tfh Publications Incorporated,pets,0.25,"Good beginning, bad ending"
Airedale Terriers (KW Dog),Tfh Publications Incorporated,pets,0.5,Some good information about the Airedale
The Lovebird: An Owner's Guide to a Happy Healthy Pet,*Howell Book House,pets,1.0,A Necessity for any Lovebird Owner
The Lovebird: An Owner's Guide to a Happy Healthy Pet,*Howell Book House,pets,1.0,Excellent book for those who own companion lovebirds
The Lovebird: An Owner's Guide to a Happy Healthy Pet,*Howell Book House,pets,0.75,"Good book for pet owners, but not breeders"
The Lovebird: An Owner's Guide to a Happy Healthy Pet,*Howell Book House,pets,1.0,wonderful book!!
The Lovebird: An Owner's Guide to a Happy Healthy Pet,*Howell Book House,pets,0.75,"Great book, no information on breeding them"
The Lovebird: An Owner's Guide to a Happy Healthy Pet,*Howell Book House,pets,0.75,Very Informative
Basset Hounds (KW Dog),Tfh Publications Incorporated,pets,1.0,Excellent Work
Basset Hounds (KW Dog),Tfh Publications Incorporated,pets,0.0,Very Dissapointed
Basset Hounds (KW Dog),Tfh Publications Incorporated,pets,0.25,"Lots of Basset photos, short on Basset specifics."
Basset Hounds (KW Dog),Tfh Publications Incorporated,pets,0.25,"Lots of Basset photos, short on Basset specifics."
Basset Hounds (KW Dog),Tfh Publications Incorporated,pets,1.0,A very good book indeed !
"Adoptable Dog: Teaching Your Adopted Pet to Obey, Trust, and Love You",W. W. Norton & Company,pets,0.75,Good reference on dealing w/behavior issues in rescue dogs
"Adoptable Dog: Teaching Your Adopted Pet to Obey, Trust, and Love You",W. W. Norton & Company,pets,1.0,Excellent resource
"Adoptable Dog: Teaching Your Adopted Pet to Obey, Trust, and Love You",W. W. Norton & Company,pets,0.75,Adoptable Dog: My new fav book about my new fav pet
"Adoptable Dog: Teaching Your Adopted Pet to Obey, Trust, and Love You",W. W. Norton & Company,pets,0.75,Good Starting Point
"Adoptable Dog: Teaching Your Adopted Pet to Obey, Trust, and Love You",W. W. Norton & Company,pets,1.0,Help with an adopted dog.
"Adoptable Dog: Teaching Your Adopted Pet to Obey, Trust, and Love You",W. W. Norton & Company,pets,1.0,very helpful
"Adoptable Dog: Teaching Your Adopted Pet to Obey, Trust, and Love You",W. W. Norton & Company,pets,1.0,A must read for anyone interested in adopting a dog.
"Adoptable Dog: Teaching Your Adopted Pet to Obey, Trust, and Love You",W. W. Norton & Company,pets,0.75,"helpful, but not a bible"
West Highland White Terriers (KW),Tfh Publications Incorporated,pets,0.5,Ok for 1st time dog owners-lacking in depth explanations
West Highland White Terriers (KW),Tfh Publications Incorporated,pets,0.5,misleading title.
Portrait of Cats,Skyhorse,pets,0.75,The beauty of cats
Terrarium Animals from A to Z (Compass Guides),Barrons Educational Series Incorporated,pets,1.0,Great reference book for setting up terrariums and basic reptile care!
Terrarium Animals from A to Z (Compass Guides),Barrons Educational Series Incorporated,pets,1.0,Outstanding reference guide
Terrarium Animals from A to Z (Compass Guides),Barrons Educational Series Incorporated,pets,1.0,Great reference book for vivarium animals
Chesapeake Bay Retrievers (KW Dog),Tfh Publications Incorporated,pets,0.5,A beginner's general dog book; not specific enough on Chessi
Chesapeake Bay Retrievers (KW Dog),Tfh Publications Incorporated,pets,0.0,NOT a 'breed specific' book on Chesapeakes
Chesapeake Bay Retrievers (KW Dog),Tfh Publications Incorporated,pets,0.0,This book Blew the bag Ha Ha By Steve Austin
