title,publisher,categories,review_score,review_summary
The Oxford Handbook of Free Will (Oxford Handbooks),OUP USA,philosophy,1.0,Robert Kane's *The Oxford Handbook on Free Will*
The Oxford Handbook of Free Will (Oxford Handbooks),OUP USA,philosophy,1.0,Oxford and Kane have done it again!
The Oxford Handbook of Free Will (Oxford Handbooks),OUP USA,philosophy,1.0,Kane's Compilation Will Leave You Proud To Lose An Argument
The Gift of Death (Religion and Postmodernism Series),Religion and Postmodernism,philosophy,1.0,The Father of Deconstruction Reconstructed
The Gift of Death (Religion and Postmodernism Series),Religion and Postmodernism,philosophy,1.0,Donner la Mort
The Gift of Death (Religion and Postmodernism Series),Religion and Postmodernism,philosophy,0.5,Killing the son.
The Gift of Death (Religion and Postmodernism Series),Religion and Postmodernism,philosophy,1.0,Derrida Gets Religion
The Gift of Death (Religion and Postmodernism Series),Religion and Postmodernism,philosophy,0.75,Responsibility?
The Gift of Death (Religion and Postmodernism Series),Religion and Postmodernism,philosophy,0.5,Old Testament Abraham and the Secret
The Gift of Death (Religion and Postmodernism Series),Religion and Postmodernism,philosophy,1.0,This book seems like Jacques being Jacques.
The Gift of Death (Religion and Postmodernism Series),Religion and Postmodernism,philosophy,0.75,RESUMPTION
The Gift of Death (Religion and Postmodernism Series),Religion and Postmodernism,philosophy,0.25,Read On
Philosophic Classics: From Plato to Derrida (3rd Edition),,philosophy,1.0,Excellent Introduction to Philosophy Text
Philosophic Classics: From Plato to Derrida (3rd Edition),,philosophy,1.0,Who thought philosophy would be fun??
Philosophic Classics: From Plato to Derrida (3rd Edition),,philosophy,1.0,Philosophic Classics from Plato to Derida
Philosophic Classics: From Plato to Derrida (3rd Edition),,philosophy,0.75,Fast and in good shape
Philosophic Classics: From Plato to Derrida (3rd Edition),,philosophy,0.75,Philosophic Classics
Life 101 : Everything We Wish We Had Learned About Life in School -- But Didn't (The Life 101 Series),Mary Book / Prelude Press,philosophy,1.0,It is as easy as you think!
Life 101 : Everything We Wish We Had Learned About Life in School -- But Didn't (The Life 101 Series),Mary Book / Prelude Press,philosophy,1.0,Life 101: Everything We Wish We Had Learned About Life in School --But Didn't
Life 101 : Everything We Wish We Had Learned About Life in School -- But Didn't (The Life 101 Series),Mary Book / Prelude Press,philosophy,1.0,So great I have to give it to others!!!
Life 101 : Everything We Wish We Had Learned About Life in School -- But Didn't (The Life 101 Series),Mary Book / Prelude Press,philosophy,1.0,This book changed my life.
Life 101 : Everything We Wish We Had Learned About Life in School -- But Didn't (The Life 101 Series),Mary Book / Prelude Press,philosophy,1.0,The kind of book you read over and over.
Life 101 : Everything We Wish We Had Learned About Life in School -- But Didn't (The Life 101 Series),Mary Book / Prelude Press,philosophy,1.0,A handbook on how to get by in life
Life 101 : Everything We Wish We Had Learned About Life in School -- But Didn't (The Life 101 Series),Mary Book / Prelude Press,philosophy,1.0,It's my favorite book about 5 years
Life 101 : Everything We Wish We Had Learned About Life in School -- But Didn't (The Life 101 Series),Mary Book / Prelude Press,philosophy,1.0,Awesome book
Life 101 : Everything We Wish We Had Learned About Life in School -- But Didn't (The Life 101 Series),Mary Book / Prelude Press,philosophy,1.0,Great book
Life 101 : Everything We Wish We Had Learned About Life in School -- But Didn't (The Life 101 Series),Mary Book / Prelude Press,philosophy,1.0,A book to create an ephiany
Life 101 : Everything We Wish We Had Learned About Life in School -- But Didn't (The Life 101 Series),Mary Book / Prelude Press,philosophy,1.0,One of the Best Books I Ever Read
Life 101 : Everything We Wish We Had Learned About Life in School -- But Didn't (The Life 101 Series),Mary Book / Prelude Press,philosophy,1.0,This is a must read!!!
Life 101 : Everything We Wish We Had Learned About Life in School -- But Didn't (The Life 101 Series),Mary Book / Prelude Press,philosophy,0.75,Makes you think...
Life 101 : Everything We Wish We Had Learned About Life in School -- But Didn't (The Life 101 Series),Mary Book / Prelude Press,philosophy,1.0,"Useful, witty and profound"
Life 101 : Everything We Wish We Had Learned About Life in School -- But Didn't (The Life 101 Series),Mary Book / Prelude Press,philosophy,1.0,The most wonderful self awareness/psychology book. A must read.
Life 101 : Everything We Wish We Had Learned About Life in School -- But Didn't (The Life 101 Series),Mary Book / Prelude Press,philosophy,0.75,Everyone should read this book
Life 101 : Everything We Wish We Had Learned About Life in School -- But Didn't (The Life 101 Series),Mary Book / Prelude Press,philosophy,1.0,The best
Life 101 : Everything We Wish We Had Learned About Life in School -- But Didn't (The Life 101 Series),Mary Book / Prelude Press,philosophy,1.0,it was good thanks
Life 101 : Everything We Wish We Had Learned About Life in School -- But Didn't (The Life 101 Series),Mary Book / Prelude Press,philosophy,0.0,"Promising, but a let down."
Life 101 : Everything We Wish We Had Learned About Life in School -- But Didn't (The Life 101 Series),Mary Book / Prelude Press,philosophy,0.0,"Simplistic, humorous book on life."
Life 101 : Everything We Wish We Had Learned About Life in School -- But Didn't (The Life 101 Series),Mary Book / Prelude Press,philosophy,0.75,Unabashed look at life - authors say things we avoid saying.
Life 101 : Everything We Wish We Had Learned About Life in School -- But Didn't (The Life 101 Series),Mary Book / Prelude Press,philosophy,1.0,The Best!
Life 101 : Everything We Wish We Had Learned About Life in School -- But Didn't (The Life 101 Series),Mary Book / Prelude Press,philosophy,1.0,For Those Who Are Not Afraid to Learn About Themselves
Life 101 : Everything We Wish We Had Learned About Life in School -- But Didn't (The Life 101 Series),Mary Book / Prelude Press,philosophy,0.75,Pure wisdom in a nutshell
Life 101 : Everything We Wish We Had Learned About Life in School -- But Didn't (The Life 101 Series),Mary Book / Prelude Press,philosophy,1.0,i read this book over 10 years ago
Life 101 : Everything We Wish We Had Learned About Life in School -- But Didn't (The Life 101 Series),Mary Book / Prelude Press,philosophy,0.75,A carefully constructed read.
Life 101 : Everything We Wish We Had Learned About Life in School -- But Didn't (The Life 101 Series),Mary Book / Prelude Press,philosophy,1.0,You have nothing to Lose reading this book!!!
Life 101 : Everything We Wish We Had Learned About Life in School -- But Didn't (The Life 101 Series),Mary Book / Prelude Press,philosophy,1.0,It's Worth Having All of Mc Williams' Work...
Life 101 : Everything We Wish We Had Learned About Life in School -- But Didn't (The Life 101 Series),Mary Book / Prelude Press,philosophy,1.0,real life saver
Life 101 : Everything We Wish We Had Learned About Life in School -- But Didn't (The Life 101 Series),Mary Book / Prelude Press,philosophy,1.0,A Definite must read!!!
Life 101 : Everything We Wish We Had Learned About Life in School -- But Didn't (The Life 101 Series),Mary Book / Prelude Press,philosophy,0.0,A Waste of Money and Time
Life 101 : Everything We Wish We Had Learned About Life in School -- But Didn't (The Life 101 Series),Mary Book / Prelude Press,philosophy,0.0,Total disappointment
Life 101 : Everything We Wish We Had Learned About Life in School -- But Didn't (The Life 101 Series),Mary Book / Prelude Press,philosophy,0.25,A highly mixed blessing (?!)
Life 101 : Everything We Wish We Had Learned About Life in School -- But Didn't (The Life 101 Series),Mary Book / Prelude Press,philosophy,0.25,It's never too late to write a &quot;self-improvement&quot; book
Teach Yourself 101 Key Ideas: Philosophy,,philosophy,0.75,Western philosophy in 101 pages
Teach Yourself 101 Key Ideas: Philosophy,,philosophy,0.75,"Nice, handy, and lightweight philosophy dictonary."
Five Sermons,Hackett Publishing,philosophy,1.0,A real Leviathan sinker!
The Wisdom of the Zen Masters,New Directions Publishing,philosophy,0.75,Flapping
The Wisdom of the Zen Masters,New Directions Publishing,philosophy,0.75,An excellent introduction to Zen philosphy for the beginner
The Wisdom of the Zen Masters,New Directions Publishing,philosophy,0.75,Flapping
The Wisdom of the Zen Masters,New Directions Publishing,philosophy,0.75,An excellent introduction to Zen philosphy for the beginner
The Works of George Berkeley (Major works),Delphi Classics,philosophy,1.0,A Great Collection
The Works of George Berkeley (Major works),Delphi Classics,philosophy,1.0,It's all of Berkeley - what more can you ask?
The Works of George Berkeley (Major works),Delphi Classics,philosophy,1.0,Highly Intelligent
