title,publisher,categories,review_score,review_summary
El Gaucho Martin Fierro/the Gaucho Martin Fierro (Bilingual Edition) (Spanish Edition),SUNY Press,poetry,1.0,paperback in print!
El Gaucho Martin Fierro/the Gaucho Martin Fierro (Bilingual Edition) (Spanish Edition),SUNY Press,poetry,1.0,Excellent description of the gaucho's life
El Gaucho Martin Fierro/the Gaucho Martin Fierro (Bilingual Edition) (Spanish Edition),SUNY Press,poetry,1.0,Warning
El Gaucho Martin Fierro/the Gaucho Martin Fierro (Bilingual Edition) (Spanish Edition),SUNY Press,poetry,0.75,Un clasico que no aburre
El Gaucho Martin Fierro/the Gaucho Martin Fierro (Bilingual Edition) (Spanish Edition),SUNY Press,poetry,1.0,"Martin Fierro, J. Hernandez"
El Gaucho Martin Fierro/the Gaucho Martin Fierro (Bilingual Edition) (Spanish Edition),SUNY Press,poetry,1.0,I Recommed this Book
El Gaucho Martin Fierro/the Gaucho Martin Fierro (Bilingual Edition) (Spanish Edition),SUNY Press,poetry,0.75,El Gaucho De Nuestro Argentina
El Gaucho Martin Fierro/the Gaucho Martin Fierro (Bilingual Edition) (Spanish Edition),SUNY Press,poetry,1.0,I want to buy this book.
The Mask of Priam,CreateSpace,poetry,1.0,THS ONE KEPT ME AWAKE...TURNNG THE PAGES!
Own Face (Sun & Moon Classics),Sun and Moon Press,poetry,1.0,Best of Coolidge?
"Collected Poems, 1920-1954: Revised Bilingual Edition","Farrar, Straus and Giroux",poetry,0.5,Read the translations by Arrowsmith instead
"Collected Poems, 1920-1954: Revised Bilingual Edition","Farrar, Straus and Giroux",poetry,0.25,Seek a better translation than this
"Collected Poems, 1920-1954: Revised Bilingual Edition","Farrar, Straus and Giroux",poetry,1.0,Modern madrigalists! Here's the poet to set to music!
"Collected Poems, 1920-1954: Revised Bilingual Edition","Farrar, Straus and Giroux",poetry,1.0,A great collection with useful annotations
"Collected Poems, 1920-1954: Revised Bilingual Edition","Farrar, Straus and Giroux",poetry,1.0,Great Find
"Collected Poems, 1920-1954: Revised Bilingual Edition","Farrar, Straus and Giroux",poetry,0.5,the poetry of translation
"Collected Poems, 1920-1954: Revised Bilingual Edition","Farrar, Straus and Giroux",poetry,1.0,A lyrical body of work by a truly gifted poet.
Haiku Year,,poetry,0.75,"Not classic, but Inspiring haiku, bringing art into everyday"
Haiku Year,,poetry,1.0,A great collection of senryu
Haiku Year,,poetry,1.0,"Affirmations, frustrations and love poems"
Haiku Year,,poetry,1.0,...a beautiful window into Earth...
Haiku Year,,poetry,0.75,More fun and exhilirating than midnight skinny-dipping.
Haiku Year,,poetry,0.75,chill out
Haiku Year,,poetry,1.0,Just do it!!
Haiku Year,,poetry,0.5,not for the haiku but ...
Haiku Year,,poetry,1.0,good going daddio
Haiku Year,,poetry,1.0,Be Inspired!
Haiku Year,,poetry,1.0,Really different....A pleasant change!
Haiku Year,,poetry,0.75,This is actually pretty cool
Haiku Year,,poetry,0.75,The Haiku Year exemplifies integrating creativity
Haiku Year,,poetry,1.0,It is the duty of artists to BEND the rules
Haiku Year,,poetry,1.0,HAIKU! Gesundheit.
Haiku Year,,poetry,0.75,Don't Look at This
Haiku Year,,poetry,0.0,Three Lines Do Not Always Equal Haiku
Haiku Year,,poetry,0.0,No stars but they all think they are and have stuff to say.
Haiku Year,,poetry,0.0,Definitely NOT haiku - poetry? Maybe...
Haiku Year,,poetry,0.0,The only stars is the rocker
Haiku Year,,poetry,0.0,It's the end of haiku as we know it...
"Dreams, Dilemmas and a Dragon Named Charles: A Collection of Poems",iUniverse,poetry,1.0,The Three Ds
