title,publisher,categories,review_score,review_summary
"The Repeal of Reticence: A History of America's Cultural and Legal Struggles over Free Speech, Obscenity, Sexual Liberation, and Modern Art",Hill and Wang,political science,1.0,Great treatment of the defeat of reticence by exposure
"The Repeal of Reticence: A History of America's Cultural and Legal Struggles over Free Speech, Obscenity, Sexual Liberation, and Modern Art",Hill and Wang,political science,1.0,Rochelle explains It All for You
The New Conspiracy Reader: From Planet X to the War on Terrorism-What You Really Don't Know,Routledge,political science,0.75,Smartly done
The New Conspiracy Reader: From Planet X to the War on Terrorism-What You Really Don't Know,Routledge,political science,0.0,Ludicrous and silly
"FORCE, RECIPROCAL FORCE AND COMPRESSION CAUSE GRAVITY",,political science,0.0,Uneducated Nonsense
"FORCE, RECIPROCAL FORCE AND COMPRESSION CAUSE GRAVITY",,political science,0.5,"Utter, yet amusing nonsense"
"Knowledge, Power and International Policy Coordination (Studies in International Relations)",Studies in International Relat,political science,0.75,Excellent academic resource
The Democrats: From Jefferson to Clinton,University of Missouri Press,political science,0.5,A subjest too broad for one book.
The Democrats: From Jefferson to Clinton,University of Missouri Press,political science,0.25,Not Well Put Together
The Fire Next Time,Vintage,political science,1.0,WOW! loved this book!
The Fire Next Time,Vintage,political science,1.0,The truth is here
The Fire Next Time,Vintage,political science,1.0,probably would have not read it if it wasn't assigned
The Fire Next Time,Vintage,political science,1.0,It came true
The Fire Next Time,Vintage,political science,1.0,Simply riveting; 1960s and Today: It holds its power
The Fire Next Time,Vintage,political science,1.0,"inspiring, moving"
The Fire Next Time,Vintage,political science,0.5,Speed bumps
The Fire Next Time,Vintage,political science,0.5,Baldwin's Life Story Captured
The Fire Next Time,Vintage,political science,1.0,A powerful snapshot of America in the 1960's
The Fire Next Time,Vintage,political science,1.0,"A prescient assessment of racial relations, past and future"
The Fire Next Time,Vintage,political science,1.0,A work of prophetic power
The Fire Next Time,Vintage,political science,1.0,Perspective Determines Change
The Fire Next Time,Vintage,political science,1.0,A Powerful Message
The Fire Next Time,Vintage,political science,1.0,Fire Next Time
The Fire Next Time,Vintage,political science,1.0,Scathing
The Fire Next Time,Vintage,political science,1.0,This Book Will Open Your Eyes
The Fire Next Time,Vintage,political science,0.75,Prose for thought
The Fire Next Time,Vintage,political science,1.0,"""The Fire Next Time"" Burns Down The House!"
The Fire Next Time,Vintage,political science,0.75,"""The Fire..."" is a trailblazer"
The Fire Next Time,Vintage,political science,1.0,Great Book From a Great Mind
The Fire Next Time,Vintage,political science,1.0,A pinacle of literature
The Fire Next Time,Vintage,political science,0.75,Racial Issues
The Fire Next Time,Vintage,political science,0.75,Not sure yet
The Fire Next Time,Vintage,political science,1.0,The Color Barrier Bible
The Fire Next Time,Vintage,political science,1.0,James Baldwin's voice is still one that should be heard
The Fire Next Time,Vintage,political science,1.0,A great book full of inspiration even if you are white
The Fire Next Time,Vintage,political science,1.0,A very profound book
The Fire Next Time,Vintage,political science,1.0,Life-changing
The Fire Next Time,Vintage,political science,1.0,Where There's Smoke There's Sure To Be Fire!
The Fire Next Time,Vintage,political science,1.0,"That's Right- Not Water, Fire Next Time"
The Fire Next Time,Vintage,political science,1.0,Baldwin-deep thinker
The Fire Next Time,Vintage,political science,1.0,This is one of the greatest books I've ever read!!
The Fire Next Time,Vintage,political science,1.0,Wake up America!!
The Fire Next Time,Vintage,political science,1.0,You must read this
The Fire Next Time,Vintage,political science,1.0,Tai's QuickViews: Five Stars
The Fire Next Time,Vintage,political science,1.0,Fantastic Thesis
The Fire Next Time,Vintage,political science,1.0,Good buy
The Fire Next Time,Vintage,political science,1.0,The Fire Next Time
The Fire Next Time,Vintage,political science,1.0,Where There's Smoke There's Sure To Be Fire!
The Fire Next Time,Vintage,political science,1.0,"That's Right- Not Water, Fire Next Time"
The Fire Next Time,Vintage,political science,1.0,Baldwin-deep thinker
The Fire Next Time,Vintage,political science,1.0,This is one of the greatest books I've ever read!!
The Fire Next Time,Vintage,political science,1.0,Wake up America!!
The Fire Next Time,Vintage,political science,1.0,You must read this
The Fire Next Time,Vintage,political science,1.0,Tai's QuickViews: Five Stars
The Fire Next Time,Vintage,political science,1.0,Fantastic Thesis
The Fire Next Time,Vintage,political science,1.0,Good buy
The Fire Next Time,Vintage,political science,1.0,The Fire Next Time
The Fire Next Time,Vintage,political science,0.75,"""The Fire..."" is a trailblazer"
The Fire Next Time,Vintage,political science,1.0,Great Book From a Great Mind
The Fire Next Time,Vintage,political science,1.0,A pinacle of literature
The Fire Next Time,Vintage,political science,0.75,Racial Issues
The Fire Next Time,Vintage,political science,0.75,Not sure yet
The Fire Next Time,Vintage,political science,1.0,The Color Barrier Bible
The Fire Next Time,Vintage,political science,1.0,James Baldwin's voice is still one that should be heard
The Fire Next Time,Vintage,political science,1.0,A great book full of inspiration even if you are white
The Fire Next Time,Vintage,political science,1.0,A very profound book
The Fire Next Time,Vintage,political science,1.0,Life-changing
The Fire Next Time,Vintage,political science,1.0,A powerful snapshot of America in the 1960's
The Fire Next Time,Vintage,political science,1.0,"A prescient assessment of racial relations, past and future"
The Fire Next Time,Vintage,political science,1.0,A work of prophetic power
The Fire Next Time,Vintage,political science,1.0,Perspective Determines Change
The Fire Next Time,Vintage,political science,1.0,A Powerful Message
The Fire Next Time,Vintage,political science,1.0,Fire Next Time
The Fire Next Time,Vintage,political science,1.0,Scathing
The Fire Next Time,Vintage,political science,1.0,This Book Will Open Your Eyes
The Fire Next Time,Vintage,political science,0.75,Prose for thought
The Fire Next Time,Vintage,political science,1.0,"""The Fire Next Time"" Burns Down The House!"
The Fire Next Time,Vintage,political science,1.0,WOW! loved this book!
The Fire Next Time,Vintage,political science,1.0,The truth is here
The Fire Next Time,Vintage,political science,1.0,probably would have not read it if it wasn't assigned
The Fire Next Time,Vintage,political science,1.0,It came true
The Fire Next Time,Vintage,political science,1.0,Simply riveting; 1960s and Today: It holds its power
The Fire Next Time,Vintage,political science,1.0,"inspiring, moving"
The Fire Next Time,Vintage,political science,0.5,Speed bumps
The Fire Next Time,Vintage,political science,0.5,Baldwin's Life Story Captured
Improving Governance: A New Logic for Empirical Research (American Governance and Public Policy series),Georgetown University Press,political science,0.75,an excellent book
The Dynamics Of Defeat: The Vietnam War In Hau Nghia Province,Routledge,political science,0.5,too broad of a generalization
The Dynamics Of Defeat: The Vietnam War In Hau Nghia Province,Routledge,political science,1.0,An Excellent Bottom-Up Analysis of Warfare in Vietnam
The Dynamics Of Defeat: The Vietnam War In Hau Nghia Province,Routledge,political science,1.0,"A Case Study in ""The Dynamics of Defeat"""
The Dynamics Of Defeat: The Vietnam War In Hau Nghia Province,Routledge,political science,1.0,Persuasive book with an unusual approach
The Dynamics Of Defeat: The Vietnam War In Hau Nghia Province,Routledge,political science,1.0,More 1960's Turmoil
The Dynamics Of Defeat: The Vietnam War In Hau Nghia Province,Routledge,political science,0.75,Excellent theory.
The Frozen Republic: How the Constitution Is Paralyzing Democracy,Harcourt,political science,0.75,Provocative look at whether immutability is a good thing
The Frozen Republic: How the Constitution Is Paralyzing Democracy,Harcourt,political science,0.75,So Radical It Would Pale Rep. Bob Dornan--now that's bold
The Frozen Republic: How the Constitution Is Paralyzing Democracy,Harcourt,political science,0.0,Proves only his own ideology and bias
The Frozen Republic: How the Constitution Is Paralyzing Democracy,Harcourt,political science,0.0,History of the U.S. through socialist lenses.
The Frozen Republic: How the Constitution Is Paralyzing Democracy,Harcourt,political science,0.0,"Boring Fluff, belongs with Crop Circles and Crystal Healing"
The Frozen Republic: How the Constitution Is Paralyzing Democracy,Harcourt,political science,0.75,It makes you think
The Frozen Republic: How the Constitution Is Paralyzing Democracy,Harcourt,political science,0.75,"""Mob Rule"" or ""Democracy""?"
The Frozen Republic: How the Constitution Is Paralyzing Democracy,Harcourt,political science,0.75,"great writing, informative"
The Frozen Republic: How the Constitution Is Paralyzing Democracy,Harcourt,political science,1.0,"If you think it's broken, let's start figuring out why..."
The Frozen Republic: How the Constitution Is Paralyzing Democracy,Harcourt,political science,1.0,Best ORIGINALIST argument I've read for a parliamentary government in the U.S.
The Frozen Republic: How the Constitution Is Paralyzing Democracy,Harcourt,political science,0.75,A provocative look at how checks and balances don't &quot;work&quot;..
The Frozen Republic: How the Constitution Is Paralyzing Democracy,Harcourt,political science,1.0,Raises very important questions
The Frozen Republic: How the Constitution Is Paralyzing Democracy,Harcourt,political science,1.0,"A powerful, literate examination of the US Constitution"
The Frozen Republic: How the Constitution Is Paralyzing Democracy,Harcourt,political science,1.0,Real Reform
The Frozen Republic: How the Constitution Is Paralyzing Democracy,Harcourt,political science,0.25,Not quite there
The Nature and Origins of Mass Opinion (Cambridge Studies in Public Opinion and Political Psychology),Cambridge University Press,political science,0.75,A Modern PoliSci Classic
The Nature and Origins of Mass Opinion (Cambridge Studies in Public Opinion and Political Psychology),Cambridge University Press,political science,0.75,A must read for Political scientists
The Nature and Origins of Mass Opinion (Cambridge Studies in Public Opinion and Political Psychology),Cambridge University Press,political science,0.75,Useful but dense
The Nature and Origins of Mass Opinion (Cambridge Studies in Public Opinion and Political Psychology),Cambridge University Press,political science,0.75,A REVIEW I WROTE FOR SCHOOL . . .
The Nature and Origins of Mass Opinion (Cambridge Studies in Public Opinion and Political Psychology),Cambridge University Press,political science,0.75,"Little dated, but great"
The Nature and Origins of Mass Opinion (Cambridge Studies in Public Opinion and Political Psychology),Cambridge University Press,political science,1.0,"A classic, a must read"
The Nature and Origins of Mass Opinion (Cambridge Studies in Public Opinion and Political Psychology),Cambridge University Press,political science,1.0,The Echo Chamber At Work In Shaping Your Opinions
The Nature and Origins of Mass Opinion (Cambridge Studies in Public Opinion and Political Psychology),Cambridge University Press,political science,1.0,A very informatinve book!
The Nature and Origins of Mass Opinion (Cambridge Studies in Public Opinion and Political Psychology),Cambridge University Press,political science,0.75,Measuring the Unmeasurable
The Nature and Origins of Mass Opinion (Cambridge Studies in Public Opinion and Political Psychology),Cambridge University Press,political science,1.0,Great text book for research
How to Beat the Democrats and Other Subversive Ideas,Spence Pub,political science,1.0,"Biting, determined, severe, and unquestionably partisan"
How to Beat the Democrats and Other Subversive Ideas,Spence Pub,political science,1.0,A Must Read for Informed Voters...Republican and Democrat
How to Beat the Democrats and Other Subversive Ideas,Spence Pub,political science,1.0,POWERFUL!
How to Beat the Democrats and Other Subversive Ideas,Spence Pub,political science,1.0,A direct hit on the Democrat's system of politics.
How to Beat the Democrats and Other Subversive Ideas,Spence Pub,political science,0.75,"Yes, yes, yes!"
How to Beat the Democrats and Other Subversive Ideas,Spence Pub,political science,1.0,Horowitz takes a wrecking ball to the Left
How to Beat the Democrats and Other Subversive Ideas,Spence Pub,political science,1.0,The Book the Left Wants You to Ignore
How to Beat the Democrats and Other Subversive Ideas,Spence Pub,political science,0.75,"Yes, yes, yes!"
How to Beat the Democrats and Other Subversive Ideas,Spence Pub,political science,0.75,Exposes pernicious fearmongering of the Dems
How to Beat the Democrats and Other Subversive Ideas,Spence Pub,political science,1.0,"Alas, if only the GOP would listen to him."
How to Beat the Democrats and Other Subversive Ideas,Spence Pub,political science,1.0,Insightful
How to Beat the Democrats and Other Subversive Ideas,Spence Pub,political science,1.0,Misses the point
How to Beat the Democrats and Other Subversive Ideas,Spence Pub,political science,0.0,"Bad For Righties, Too"
How to Beat the Democrats and Other Subversive Ideas,Spence Pub,political science,0.25,Gene
How to Beat the Democrats and Other Subversive Ideas,Spence Pub,political science,0.0,More of the same
A new beginning,SUNY Press,political science,0.75,Good introduction to the Libertarian Party
A new beginning,SUNY Press,political science,1.0,Clark got my vote in '80
A new beginning,SUNY Press,political science,1.0,AN EXCELLENT INTRODUCTION TO LIBERTARIAN PRINCIPLES IN POLITICS
ORDINARY JUSTICE.,Metropolitan Books,political science,0.75,A tale to keep you on the edge of your chair
ORDINARY JUSTICE.,Metropolitan Books,political science,0.75,The story was very interesting and the book worth reading.
