title,publisher,categories,review_score,review_summary
Paolo Di Canio Hb,John Wiley & Sons,psychology,1.0,There's Only One Paolo
Cognitive Development (Routledge Modular Psychology),Routledge,psychology,1.0,*
Immaterial Facts: Freud's Discovery of Psychic Reality and Klein's Development of His Work,Routledge,psychology,0.75,Beautifully written BASIC intro to Freud and Klein
Emotional Honesty & Self-Acceptance,Xlibris Corporation,psychology,1.0,From a Concerned Teacher/Parent
Emotional Honesty & Self-Acceptance,Xlibris Corporation,psychology,1.0,Excellent Resource for Teachers and Parents
Emotional Honesty & Self-Acceptance,Xlibris Corporation,psychology,1.0,Emotional Honesty and Self-Acceptance
Emotional Honesty & Self-Acceptance,Xlibris Corporation,psychology,1.0,"Great Resource for Teachers, Mentors, Parents, & Students"
Point/Counterpoint: Opposing Perspectives on Issues of Drug Policy,Pearson College Division,psychology,1.0,used books rule
The Gifted Adult: A Revolutionary Guide for Liberating Everyday Genius(tm),Ballantine Books,psychology,1.0,An Important and Possibly Life-Changing Book!
The Gifted Adult: A Revolutionary Guide for Liberating Everyday Genius(tm),Ballantine Books,psychology,0.75,Positive and helpful
The Gifted Adult: A Revolutionary Guide for Liberating Everyday Genius(tm),Ballantine Books,psychology,0.25,"Nice for self-esteem, but where are the answers?"
The Gifted Adult: A Revolutionary Guide for Liberating Everyday Genius(tm),Ballantine Books,psychology,1.0,Even swans must learn to swim!
The Gifted Adult: A Revolutionary Guide for Liberating Everyday Genius(tm),Ballantine Books,psychology,1.0,Intelligent? Intense? Over-reactive? READ THIS BOOK!
The Gifted Adult: A Revolutionary Guide for Liberating Everyday Genius(tm),Ballantine Books,psychology,1.0,This book changed my life
The Gifted Adult: A Revolutionary Guide for Liberating Everyday Genius(tm),Ballantine Books,psychology,1.0,Ignore the editorial review!
The Gifted Adult: A Revolutionary Guide for Liberating Everyday Genius(tm),Ballantine Books,psychology,0.5,Right on the money but hard to read
