title,publisher,categories,review_score,review_summary
Dramatica for Screenwriters,,reference,1.0,Fun to read and easy to understand
Dramatica for Screenwriters,,reference,1.0,A must have
Dramatica for Screenwriters,,reference,0.25,Thoroughly Confusing
Dramatica for Screenwriters,,reference,1.0,Practical Guide to a Complicated Process
Dramatica for Screenwriters,,reference,1.0,"Even as a fiction writer, I found this book invaluable"
Dramatica for Screenwriters,,reference,1.0,Good structure makes good bones for story
Dramatica for Screenwriters,,reference,1.0,LUV IT
Dramatica for Screenwriters,,reference,1.0,Armando is Great
Dramatica for Screenwriters,,reference,1.0,Finally the investment pays off...!
Dramatica for Screenwriters,,reference,1.0,Awesome - wanna use dramatica? You definitely need this book
Usa Laminated Map,,reference,1.0,Map your Imagination
Usa Laminated Map,,reference,1.0,A Beautiful Map
The Handgun in Personal Defense,Looseleaf Law Publications,reference,0.5,Good nuggets sprinkled throught the average writing
Michelin Gulf Coast Regional Road Atlas (Michelin Regional Road Atlas Gulf Coast),Michelin Travel Publications,reference,0.75,Nice maps but only for the coast.
Junk Science Judo: Self-Defense against Health Scares and Scams,Cato Institute,reference,0.0,This book is perfect!!!!!!!!
Junk Science Judo: Self-Defense against Health Scares and Scams,Cato Institute,reference,0.0,Is this a junk book?
Junk Science Judo: Self-Defense against Health Scares and Scams,Cato Institute,reference,0.75,"Solid, succinct, a few flaws"
Junk Science Judo: Self-Defense against Health Scares and Scams,Cato Institute,reference,1.0,Self-defense for Consumers
Junk Science Judo: Self-Defense against Health Scares and Scams,Cato Institute,reference,0.75,Excellent resource for people who care about the subject
Junk Science Judo: Self-Defense against Health Scares and Scams,Cato Institute,reference,1.0,Good information - used it already
Junk Science Judo: Self-Defense against Health Scares and Scams,Cato Institute,reference,1.0,How the average reader can separate junk science from real
Junk Science Judo: Self-Defense against Health Scares and Scams,Cato Institute,reference,0.75,Another Triumph in the Civil War Against Science
Junk Science Judo: Self-Defense against Health Scares and Scams,Cato Institute,reference,1.0,Statistics are used by people who have no proof.
Junk Science Judo: Self-Defense against Health Scares and Scams,Cato Institute,reference,1.0,Don't be blinded by &quot;science!&quot;
Junk Science Judo: Self-Defense against Health Scares and Scams,Cato Institute,reference,1.0,Excellent primer for the skeptic
Junk Science Judo: Self-Defense against Health Scares and Scams,Cato Institute,reference,1.0,Extra Points
Junk Science Judo: Self-Defense against Health Scares and Scams,Cato Institute,reference,0.25,"I'm great, everyone else stinks"
Junk Science Judo: Self-Defense against Health Scares and Scams,Cato Institute,reference,0.0,The King of Junk Science
Junk Science Judo: Self-Defense against Health Scares and Scams,Cato Institute,reference,0.25,A good start but comes up short...
Junk Science Judo: Self-Defense against Health Scares and Scams,Cato Institute,reference,0.0,Know the facts on Stephen Milloy
Junk Science Judo: Self-Defense against Health Scares and Scams,Cato Institute,reference,0.0,Junk Book :))
Junk Science Judo: Self-Defense against Health Scares and Scams,Cato Institute,reference,0.25,From the folks who brought you National Enquirer television
Junk Science Judo: Self-Defense against Health Scares and Scams,Cato Institute,reference,0.25,Don't forget where the advice is coming from
Junk Science Judo: Self-Defense against Health Scares and Scams,Cato Institute,reference,0.0,Don't fall for the &quot;junk science&quot; scam
Junk Science Judo: Self-Defense against Health Scares and Scams,Cato Institute,reference,0.25,Concerns about Mr. Milloy's credibility
Junk Science Judo: Self-Defense against Health Scares and Scams,Cato Institute,reference,0.0,Shameful
Junk Science Judo: Self-Defense against Health Scares and Scams,Cato Institute,reference,1.0,"Junk Science is all over the press, governments and general public"
Junk Science Judo: Self-Defense against Health Scares and Scams,Cato Institute,reference,1.0,For the worry-wart in your family.
Junk Science Judo: Self-Defense against Health Scares and Scams,Cato Institute,reference,1.0,"Sensei Steven Milloy, 9th Dan Junk Science Judo"
Junk Science Judo: Self-Defense against Health Scares and Scams,Cato Institute,reference,1.0,Use your brain
Junk Science Judo: Self-Defense against Health Scares and Scams,Cato Institute,reference,1.0,Junk Science debunked - To Quote LBJ:
Junk Science Judo: Self-Defense against Health Scares and Scams,Cato Institute,reference,1.0,Exposing the nonsense spoon fed to the American public
Junk Science Judo: Self-Defense against Health Scares and Scams,Cato Institute,reference,0.75,A Dose of Common Sense
Junk Science Judo: Self-Defense against Health Scares and Scams,Cato Institute,reference,0.75,Good Book
Junk Science Judo: Self-Defense against Health Scares and Scams,Cato Institute,reference,0.75,Junk Science Judo
Junk Science Judo: Self-Defense against Health Scares and Scams,Cato Institute,reference,0.75,Good Book
Lonely Planet Turkey : A Lonely Planet Travel Atlas (ATLAS),Lonely Planet,reference,1.0,"This is an ATLAS, not a guidebook."
Lonely Planet Turkey : A Lonely Planet Travel Atlas (ATLAS),Lonely Planet,reference,1.0,Essential if you plan to travel much in Turkey
Lonely Planet Turkey : A Lonely Planet Travel Atlas (ATLAS),Lonely Planet,reference,1.0,Touring Turkey
Burmese (Myanmar) Dictionary of Grammatical Forms,Psychology Press,reference,1.0,Essential for anyone studying Burmese
Burmese (Myanmar) Dictionary of Grammatical Forms,Psychology Press,reference,1.0,A Fantastic Resource
Michelin Quebec Regional Atlas & Travel Guide (Michelin Regional Atlas & Travel Guide Quebec),Rowman & Littlefield,reference,0.25,Pocket-sized = unreadable
Rogets Ii New,Houghton Mifflin Harcourt,reference,0.0,This reference book is terrible!
Rogets Ii New,Houghton Mifflin Harcourt,reference,1.0,One of the best on the market
