title,publisher,categories,review_score,review_summary
Information Theory in Analytical Chemistry (Chemical Analysis: A Series of Monographs on Analytical Chemistry and Its Applications),John Wiley & Sons,science,0.75,A general guide for the interpretation of analytical data
"Landscape Ecology, Function and Management",CSIRO PUBLISHING,science,0.75,A landmark publication
Environmental Science: Toward A Sustainable Future (8th Edition),Pearson Education,science,1.0,Making environmental science relevant
Environmental Science: Toward A Sustainable Future (8th Edition),Pearson Education,science,0.25,Not helpful...
"Compact Heat Exchangers: Selection, Design and Operation",Pergamon Press,science,0.75,a good book
Microbiology Demystified,McGraw Hill Professional,science,1.0,Got me through my microbiology course
Microbiology Demystified,McGraw Hill Professional,science,1.0,Buy this instead of the micro textbooks
Microbiology Demystified,McGraw Hill Professional,science,1.0,Why can't they write textbooks like this
Microbiology Demystified,McGraw Hill Professional,science,0.25,Some errors in book - disappointed
Microbiology Demystified,McGraw Hill Professional,science,0.0,A huge disappointment
Microbiology Demystified,McGraw Hill Professional,science,0.5,"Okay, but not enough detail"
Microbiology Demystified,McGraw Hill Professional,science,0.5,Not comprehensive enough for science major
Microbiology Demystified,McGraw Hill Professional,science,1.0,How to pass Microbiology....
Microbiology Demystified,McGraw Hill Professional,science,0.75,good as a supplement to your textbook
Microbiology Demystified,McGraw Hill Professional,science,0.75,office resource
Microbiology Demystified,McGraw Hill Professional,science,0.25,Could be a great book....
Microbiology Demystified,McGraw Hill Professional,science,1.0,Better than your assigned text book.
Microbiology Demystified,McGraw Hill Professional,science,1.0,Nice Shape
Microbiology Demystified,McGraw Hill Professional,science,1.0,Great book
Microbiology Demystified,McGraw Hill Professional,science,1.0,Microbiology: A breeze
Microbiology Demystified,McGraw Hill Professional,science,1.0,Getting Second Degree
Microbiology Demystified,McGraw Hill Professional,science,0.75,Very Informative!
Microbiology Demystified,McGraw Hill Professional,science,0.5,good idea...but a lot of errors...
Microbiology Demystified,McGraw Hill Professional,science,0.75,Decent but limited
Microbiology Demystified,McGraw Hill Professional,science,0.25,Microbiology Mystified
Peregrine,Harpercollins,science,0.5,Not up to William Bayer's usual quality level
Peregrine,Harpercollins,science,1.0,exciting thriller
Peregrine,Harpercollins,science,0.25,disappointing
"Bacnet: A Data Communication Protocol for Building Automation and Control Networks (A S H R a E Standards, 135-2001)",CRC Press,science,0.5,This version of the standard is outdated
An Introduction to Statistical Thermodynamics,Courier Corporation,science,0.0,review by Tarek musslimani
An Introduction to Statistical Thermodynamics,Courier Corporation,science,0.5,An impenetrable encyclopedia
An Introduction to Statistical Thermodynamics,Courier Corporation,science,1.0,excellent book
An Introduction to Statistical Thermodynamics,Courier Corporation,science,1.0,A classic book for introduction level to statistical thermodynamics
An Introduction to Statistical Thermodynamics,Courier Corporation,science,1.0,Very good introduction to the field
