title,publisher,categories,review_score,review_summary
Rising Sons and Daughters: Life Among Japan's New Young,Plympton PressIntl,social science,0.75,Wardell's book is a pure delight.
Rising Sons and Daughters: Life Among Japan's New Young,Plympton PressIntl,social science,1.0,A fascinating insight into the life of modern Japanese teens
Rising Sons and Daughters: Life Among Japan's New Young,Plympton PressIntl,social science,0.75,Almost a day by day view
The Handbook of Community Practice,SAGE,social science,0.75,textbook
Immodest Acts: The Life of a Lesbian Nun in Renaissance Italy,,social science,1.0,One of my all-time favorites
Immodest Acts: The Life of a Lesbian Nun in Renaissance Italy,,social science,0.75,Winding Through Sex and Gender in Renaissance Italy
Immodest Acts: The Life of a Lesbian Nun in Renaissance Italy,,social science,0.75,Excellent writing!
Immodest Acts: The Life of a Lesbian Nun in Renaissance Italy,,social science,0.5,A great read
Immodest Acts: The Life of a Lesbian Nun in Renaissance Italy,,social science,1.0,Renaissance lesbianism
Social Research Methods: Qualitative and Quantitative Approaches (4th Edition),Allyn & Bacon,social science,1.0,Excellent Introduction to Social Science
Social Research Methods: Qualitative and Quantitative Approaches (4th Edition),Allyn & Bacon,social science,1.0,"Clear, concise and understandable"
Social Research Methods: Qualitative and Quantitative Approaches (4th Edition),Allyn & Bacon,social science,1.0,Social Research Methods
Social Research Methods: Qualitative and Quantitative Approaches (4th Edition),Allyn & Bacon,social science,1.0,Course Book
Family Tightrope,Princeton University Press,social science,0.75,Timely Delivery
"Women Creating Lives: Identities, Resilience, And Resistance",Westview Press,social science,1.0,the most amazing book on resilience and resistance
"Women Creating Lives: Identities, Resilience, And Resistance",Westview Press,social science,1.0,the most amazing book on resilience and resistance
The California Heritage Cookbook,Routledge,social science,1.0,A way to anyones heart
The California Heritage Cookbook,Routledge,social science,1.0,california heritage
The California Heritage Cookbook,Routledge,social science,1.0,Incredible!!!
The California Heritage Cookbook,Routledge,social science,1.0,FABULOUS COOKBOOK!
The California Heritage Cookbook,Routledge,social science,1.0,Best cookbook ever!
The California Heritage Cookbook,Routledge,social science,1.0,Rose Bowl Brunch is a Tradition
The California Heritage Cookbook,Routledge,social science,1.0,California Heritage Cookbook
Mother S Table Father S Chair,,social science,1.0,A wonderful examination of American Basque women's culture
Mother S Table Father S Chair,,social science,0.75,Basking in Basque Folklore
Transforming Social Work Practice.,SAGE,social science,1.0,all social workers should read this
Lost Cities of North & Central America (Lost Cities Series),Adventures Unlimited Press,social science,0.75,Thought provoking.
Lost Cities of North & Central America (Lost Cities Series),Adventures Unlimited Press,social science,1.0,A very reavealing book on unknown sites in North America
Lost Cities of North & Central America (Lost Cities Series),Adventures Unlimited Press,social science,1.0,"Interesting book, regardless of factual errors."
Lost Cities of North & Central America (Lost Cities Series),Adventures Unlimited Press,social science,0.5,A Travelogue of Archaeology
Lost Cities of North & Central America (Lost Cities Series),Adventures Unlimited Press,social science,0.75,who's the archeologist?
Lost Cities of North & Central America (Lost Cities Series),Adventures Unlimited Press,social science,0.75,Interesting and Thought Provoking
Lost Cities of North & Central America (Lost Cities Series),Adventures Unlimited Press,social science,0.75,"Been there, done that, read it!"
Lost Cities of North & Central America (Lost Cities Series),Adventures Unlimited Press,social science,0.0,"I had High Hopes, but ..."
Lost Cities of North & Central America (Lost Cities Series),Adventures Unlimited Press,social science,1.0,Interesting read
Lost Cities of North & Central America (Lost Cities Series),Adventures Unlimited Press,social science,0.75,"Interesting book, a little more detail would be nice."
Lost Cities of North & Central America (Lost Cities Series),Adventures Unlimited Press,social science,1.0,Things aren't as they appear
Lost Cities of North & Central America (Lost Cities Series),Adventures Unlimited Press,social science,1.0,How to read Childress
Lost Cities of North & Central America (Lost Cities Series),Adventures Unlimited Press,social science,0.75,The perfect book for maverick archaeologists
Lost Cities of North & Central America (Lost Cities Series),Adventures Unlimited Press,social science,0.75,"Great book, bad editing"
Lost Cities of North & Central America (Lost Cities Series),Adventures Unlimited Press,social science,0.75,Thought provoking but needs work
Lost Cities of North & Central America (Lost Cities Series),Adventures Unlimited Press,social science,0.0,"Fantasy, no Science"
Lost Cities of North & Central America (Lost Cities Series),Adventures Unlimited Press,social science,1.0,Lost Cities Series: Classic Required Reading
Lost Cities of North & Central America (Lost Cities Series),Adventures Unlimited Press,social science,0.75,I thought it was great
Lost Cities of North & Central America (Lost Cities Series),Adventures Unlimited Press,social science,0.5,dvd
