title,publisher,categories,review_score,review_summary
Hunting The Hard Way,Derrydale Press,sports recreation,1.0,excellent turn of the century bow hunter and builders book
Hunting The Hard Way,Derrydale Press,sports recreation,1.0,GREAT GIFT FOR ANY TRADITIONAL ARCHER
Hunting The Hard Way,Derrydale Press,sports recreation,1.0,hunting the hard way
Hunting The Hard Way,Derrydale Press,sports recreation,1.0,The Best Archery Book I've Ever Read!
Hunting The Hard Way,Derrydale Press,sports recreation,0.75,Modern Traditional Point of View
Hunting The Hard Way,Derrydale Press,sports recreation,0.75,This is a must read for anyone involved with traditional archery.
Hunting The Hard Way,Derrydale Press,sports recreation,1.0,Makes me want to go back to 1940 and hunt with him
Hunting The Hard Way,Derrydale Press,sports recreation,0.75,Book is great - Purchase misleading !
Hunting The Hard Way,Derrydale Press,sports recreation,1.0,5 stars is not enough
Hunting The Hard Way,Derrydale Press,sports recreation,1.0,The classic longbow hunting book!
Hunting The Hard Way,Derrydale Press,sports recreation,1.0,Hunting the Hard Way
Hunting The Hard Way,Derrydale Press,sports recreation,1.0,Great read
Hunting The Hard Way,Derrydale Press,sports recreation,1.0,Hunting the Hard Way
Ricky Williams: Dreadlocks to Ditka,Simon and Schuster,sports recreation,1.0,Richardson's book a brilliant look at a mysterious person
King James: Believe the Hype---The LeBron James Story,St. Martin's Griffin,sports recreation,0.75,Lebron James
King James: Believe the Hype---The LeBron James Story,St. Martin's Griffin,sports recreation,1.0,Great Product!
King James: Believe the Hype---The LeBron James Story,St. Martin's Griffin,sports recreation,0.75,Lebron
King James: Believe the Hype---The LeBron James Story,St. Martin's Griffin,sports recreation,0.75,King James Scores!
King James: Believe the Hype---The LeBron James Story,St. Martin's Griffin,sports recreation,1.0,SLAM
King James: Believe the Hype---The LeBron James Story,St. Martin's Griffin,sports recreation,1.0,KING JAMES is awsome
King James: Believe the Hype---The LeBron James Story,St. Martin's Griffin,sports recreation,1.0,AWESOME BOOK
King James: Believe the Hype---The LeBron James Story,St. Martin's Griffin,sports recreation,1.0,Winnebago!!!!!!!!!!!!!!!!!!!!!!
King James: Believe the Hype---The LeBron James Story,St. Martin's Griffin,sports recreation,0.75,"Stephen F. Miller Place, NY"
King James: Believe the Hype---The LeBron James Story,St. Martin's Griffin,sports recreation,1.0,The Truth on King James!
King James: Believe the Hype---The LeBron James Story,St. Martin's Griffin,sports recreation,1.0,Yo Homie this is my sweet review
King James: Believe the Hype---The LeBron James Story,St. Martin's Griffin,sports recreation,0.75,"Stephen F. Miller Place, NY"
King James: Believe the Hype---The LeBron James Story,St. Martin's Griffin,sports recreation,1.0,This is an excellent book
King James: Believe the Hype---The LeBron James Story,St. Martin's Griffin,sports recreation,1.0,Overall a very good read
King James: Believe the Hype---The LeBron James Story,St. Martin's Griffin,sports recreation,0.5,A decent read
Audi Quattro: The Complete Story,Veloce Publishing Ltd,sports recreation,1.0,It's About Time!
Audi Quattro: The Complete Story,Veloce Publishing Ltd,sports recreation,0.75,Rare find
You Can Do It! Cheerleading,Shelfless,sports recreation,1.0,This was a great book!
You Can Do It! Cheerleading,Shelfless,sports recreation,0.0,why i think the book is going to be great
Baseball Prospectus: 2001 Edition,Potomac Books Incorporated,sports recreation,1.0,This year is better than ever
Baseball Prospectus: 2001 Edition,Potomac Books Incorporated,sports recreation,1.0,Good start to the 2008 baseball season!
Baseball Prospectus: 2001 Edition,Potomac Books Incorporated,sports recreation,1.0,Addictive even for first-timers
Baseball Prospectus: 2001 Edition,Potomac Books Incorporated,sports recreation,1.0,Always a fun read
Baseball Prospectus: 2001 Edition,Potomac Books Incorporated,sports recreation,1.0,"Stellar, as usual"
Baseball Prospectus: 2001 Edition,Potomac Books Incorporated,sports recreation,1.0,The Definitive Analytical Book on Baseball
Baseball Prospectus: 2001 Edition,Potomac Books Incorporated,sports recreation,1.0,The best preview around
Baseball Prospectus: 2001 Edition,Potomac Books Incorporated,sports recreation,0.75,"Good, but can be improved"
Baseball Prospectus: 2001 Edition,Potomac Books Incorporated,sports recreation,1.0,The New Standard Bearer
Baseball Prospectus: 2001 Edition,Potomac Books Incorporated,sports recreation,0.75,"Still great, but..."
Baseball Prospectus: 2001 Edition,Potomac Books Incorporated,sports recreation,1.0,2008 Baseball Prospectus
Baseball Prospectus: 2001 Edition,Potomac Books Incorporated,sports recreation,1.0,The Baseball Bible for real fans
Baseball Prospectus: 2001 Edition,Potomac Books Incorporated,sports recreation,1.0,Baseball Prospectus 2008
Baseball Prospectus: 2001 Edition,Potomac Books Incorporated,sports recreation,1.0,BP Rocks the House
Baseball Prospectus: 2001 Edition,Potomac Books Incorporated,sports recreation,1.0,The Best!
Baseball Prospectus: 2001 Edition,Potomac Books Incorporated,sports recreation,1.0,Baseball Prospectus 2008
Baseball Prospectus: 2001 Edition,Potomac Books Incorporated,sports recreation,1.0,Most intelligent baseball writers in print
Baseball Prospectus: 2001 Edition,Potomac Books Incorporated,sports recreation,1.0,best annual baseball book since Bill James stopped doing it
Baseball Prospectus: 2001 Edition,Potomac Books Incorporated,sports recreation,0.75,A good book to hold you over until the real stats are compiled.
Baseball Prospectus: 2001 Edition,Potomac Books Incorporated,sports recreation,0.5,"Good, but not great"
Baseball Prospectus: 2001 Edition,Potomac Books Incorporated,sports recreation,0.75,Solid Effort...But Missing a Spark
Baseball Prospectus: 2001 Edition,Potomac Books Incorporated,sports recreation,1.0,A Perennial Favorite
Baseball Prospectus: 2001 Edition,Potomac Books Incorporated,sports recreation,0.5,"Same analysis, however now humorless."
Baseball Prospectus: 2001 Edition,Potomac Books Incorporated,sports recreation,0.0,Bill James it ain't
Baseball Prospectus: 2001 Edition,Potomac Books Incorporated,sports recreation,0.0,Not a fan
"Pennant race,",Harper Paperbacks,sports recreation,1.0,The Best Baseball Book
"Pennant race,",Harper Paperbacks,sports recreation,1.0,Excellent! One of the best baseball books ever!
"Pennant race,",Harper Paperbacks,sports recreation,0.75,"Another Witty, Fun Read By Brosnan"
"Pennant race,",Harper Paperbacks,sports recreation,1.0,The Reds Win the Pennant
"Pennant race,",Harper Paperbacks,sports recreation,0.75,A very good follow-up to a baseball classic
"Pennant race,",Harper Paperbacks,sports recreation,0.75,A Great Book for Baseball fans
"Pennant race,",Harper Paperbacks,sports recreation,1.0,Welcome to 1059 baseball!
