title,publisher,categories,review_score,review_summary
New Age Reader,S. Chand Publishing,study aids,1.0,New Reads for a New Age
How to Prepare for the Toefl: Test of English As a Foreign Language (Barron's How to Prepare for the TOEFl IBT),Barrons Educational Series,study aids,0.75,"If you can buy *only* one book, this is the one!"
How to Prepare for the Toefl: Test of English As a Foreign Language (Barron's How to Prepare for the TOEFl IBT),Barrons Educational Series,study aids,0.5,The best value in TOEFL prep books
How to Prepare for the Toefl: Test of English As a Foreign Language (Barron's How to Prepare for the TOEFl IBT),Barrons Educational Series,study aids,0.0,OUTDATED
How to Prepare for the Toefl: Test of English As a Foreign Language (Barron's How to Prepare for the TOEFl IBT),Barrons Educational Series,study aids,1.0,THE BEST BOOK
How to Prepare for the Toefl: Test of English As a Foreign Language (Barron's How to Prepare for the TOEFl IBT),Barrons Educational Series,study aids,1.0,THE NUMBER ONE
How to Prepare for the Toefl: Test of English As a Foreign Language (Barron's How to Prepare for the TOEFl IBT),Barrons Educational Series,study aids,0.75,"If you can buy *only* one book, this is the one!"
How to Prepare for the Toefl: Test of English As a Foreign Language (Barron's How to Prepare for the TOEFl IBT),Barrons Educational Series,study aids,0.5,"Good book, very poor CD"
How to Prepare for the Toefl: Test of English As a Foreign Language (Barron's How to Prepare for the TOEFl IBT),Barrons Educational Series,study aids,1.0,The BEST TOEFL prepartion book..
How to Prepare for the Toefl: Test of English As a Foreign Language (Barron's How to Prepare for the TOEFl IBT),Barrons Educational Series,study aids,0.75,Good examples and helpful hints
How to Prepare for the Toefl: Test of English As a Foreign Language (Barron's How to Prepare for the TOEFl IBT),Barrons Educational Series,study aids,1.0,Excellent book!!
How to Prepare for the Toefl: Test of English As a Foreign Language (Barron's How to Prepare for the TOEFl IBT),Barrons Educational Series,study aids,0.25,CDs DO NOT HAVE SOFTWARE!!!!!
How to Prepare for the Toefl: Test of English As a Foreign Language (Barron's How to Prepare for the TOEFl IBT),Barrons Educational Series,study aids,1.0,Listening Comprehension
How to Prepare for the Toefl: Test of English As a Foreign Language (Barron's How to Prepare for the TOEFl IBT),Barrons Educational Series,study aids,0.5,Standard Practice Book
How to Prepare for the Toefl: Test of English As a Foreign Language (Barron's How to Prepare for the TOEFl IBT),Barrons Educational Series,study aids,0.75,if you prepare for TOEFL
How to Prepare for the Toefl: Test of English As a Foreign Language (Barron's How to Prepare for the TOEFl IBT),Barrons Educational Series,study aids,1.0,no summary
How to Prepare for the Toefl: Test of English As a Foreign Language (Barron's How to Prepare for the TOEFl IBT),Barrons Educational Series,study aids,0.5,Boring Book
How to Prepare for the Toefl: Test of English As a Foreign Language (Barron's How to Prepare for the TOEFl IBT),Barrons Educational Series,study aids,1.0,...this is the best TOEFL preparation book out there...
How to Prepare for the Toefl: Test of English As a Foreign Language (Barron's How to Prepare for the TOEFl IBT),Barrons Educational Series,study aids,0.5,"The best Toefl grammar book, but...."
How to Prepare for the Toefl: Test of English As a Foreign Language (Barron's How to Prepare for the TOEFl IBT),Barrons Educational Series,study aids,0.75,"This is a perfect review book, but it is not a textbook."
How to Prepare for the Toefl: Test of English As a Foreign Language (Barron's How to Prepare for the TOEFl IBT),Barrons Educational Series,study aids,0.75,"This is a perfect review book, but it is not a textbook."
How to Prepare for the Toefl: Test of English As a Foreign Language (Barron's How to Prepare for the TOEFl IBT),Barrons Educational Series,study aids,0.75,I recommend you to buy book with CD
How to Prepare for the Toefl: Test of English As a Foreign Language (Barron's How to Prepare for the TOEFl IBT),Barrons Educational Series,study aids,0.5,Simple & easy test
How to Prepare for the Toefl: Test of English As a Foreign Language (Barron's How to Prepare for the TOEFl IBT),Barrons Educational Series,study aids,0.5,Very good but have some problem with CD-ROM
How to Prepare for the Toefl: Test of English As a Foreign Language (Barron's How to Prepare for the TOEFl IBT),Barrons Educational Series,study aids,0.0,Wrong CD-ROM
How to Prepare for the Toefl: Test of English As a Foreign Language (Barron's How to Prepare for the TOEFl IBT),Barrons Educational Series,study aids,0.75,Second-best resource
How to Prepare for the Toefl: Test of English As a Foreign Language (Barron's How to Prepare for the TOEFl IBT),Barrons Educational Series,study aids,0.75,This book has the wrong CDs!
How to Prepare for the Toefl: Test of English As a Foreign Language (Barron's How to Prepare for the TOEFl IBT),Barrons Educational Series,study aids,1.0,EXCELLENT BOOK FOR THE TEST PREPATION
How to Prepare for the Toefl: Test of English As a Foreign Language (Barron's How to Prepare for the TOEFl IBT),Barrons Educational Series,study aids,0.0,CD Was missing
How to Prepare for the Toefl: Test of English As a Foreign Language (Barron's How to Prepare for the TOEFl IBT),Barrons Educational Series,study aids,0.5,Not good for other purposes
