title,publisher,categories,review_score,review_summary
Vector Quantization and Signal Compression (The Springer International Series in Engineering and Computer Science),Springer Science & Business Media,technology engineering,1.0,The most complete book on vector quantization
Vector Quantization and Signal Compression (The Springer International Series in Engineering and Computer Science),Springer Science & Business Media,technology engineering,1.0,This is a very good book for students and engineers.
Vector Quantization and Signal Compression (The Springer International Series in Engineering and Computer Science),Springer Science & Business Media,technology engineering,0.5,Comprehensive but marred by poor printing
Vector Quantization and Signal Compression (The Springer International Series in Engineering and Computer Science),Springer Science & Business Media,technology engineering,1.0,Great reference book for its topic
Vector Quantization and Signal Compression (The Springer International Series in Engineering and Computer Science),Springer Science & Business Media,technology engineering,0.75,"large volume,not enough proof, introductory, good organizati"
"Watershed Management: Practice, Policies, and Coordination",McGraw-Hill Professional Publishing,technology engineering,1.0,Significant book on integrated environmental management.
The alcohol fuel handbook,Infinity Publishing,technology engineering,1.0,Excellent resource
The alcohol fuel handbook,Infinity Publishing,technology engineering,0.25,Not quite the booze I expected
The alcohol fuel handbook,Infinity Publishing,technology engineering,1.0,A Worthwhile Read
The alcohol fuel handbook,Infinity Publishing,technology engineering,0.5,Brazilian Citizen opinion use of alcohol as engine's fuel.
The alcohol fuel handbook,Infinity Publishing,technology engineering,0.25,Ethanol is for drinking
VLSI Engineering,Springer Science & Business Media,technology engineering,0.75,Still Good
Solving Solid Mechanics Problems With Matlab 5: For Use With the Student Edition of Matlab V5.0/5.3,,technology engineering,0.75,"Very basic, but quite useful for the mechanical engineers"
INFRARED DETECTORS & SYSTEMS,Wiley-Interscience,technology engineering,1.0,this book belongs on your shelf
"Mechanical engineers' handbook,",,technology engineering,0.75,"Great book for reference, Johnny (johnny@ztrproducts.com)"
Electrical Circuit Analysis Using the TI-85 or TI-86,,technology engineering,0.25,"Acceptably good, but it could definitely be better."
Electrical Circuit Analysis Using the TI-85 or TI-86,,technology engineering,0.75,Very interesting but not awesome.
Six Bridges,CRC Press,technology engineering,1.0,A Great 20th Century Bridge Engineer's Work
Six Bridges,CRC Press,technology engineering,1.0,Engineering as an experience in beauty
Six Bridges,CRC Press,technology engineering,1.0,A &quot;must&quot; for all bridge design students and enthusiasts.
Six Bridges,CRC Press,technology engineering,1.0,Master craftsman
Six Bridges,CRC Press,technology engineering,1.0,Not just for Engineers: A Love-song to New York City Bridges
Introductory Circuits for Electrical and Computer Engineering,Pearson,technology engineering,0.0,Review of Introductory Circuits for Electrical and Computer
Introductory Circuits for Electrical and Computer Engineering,Pearson,technology engineering,0.0,Give me a break.
Introductory Circuits for Electrical and Computer Engineering,Pearson,technology engineering,0.0,Don't waste your time
Introductory Circuits for Electrical and Computer Engineering,Pearson,technology engineering,0.0,Really bad!
Introductory Circuits for Electrical and Computer Engineering,Pearson,technology engineering,0.0,Poor example. The homework problems like hell
Introductory Circuits for Electrical and Computer Engineering,Pearson,technology engineering,0.25,Not good
Introductory Circuits for Electrical and Computer Engineering,Pearson,technology engineering,0.0,Required for course
Introductory Circuits for Electrical and Computer Engineering,Pearson,technology engineering,1.0,A one-semester version of the most widely used introductory
Introductory Circuits for Electrical and Computer Engineering,Pearson,technology engineering,1.0,The Best
Telecommunications Act Handbook: A Complete Reference for Business,Government Inst,technology engineering,0.5,Good work but undistinguished
Creative Projects with LEGO Mindstorms,Addison-Wesley Professional,technology engineering,0.25,This Book is NOT for NXT
Creative Projects with LEGO Mindstorms,Addison-Wesley Professional,technology engineering,1.0,Great Resource!
Creative Projects with LEGO Mindstorms,Addison-Wesley Professional,technology engineering,1.0,Great for FIRST LEGO League Teams!
Creative Projects with LEGO Mindstorms,Addison-Wesley Professional,technology engineering,0.75,Geared towards a younger audience
Creative Projects with LEGO Mindstorms,Addison-Wesley Professional,technology engineering,1.0,The Best Lego Mindstorms Book I've Read
Creative Projects with LEGO Mindstorms,Addison-Wesley Professional,technology engineering,1.0,Great stuff
Creative Projects with LEGO Mindstorms,Addison-Wesley Professional,technology engineering,1.0,Projects that require the solution of complex problems
Creative Projects with LEGO Mindstorms,Addison-Wesley Professional,technology engineering,1.0,Great Lego book
Creative Projects with LEGO Mindstorms,Addison-Wesley Professional,technology engineering,1.0,More than just a &#65533;do this&#65533; book!
Creative Projects with LEGO Mindstorms,Addison-Wesley Professional,technology engineering,1.0,One of the Best
Creative Projects with LEGO Mindstorms,Addison-Wesley Professional,technology engineering,1.0,Delivers what it promises.
