title,publisher,categories,review_score,review_summary
Record Breakers of the North Atlantic: Blue Riband Liners 1838-1952,Brassey's Incorporated,transportation,1.0,Excellent history of the quest for speed on the Atlantic
Record Breakers of the North Atlantic: Blue Riband Liners 1838-1952,Brassey's Incorporated,transportation,1.0,Highly recommended for any fan of nautical history
Record Breakers of the North Atlantic: Blue Riband Liners 1838-1952,Brassey's Incorporated,transportation,1.0,"A wonderful, no-nonsense book with excellent text and art."
Record Breakers of the North Atlantic: Blue Riband Liners 1838-1952,Brassey's Incorporated,transportation,1.0,"A wonderful, no-nonsense book with excellent text and art."
Record Breakers of the North Atlantic: Blue Riband Liners 1838-1952,Brassey's Incorporated,transportation,1.0,Great book!
Colorful East Broad Top,Heimburger House Publishing Company,transportation,1.0,Great book about EBT
Colorful East Broad Top,Heimburger House Publishing Company,transportation,0.75,Good color reference matieral for model builders!
Where Did The Tracks Go In The Western Adirondacks? (Mountain Railroads of New York State),Purple Mountain PressLtd,transportation,1.0,Excellent in all respects
Wabash Standard Plans & Reference,Heimburger House Publishing Company,transportation,0.75,Wabash Standard Plans
A GIFT OF WINGS,Dell,transportation,1.0,A TIMELESS CLASSIC
A GIFT OF WINGS,Dell,transportation,1.0,Good book
A GIFT OF WINGS,Dell,transportation,1.0,A great gift...
A GIFT OF WINGS,Dell,transportation,1.0,A Gift of Wings
A GIFT OF WINGS,Dell,transportation,1.0,"If your soul is in the air, you will love this book."
A GIFT OF WINGS,Dell,transportation,1.0,Great reading for fliers
A GIFT OF WINGS,Dell,transportation,1.0,I wanna be a pilot!
A GIFT OF WINGS,Dell,transportation,1.0,love this book
A GIFT OF WINGS,Dell,transportation,0.75,Interesting
A GIFT OF WINGS,Dell,transportation,0.75,Bach Fantasy Flights
A GIFT OF WINGS,Dell,transportation,1.0,Mandatory Reading for Every Pilot
A GIFT OF WINGS,Dell,transportation,1.0,a gift of wings
A GIFT OF WINGS,Dell,transportation,1.0,"Humerous, fun, and enlightening."
A GIFT OF WINGS,Dell,transportation,1.0,A joy to read... pilot or not
A GIFT OF WINGS,Dell,transportation,1.0,Still # 1
A GIFT OF WINGS,Dell,transportation,0.0,Not my cup of tea.
A GIFT OF WINGS,Dell,transportation,0.25,"Oh dear, everyone else loves this book, but not me."
A GIFT OF WINGS,Dell,transportation,1.0,Inspirational and Life Changing Book
A GIFT OF WINGS,Dell,transportation,1.0,48 classic magazine articles from a golden age
A GIFT OF WINGS,Dell,transportation,1.0,This book will lift your heart and soul
A GIFT OF WINGS,Dell,transportation,1.0,A must read for anyone who loves flying
A GIFT OF WINGS,Dell,transportation,1.0,A BOOK THAT DEFIES GRAVITY!
A GIFT OF WINGS,Dell,transportation,0.75,A wonderful book for pilots and dreamers alike
A GIFT OF WINGS,Dell,transportation,1.0,A Gift of Wings
A GIFT OF WINGS,Dell,transportation,1.0,An amazing creation
A GIFT OF WINGS,Dell,transportation,1.0,My favorite book of all time!
A GIFT OF WINGS,Dell,transportation,1.0,The finest book on the spirit of flying
Saab Aircraft (Archive Photographs),Tempus Pub Limited,transportation,0.0,Not very informative
Jaguar,Motorbooks,transportation,0.75,A different perspective
Jaguar,Motorbooks,transportation,0.75,"Exciting, interesting book"
Jaguar,Motorbooks,transportation,1.0,Written for the Jaguar enthusiast
Jaguar,Motorbooks,transportation,1.0,Great Book - My 3rd Grader Loved It
Jaguar,Motorbooks,transportation,0.75,Jaguar is an amazingly exciting read!
Jaguar,Motorbooks,transportation,1.0,Great Book!
Jaguar,Motorbooks,transportation,0.75,Wonderful
Jaguar,Motorbooks,transportation,1.0,Between the Covers: bookreview-blog.blogspot.com
Jaguar,Motorbooks,transportation,1.0,Exciting Read for 6th Graders
Jaguar,Motorbooks,transportation,1.0,AMAZING
Jaguar,Motorbooks,transportation,0.75,Reviews by Ms. Ryan's students
Jaguar,Motorbooks,transportation,0.75,Jaguar In A Nutshell
Jaguar,Motorbooks,transportation,1.0,Monkey Boy As Jaguar
Jaguar,Motorbooks,transportation,1.0,Jaguar
Jaguar,Motorbooks,transportation,1.0,Jaguar
Jaguar,Motorbooks,transportation,1.0,JAGUARE 5!
Jaguar,Motorbooks,transportation,1.0,Jaguar
Jaguar,Motorbooks,transportation,0.75,Jaguar
Jaguar,Motorbooks,transportation,1.0,"JAGUAR, By Albert V."
Jaguar,Motorbooks,transportation,1.0,"JAGUAR, By Albert V."
Jaguar,Motorbooks,transportation,1.0,jaguar
Jaguar,Motorbooks,transportation,1.0,Jagur Review
Jaguar,Motorbooks,transportation,0.75,Jaguar
Jaguar,Motorbooks,transportation,0.75,JAGUAR AHHH!!
Jaguar,Motorbooks,transportation,1.0,Awesome book of survival and intrigue
Jaguar,Motorbooks,transportation,1.0,My review
Jaguar,Motorbooks,transportation,1.0,Jaguar - very cool
Jaguar,Motorbooks,transportation,0.75,A South American Adventure
Jaguar,Motorbooks,transportation,1.0,A Wonderous Adventure
Jaguar,Motorbooks,transportation,1.0,Jaguar
Jaguar,Motorbooks,transportation,1.0,The Best Jaguar
Jaguar,Motorbooks,transportation,1.0,Good book to read
Jaguar,Motorbooks,transportation,1.0,amazing
Jaguar,Motorbooks,transportation,0.75,"Fun, Interesting!!"
Jaguar,Motorbooks,transportation,0.75,It was pretty good.
Jaguar,Motorbooks,transportation,0.75,Jaguar
Jaguar,Motorbooks,transportation,1.0,It was avery good follow up to Thunder Cave.
Jaguar,Motorbooks,transportation,1.0,"Excitement, Suspensful, Adventurous Book"
Jaguar,Motorbooks,transportation,0.5,Jaguar: Review by Nathan Donley
Jaguar,Motorbooks,transportation,0.5,"A good book, but not the best"
Jaguar,Motorbooks,transportation,0.75,Jaguar
BMW Z-Series: The Complete Story,The Crowood Press,transportation,1.0,This book enhanced my appreciation.
BMW Z-Series: The Complete Story,The Crowood Press,transportation,0.5,Good book.
BMW Z-Series: The Complete Story,The Crowood Press,transportation,1.0,"Yes, The Complete Story"
Fear of Flying CD,Routledge,transportation,0.0,"Insipid, trite and offensive to my feminist sensibilities"
Fear of Flying CD,Routledge,transportation,1.0,"Funny, Brilliant and wildy entertaining"
Fear of Flying CD,Routledge,transportation,0.75,Decent tale of Feminist Searching
Fear of Flying CD,Routledge,transportation,0.25,Not a timeless text
