title,publisher,categories,review_score,review_summary
The Visitor's Guide to Normandy Landing Beaches: Memorials and Museums (Regional Traveller),Hunter Pub Incorporated,travel,0.5,Hitting the Beach - D-Day
Eyewitness Travel Phrase Book: European (14 languages),Dorling Kindersley Ltd,travel,1.0,Great travel reference book!
Lonely Planet India & Bangladesh Travel Atlas,Lonely Planet,travel,1.0,Never used it....
Lonely Planet India & Bangladesh Travel Atlas,Lonely Planet,travel,1.0,Indispensable!
Lonely Planet India & Bangladesh Travel Atlas,Lonely Planet,travel,1.0,"Passport, Wallet and Atlas"
Lonely Planet India & Bangladesh Travel Atlas,Lonely Planet,travel,1.0,like it!
Rakaposhi,Brian H Jones,travel,1.0,For climbers
"Walt Disney World with Kids, 2001 (Special-Interest Titles)",*Frommers,travel,1.0,The best series available for parents
"Walt Disney World with Kids, 2001 (Special-Interest Titles)",*Frommers,travel,1.0,Money-saving tips &amp; ride reviews alone are worth it!
"Walt Disney World with Kids, 2001 (Special-Interest Titles)",*Frommers,travel,1.0,excellent
"Walt Disney World with Kids, 2001 (Special-Interest Titles)",*Frommers,travel,1.0,What a great book!
"Walt Disney World with Kids, 2001 (Special-Interest Titles)",*Frommers,travel,0.75,Good Reference for Disney World
"Walt Disney World with Kids, 2001 (Special-Interest Titles)",*Frommers,travel,1.0,A great place to start
"Walt Disney World with Kids, 2001 (Special-Interest Titles)",*Frommers,travel,1.0,"A must have before, during and after your vacation at Disney"
"Walt Disney World with Kids, 2001 (Special-Interest Titles)",*Frommers,travel,0.25,this book was a big dissapointment
"Walt Disney World with Kids, 2001 (Special-Interest Titles)",*Frommers,travel,1.0,Great Info...especially about the Disney Cruise Line
"Ski Tours in the Sierra Nevada Carson Pass, Bear Valley and Pinecrest, Vol. 2",University of Nevada Press,travel,0.75,Excellent XC Ski Guide to the Central Sierra Nevada
A Time in Rome,Random House,travel,1.0,A gem
Even A Daughter Is Better Than Nothing,Garrett County Press,travel,1.0,If you can't make it to Mongolia this season....
Even A Daughter Is Better Than Nothing,Garrett County Press,travel,1.0,Great Read!
Even A Daughter Is Better Than Nothing,Garrett County Press,travel,1.0,Clever Title; Clever Book
Even A Daughter Is Better Than Nothing,Garrett County Press,travel,0.75,Mykel's Visit To Mongolia
Even A Daughter Is Better Than Nothing,Garrett County Press,travel,1.0,Hilary Clinton Visits Outer Mongolia
Even A Daughter Is Better Than Nothing,Garrett County Press,travel,1.0,A Fascinating Mongolian Idiom
Even A Daughter Is Better Than Nothing,Garrett County Press,travel,1.0,a wonderful read
Even A Daughter Is Better Than Nothing,Garrett County Press,travel,0.5,"My Mongolian Career....yeah, me, Mykel, and don't forget it"
"Ski Tours in the Sierra Nevada, Volume 3, Yosemite, Huntington and Shaver Lakes, Kings Canyon and Sequoia",University of Nevada Press,travel,0.75,Excellent Ski Tours for the Western Sierra
"Around the world single-handed: The cruise of the ""Islander""",Courier Corporation,travel,1.0,This book will make you long to go cruising!
"Around the world single-handed: The cruise of the ""Islander""",Courier Corporation,travel,0.5,"Interesting, quick read"
