title,publisher,categories,review_score,review_summary
Helter Skelter,Random House,true crime,1.0,"Disturbing, but extremely interesting."
Helter Skelter,Random House,true crime,1.0,A MUST READ FOR ANYONE INTERESTED IN TRUE CRIME!! RIVETING!!
Helter Skelter,Random House,true crime,1.0,The best and most comprehensive report of the Manson murders
Helter Skelter,Random House,true crime,1.0,Fact-based account of the investigation and Manson trial
Helter Skelter,Random House,true crime,1.0,Horrifyingly Accurate
Helter Skelter,Random House,true crime,1.0,"A stunning, comprehensive, breathtaking book."
Helter Skelter,Random House,true crime,1.0,The Best Book I've Ever Read...
Helter Skelter,Random House,true crime,0.75,"Good, informative, enjoyable."
Helter Skelter,Random House,true crime,1.0,Outstanding Tale of the Manson Murders
Helter Skelter,Random House,true crime,1.0,It &quot;scared the hell out of me&quot; all four readings!
Helter Skelter,Random House,true crime,0.75,"An very disturbing, yet intriguing account of the Mason cases."
Helter Skelter,Random House,true crime,1.0,Fascinating!
Helter Skelter,Random House,true crime,1.0,Couldn't Put It Down...
Helter Skelter,Random House,true crime,1.0,Fantastic book
Helter Skelter,Random House,true crime,1.0,"1974 first-person account of the Tate/LaBianca murders, investigation and trial"
Helter Skelter,Random House,true crime,1.0,Chilling
Helter Skelter,Random House,true crime,0.75,Scared the pants off me
Helter Skelter,Random House,true crime,1.0,WOW
Helter Skelter,Random House,true crime,1.0,Helter Skelter
Helter Skelter,Random House,true crime,1.0,Incredible!
Helter Skelter,Random House,true crime,1.0,The Greatest Story Ever Told
Helter Skelter,Random House,true crime,1.0,It Will Change You
Helter Skelter,Random House,true crime,1.0,MANSON'S EVIL ..
Helter Skelter,Random House,true crime,1.0,"Sheer madness, meticulously documented"
Helter Skelter,Random House,true crime,1.0,The book that started my true crime reading.
Helter Skelter,Random House,true crime,0.75,I was too young for the 60's but this scared me
Helter Skelter,Random House,true crime,1.0,True Crime at its best
Helter Skelter,Random House,true crime,1.0,Riveting tale of horror
Helter Skelter,Random House,true crime,1.0,"Non fiction as chilling and macabre as horror,"
Helter Skelter,Random House,true crime,1.0,The weirdest plot ever and it's all true.
Helter Skelter,Random House,true crime,1.0,Can't Be Beat
Helter Skelter,Random House,true crime,1.0,unforgettable haunting true life crime at its very best
Helter Skelter,Random House,true crime,1.0,The Dream Prosecutor
Helter Skelter,Random House,true crime,1.0,This book will have you sleeping with the lights on.......
Helter Skelter,Random House,true crime,1.0,A MUST READ FOR ANYONE INTERESTED IN TRUE CRIME!! RIVETING!!
Helter Skelter,Random House,true crime,1.0,Wow.
Helter Skelter,Random House,true crime,1.0,the most exciting book i've ever read. i loved it!!!!!!
Helter Skelter,Random House,true crime,1.0,This Book Will Scare The Hell Out Of You
Helter Skelter,Random House,true crime,1.0,This is going to scare the hell out of you.
Helter Skelter,Random House,true crime,1.0,true crime classic
Helter Skelter,Random House,true crime,1.0,Excellent insight. Good read for those who don't know
