title,publisher,categories,review_score,review_summary
The Chosen (Night World),Simon Pulse,young adult fiction,1.0,The Best!!!
The Chosen (Night World),Simon Pulse,young adult fiction,1.0,Rashel's my favorite!
The Chosen (Night World),Simon Pulse,young adult fiction,1.0,Quinn's the best!
The Chosen (Night World),Simon Pulse,young adult fiction,1.0,THE BEST SO FAR
The Chosen (Night World),Simon Pulse,young adult fiction,1.0,Loren
The Chosen (Night World),Simon Pulse,young adult fiction,1.0,This was my favorite Night World book !
The Chosen (Night World),Simon Pulse,young adult fiction,1.0,THIS BOOK IS THE BEST! THE BEST I TELL YOU!!!!
The Chosen (Night World),Simon Pulse,young adult fiction,1.0,This is truly the best NightWorld book of all time!!!
The Chosen (Night World),Simon Pulse,young adult fiction,1.0,It was enchanting
The Chosen (Night World),Simon Pulse,young adult fiction,1.0,Excellent
The Chosen (Night World),Simon Pulse,young adult fiction,1.0,Oh My G-DDDDDDDDDDDDD
The Chosen (Night World),Simon Pulse,young adult fiction,1.0,THE BEST NW BOOK EVER!
The Chosen (Night World),Simon Pulse,young adult fiction,1.0,One of the best books by L.J Smith
The Chosen (Night World),Simon Pulse,young adult fiction,1.0,L.J.Smith works at one of her best
The Chosen (Night World),Simon Pulse,young adult fiction,1.0,L.J.Smith works at one of her best
The Chosen (Night World),Simon Pulse,young adult fiction,1.0,Loved It!
The Chosen (Night World),Simon Pulse,young adult fiction,1.0,One of L.J. Smith's best
The Chosen (Night World),Simon Pulse,young adult fiction,1.0,"Trust me, this book is GOOD!"
The Chosen (Night World),Simon Pulse,young adult fiction,1.0,Wonderful and Dramatic
The Chosen (Night World),Simon Pulse,young adult fiction,1.0,Wow! This was the best book yet!
The Chosen (Night World),Simon Pulse,young adult fiction,1.0,The best in the series!
The Chosen (Night World),Simon Pulse,young adult fiction,1.0,As night falls Rashel stalks the streets.....
The Chosen (Night World),Simon Pulse,young adult fiction,0.75,One of the Better Ones
The Chosen (Night World),Simon Pulse,young adult fiction,1.0,How can you love the thing you should hate?
The Chosen (Night World),Simon Pulse,young adult fiction,1.0,Different
The Chosen (Night World),Simon Pulse,young adult fiction,1.0,I came with her at the beginning
The Chosen (Night World),Simon Pulse,young adult fiction,1.0,This is one love story you just can't get bored with...
The Chosen (Night World),Simon Pulse,young adult fiction,1.0,I really liked this book...
The Chosen (Night World),Simon Pulse,young adult fiction,1.0,&quot;This Kitten has Claws&quot;
The Chosen (Night World),Simon Pulse,young adult fiction,1.0,THE CHOSEN is my #1 Night World Book......
The Chosen (Night World),Simon Pulse,young adult fiction,1.0,One of the BEST Night World Books!!
The Chosen (Night World),Simon Pulse,young adult fiction,0.5,Haven't read it cause I can't find it!
The Chosen (Night World),Simon Pulse,young adult fiction,0.25,This book is good but I wouldn't call it great.
The Chosen (Night World),Simon Pulse,young adult fiction,0.0,Rashel
The Chosen (Night World),Simon Pulse,young adult fiction,1.0,"Before Vampire Academy, There Was The Chosen"
